name	security	runnable	has_subcommands
account	SEC_PLAYER	0	1
account characters	SEC_GAMEMASTER	1	0
account cleardata	SEC_PLAYER	1	0
account create	SEC_CONSOLE	1	0
account delete	SEC_CONSOLE	1	0
account onlinelist	SEC_CONSOLE	1	0
account lock	SEC_PLAYER	1	0
account set	SEC_ADMINISTRATOR	0	1
account set addon	SEC_CONSOLE	1	0
account set gmlevel	SEC_CONSOLE	1	0
account set password	SEC_CONSOLE	1	0
account set locked	SEC_ADMINISTRATOR	1	0
account password	SEC_PLAYER	1	0
account	SEC_PLAYER	1	0
auction	SEC_TICKETMASTER	0	1
auction alliance	SEC_TICKETMASTER	1	0
auction goblin	SEC_TICKETMASTER	1	0
auction horde	SEC_TICKETMASTER	1	0
auction	SEC_TICKETMASTER	1	0
cast	SEC_DEVELOPER	0	1
cast back	SEC_DEVELOPER	1	0
cast dist	SEC_DEVELOPER	1	0
cast self	SEC_DEVELOPER	1	0
cast target	SEC_DEVELOPER	1	0
cast	SEC_DEVELOPER	1	0
character	SEC_TICKETMASTER	0	1
character aiinfo	SEC_MODERATOR	1	0
character deleted	SEC_GAMEMASTER	0	1
character deleted delete	SEC_CONSOLE	1	0
character deleted list	SEC_GAMEMASTER	0	1
character deleted list account	SEC_GAMEMASTER	1	0
character deleted list name	SEC_GAMEMASTER	1	0
character deleted restore	SEC_BASIC_ADMIN	1	0
character deleted old	SEC_CONSOLE	1	0
character erase	SEC_CONSOLE	1	0
character level	SEC_DEVELOPER	1	0
character rename	SEC_GAMEMASTER	1	0
character reputation	SEC_TICKETMASTER	1	0
character hasitem	SEC_TICKETMASTER	1	0
character race	SEC_BASIC_ADMIN	1	0
character skin	SEC_BASIC_ADMIN	1	0
character fillflys	SEC_GAMEMASTER	1	0
character premade	SEC_BASIC_ADMIN	0	1
character premade gear	SEC_BASIC_ADMIN	1	0
character premade spec	SEC_BASIC_ADMIN	1	0
character premade savegear	SEC_DEVELOPER	1	0
character premade savespec	SEC_DEVELOPER	1	0
character clean	SEC_ADMINISTRATOR	0	1
character clean todelete	SEC_ADMINISTRATOR	1	0
character clean items	SEC_ADMINISTRATOR	1	0
character citytitle	SEC_ADMINISTRATOR	1	0
charge	SEC_GAMEMASTER	1	0
cheat	SEC_GAMEMASTER	0	1
cheat fly	SEC_GAMEMASTER	1	0
cheat fixedz	SEC_GAMEMASTER	1	0
cheat beastmaster	SEC_GAMEMASTER	1	0
cheat god	SEC_GAMEMASTER	1	0
cheat cooldown	SEC_GAMEMASTER	1	0
cheat casttime	SEC_GAMEMASTER	1	0
cheat powercost	SEC_GAMEMASTER	1	0
cheat debuffs	SEC_GAMEMASTER	1	0
cheat criticals	SEC_GAMEMASTER	1	0
cheat castchecks	SEC_GAMEMASTER	1	0
cheat procs	SEC_GAMEMASTER	1	0
cheat triggerpass	SEC_GAMEMASTER	1	0
cheat ignoretriggers	SEC_GAMEMASTER	1	0
cheat immunepc	SEC_GAMEMASTER	1	0
cheat immunenpc	SEC_GAMEMASTER	1	0
cheat untargetable	SEC_GAMEMASTER	1	0
cheat waterwalk	SEC_GAMEMASTER	1	0
cheat wallclimb	SEC_GAMEMASTER	1	0
cheat debugtargetinfo	SEC_GAMEMASTER	1	0
cheat status	SEC_GAMEMASTER	1	0
debug	SEC_TICKETMASTER	0	1
debug anim	SEC_GAMEMASTER	1	0
debug bg	SEC_ADMINISTRATOR	1	0
debug bytes1	SEC_DEVELOPER	1	0
debug bytes2	SEC_DEVELOPER	1	0
debug condition	SEC_TICKETMASTER	1	0
debug getitemstate	SEC_DEVELOPER	1	0
debug lrecipient	SEC_GAMEMASTER	1	0
debug getitemvalue	SEC_DEVELOPER	1	0
debug getvaluebyindex	SEC_DEVELOPER	1	0
debug getvaluebyname	SEC_DEVELOPER	1	0
debug getprevplaytime	SEC_DEVELOPER	1	0
debug moditemvalue	SEC_DEVELOPER	1	0
debug modvalue	SEC_DEVELOPER	1	0
debug play	SEC_TICKETMASTER	0	1
debug play cinematic	SEC_TICKETMASTER	1	0
debug play sound	SEC_TICKETMASTER	1	0
debug play text	SEC_TICKETMASTER	1	0
debug play music	SEC_TICKETMASTER	1	0
debug send	SEC_GAMEMASTER	0	1
debug send buyerror	SEC_DEVELOPER	1	0
debug send channelnotify	SEC_DEVELOPER	1	0
debug send chatmmessage	SEC_DEVELOPER	1	0
debug send equiperror	SEC_DEVELOPER	1	0
debug send opcode	SEC_DEVELOPER	1	0
debug send poi	SEC_DEVELOPER	1	0
debug send qpartymsg	SEC_DEVELOPER	1	0
debug send qinvalidmsg	SEC_DEVELOPER	1	0
debug send mailerror	SEC_DEVELOPER	1	0
debug send sellerror	SEC_DEVELOPER	1	0
debug send spellfail	SEC_DEVELOPER	1	0
debug send visual	SEC_DEVELOPER	1	0
debug send chanvisual	SEC_DEVELOPER	1	0
debug send chanvisualnext	SEC_DEVELOPER	1	0
debug send impact	SEC_DEVELOPER	1	0
debug send openbag	SEC_GAMEMASTER	1	0
debug send worldstate	SEC_DEVELOPER	1	0
debug setaurastate	SEC_DEVELOPER	1	0
debug setitemvalue	SEC_DEVELOPER	1	0
debug setvaluebyindex	SEC_DEVELOPER	1	0
debug setvaluebyname	SEC_DEVELOPER	1	0
debug setprevplaytime	SEC_DEVELOPER	1	0
debug spellcheck	SEC_CONSOLE	1	0
debug spellcoefs	SEC_DEVELOPER	1	0
debug spellmods	SEC_DEVELOPER	1	0
debug forceupdate	SEC_DEVELOPER	1	0
debug los	SEC_DEVELOPER	1	1
debug los check	SEC_DEVELOPER	1	0
debug los allow	SEC_DEVELOPER	1	0
debug moveto	SEC_GAMEMASTER	1	0
debug movedistance	SEC_DEVELOPER	1	0
debug faceme	SEC_GAMEMASTER	1	0
debug assert	SEC_ADMINISTRATOR	1	0
debug pvpcredit	SEC_DEVELOPER	1	0
debug unitstate	SEC_GAMEMASTER	1	0
debug control	SEC_GAMEMASTER	1	0
debug monster	SEC_GAMEMASTER	1	0
