entry	name	subname	level_min	level_max	rank	type	display_id	display_scale
1	Waypoint (Only GM can see it)	Visual	63	63	0	8	10045	0
2	Spawn Point (Only GM can see it)		63	63	0	1	262	0
3	Flesh Eater		24	25	0	6	987	0
6	Kobold Vermin		1	2	0	7	10913	0
19	Benny Questgiver	NPC	20	20	0	7	6074	1
29	Dragon Spawn		1	1	0	2	143	1
30	Forest Spider		5	6	0	1	382	0
31	Furbolg		1	2	0	0	145	1
36	Harvest Golem		11	12	0	9	367	0
38	Defias Thug		3	4	0	7	5035	0
40	Kobold Miner		6	7	0	7	373	0
43	Mine Spider		8	9	0	1	368	0
46	Murloc Forager		9	10	0	7	441	0
48	Skeletal Warrior		21	22	0	6	200	0
49	Lesser Succubus		20	20	0	3	159	1
54	Corina Steele	Weaponsmith	10	10	0	7	1287	0
55	Mean Ed the Blacksmith		20	20	0	7	17	1
60	Ruklar the Trapper		8	8	0	7	2153	0
61	Thuros Lightfingers		11	11	4	7	3341	0
62	Gug Fatcandle		4	4	0	7	26	1
65	Peasant Woman		1	2	0	7	13	1
66	Tharynn Bouden	Trade Supplies	10	10	0	7	1298	0
67	[UNUSED] Marlon Darnik	Grocer	5	5	0	7	23	1
68	Stormwind City Guard		55	55	0	7	3167	0
69	Timber Wolf		2	2	0	1	604	0.7
70	[UNUSED] Lower Class Citizen		1	2	0	7	13	1
71	Rankist		5	7	0	0	137	1
72	[UNUSED] Antaris the Trader		1	1	0	7	19	1
73	Veraina the Apothecary	Questgiver	40	40	0	7	15	1
74	Kurran Steele	Cloth & Leather Armor Merchant	10	10	0	7	1289	0
75	[UNUSED] Vashaum Nightwither		12	12	0	7	166	1
78	Janos Hammerknuckle	Weaponsmith	5	5	0	7	3275	0
79	Narg the Taskmaster		10	10	4	7	774	0
80	Kobold Laborer		3	4	0	7	365	0
81	[UNUSED] Luglar the Clogger		5	5	0	7	371	1
82	Crazy Leonetti		7	7	0	7	16	1
87	Forest Troll Berserker		2	4	0	7	167	1
89	Infernal		50	50	0	3	169	0
90	Sea Giant		40	40	0	5	791	1
92	Rock Elemental		39	40	0	4	171	0
93	Centaur		1	2	0	0	172	1
94	Defias Cutpurse		5	6	0	7	2361	0
95	Defias Smuggler		11	12	0	7	4418	0
97	Riverpaw Runt		8	9	0	7	10791	0
98	Riverpaw Taskmaster		17	18	0	7	376	0
99	Morgaine the Sly		10	10	4	7	3320	0
100	Gruff Swiftbite		12	12	4	7	175	0
102	Bronze Dragonspawn		1	2	0	0	177	1
103	Garrick Padfoot		5	5	0	7	2073	0
105	Tall Strider		1	2	0	0	178	1
106	Kodo Beast		1	2	0	1	179	1
107	Raptor		1	2	0	1	180	1
108	Green Dragonspawn		1	2	0	0	181	1
109	White Dragonspawn		1	2	0	0	182	1
111	Priest		3	4	0	7	20	1
112	Priestess		3	4	0	7	14	1
113	Stonetusk Boar		5	6	0	1	503	0
