row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,17.007261,,,,26->26:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.013438,0.013438,Tick,live-sample,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,17.020699,,,,26->26:Exact,none; server owns swing cadence
2,0.013438,0.000000,AttackSwingSend,network-session-send,false,0xF13000007900B1EF,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,75.71325,-0.77479786,26,Ready1H,17.020699,,,,26->26:Exact,CMSG_ATTACKSWING
3,0.013438,0.000000,IntentOn,user-start,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,75.71325,-0.77479786,26,Ready1H,17.020699,,,,26->26:Exact,local attack latch edge
4,0.029931,0.016493,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,75.75235,-0.7747921,26,Ready1H,17.037191,,,,26->26:Exact,none; server owns swing cadence
5,0.046746,0.016815,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,75.754944,-0.8276193,26,Ready1H,17.054007,,,,26->26:Exact,none; server owns swing cadence
6,0.046746,0.000000,AttackStopReceive,server,true,0xF13000007900B1EF,SMSG_ATTACKSTOP,server,,unchecked,unchecked,none,75.754944,-0.8276193,26,Ready1H,17.054007,,,,26->26:Exact,attacker=0x0000000000000001 victimDied=False
7,0.046746,0.000000,AttackStartReceive,server,true,0xF13000007900B1EF,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,75.754944,-0.8276193,26,Ready1H,17.054007,,,,26->26:Exact,attacker=0x0000000000000001
8,0.046746,0.000000,AnimChoice,animator,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,75.67501,-0.87073535,26,Ready1H,17.054007,,,,5->5:Exact,track=0 requested=5 played=5 kind=Exact base=26:Ready1H clipB= blendWeight=0
9,0.064510,0.017765,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,75.67501,-0.87073535,5,Run,0.01790702,Ready1H,17.071772,0.014430761,5->5:Exact,none; server owns swing cadence
10,0.080041,0.015531,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,75.60785,-0.908458,5,Run,0.033562064,Ready1H,17.087303,0.04848826,5->5:Exact,none; server owns swing cadence
11,0.096977,0.016935,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,75.49807,-0.9497877,5,Run,0.05063305,Ready1H,17.104239,0.10488927,5->5:Exact,none; server owns swing cadence
12,0.113407,0.016430,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,75.393524,-0.9899174,5,Run,0.06719479,Ready1H,17.120668,0.17538315,5->5:Exact,none; server owns swing cadence
13,0.130144,0.016737,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,75.29468,-1.0308294,5,Run,0.08406599,Ready1H,17.137405,0.25960845,5->5:Exact,none; server owns swing cadence
