row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,0.0331069,ShuffleLeft,0.050194602,0.12463868,26->26:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.016664,0.016664,Tick,live-sample,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,0.0497711,ShuffleLeft,0.0668588,0.257227,26->26:Exact,none; server owns swing cadence
2,0.016664,0.000000,AttackSwingSend,network-session-send,false,0xF13000007900B1EF,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,71.15198,-2.590374,26,Ready1H,0.0497711,ShuffleLeft,0.0668588,0.257227,26->26:Exact,CMSG_ATTACKSWING
3,0.016664,0.000000,IntentOn,user-start,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,71.15198,-2.590374,26,Ready1H,0.0497711,ShuffleLeft,0.0668588,0.257227,26->26:Exact,local attack latch edge
4,0.034244,0.017580,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,71.15198,-2.590374,26,Ready1H,0.0673507,ShuffleLeft,0.0844384,0.42377228,26->26:Exact,none; server owns swing cadence
5,0.034244,0.000000,AttackStopReceive,server,true,0xF13000007900B1EF,SMSG_ATTACKSTOP,server,,unchecked,unchecked,none,71.15198,-2.590374,26,Ready1H,0.0673507,ShuffleLeft,0.0844384,0.42377228,26->26:Exact,attacker=0x0000000000000001 victimDied=False
6,0.034244,0.000000,AttackStartReceive,server,true,0xF13000007900B1EF,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,71.15198,-2.590374,26,Ready1H,0.0673507,ShuffleLeft,0.0844384,0.42377228,26->26:Exact,attacker=0x0000000000000001
7,0.034244,0.000000,AnimChoice,animator,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,71.091446,-2.5898504,26,Ready1H,0.0673507,ShuffleLeft,0.0844384,0.42377228,13->13:Exact,track=0 requested=13 played=13 kind=Exact base=26:Ready1H clipB=ShuffleLeft blendWeight=0.42377228
8,0.050081,0.015837,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,71.091446,-2.5898504,13,WalkBackwards,0.02850714,Ready1H,0.083188,0.03108871,13->13:Exact,none; server owns swing cadence
9,0.066729,0.016648,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,71.02763,-2.5892963,13,WalkBackwards,0.05847282,Ready1H,0.0998356,0.12038821,13->13:Exact,none; server owns swing cadence
10,0.083455,0.016727,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,70.96376,-2.5887423,13,WalkBackwards,0.088581055,Ready1H,0.1165624,0.25228,13->13:Exact,none; server owns swing cadence
11,0.100059,0.016604,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,70.899994,-2.588186,13,WalkBackwards,0.118468255,Ready1H,0.1331664,0.40861607,13->13:Exact,none; server owns swing cadence
12,0.116903,0.016843,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,70.83533,-2.5876226,13,WalkBackwards,0.14878638,Ready1H,0.15000981,0.5763247,13->13:Exact,none; server owns swing cadence
13,0.133478,0.016575,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,70.7716,-2.5870643,13,WalkBackwards,0.17862192,Ready1H,0.16658512,0.73390955,13->13:Exact,none; server owns swing cadence
14,0.150172,0.016694,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,70.70782,-2.5865064,13,WalkBackwards,0.20867077,Ready1H,0.18327892,0.8686541,13->13:Exact,none; server owns swing cadence
15,0.166937,0.016765,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,70.64405,-2.5859475,13,WalkBackwards,0.23884794,Ready1H,0.20004402,0.96313554,13->13:Exact,none; server owns swing cadence
16,0.183660,0.016723,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,70.58031,-2.5853875,13,WalkBackwards,0.2689495,Ready1H,0.21676712,0.9999547,13->13:Exact,none; server owns swing cadence
17,0.200054,0.016394,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,70.517494,-2.5848327,13,WalkBackwards,0.29845816,,,,13->13:Exact,none; server owns swing cadence
