row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,0.049734898,Run,5.111452,0.2569059,26->26:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.017167,0.017167,Tick,live-sample,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,0.066901796,Run,5.1287565,0.41933268,26->26:Exact,none; server owns swing cadence
2,0.017167,0.000000,AttackSwingSend,network-session-send,false,0xF13000007900B1EF,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.066901796,Run,5.1287565,0.41933268,26->26:Exact,CMSG_ATTACKSWING
3,0.017167,0.000000,IntentOn,user-start,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.066901796,Run,5.1287565,0.41933268,26->26:Exact,local attack latch edge
4,0.033358,0.016191,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.083092496,Run,5.1450768,0.5806109,26->26:Exact,none; server owns swing cadence
5,0.049884,0.016526,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.09961899,Run,5.1617355,0.7373476,26->26:Exact,none; server owns swing cadence
6,0.066620,0.016736,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.11635539,Run,5.178606,0.8716405,26->26:Exact,none; server owns swing cadence
7,0.066620,0.000000,AttackStopReceive,server,true,0xF13000007900B1EF,SMSG_ATTACKSTOP,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.11635539,Run,5.178606,0.8716405,26->26:Exact,attacker=0x0000000000000001 victimDied=False
8,0.066620,0.000000,AttackStartReceive,server,true,0xF13000007900B1EF,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.11635539,Run,5.178606,0.8716405,26->26:Exact,attacker=0x0000000000000001
9,0.083149,0.016529,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.13288409,Run,5.1952667,0.96391076,26->26:Exact,none; server owns swing cadence
10,0.100069,0.016920,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.14980379,Run,5.2123218,0.9999949,26->26:Exact,none; server owns swing cadence
11,0.116564,0.016495,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.1662985,,,,26->26:Exact,none; server owns swing cadence
12,0.133264,0.016700,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.18299879,,,,26->26:Exact,none; server owns swing cadence
13,0.149920,0.016656,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.199655,,,,26->26:Exact,none; server owns swing cadence
14,0.166699,0.016779,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.2164342,,,,26->26:Exact,none; server owns swing cadence
15,0.183180,0.016481,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.2329151,,,,26->26:Exact,none; server owns swing cadence
16,0.200131,0.016951,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.2498663,,,,26->26:Exact,none; server owns swing cadence
17,0.217725,0.017594,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.26746032,,,,26->26:Exact,none; server owns swing cadence
18,0.233403,0.015678,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.28313783,,,,26->26:Exact,none; server owns swing cadence
19,0.249950,0.016547,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.29968512,,,,26->26:Exact,none; server owns swing cadence
20,0.266730,0.016780,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.3164651,,,,26->26:Exact,none; server owns swing cadence
21,0.283325,0.016594,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.3330596,,,,26->26:Exact,none; server owns swing cadence
22,0.300166,0.016841,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.3499011,,,,26->26:Exact,none; server owns swing cadence
23,0.316761,0.016595,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.3664964,,,,26->26:Exact,none; server owns swing cadence
24,0.333338,0.016577,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.3830733,,,,26->26:Exact,none; server owns swing cadence
25,0.350267,0.016928,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.4000015,,,,26->26:Exact,none; server owns swing cadence
26,0.366697,0.016430,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.4164315,,,,26->26:Exact,none; server owns swing cadence
27,0.383558,0.016862,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.43329328,,,,26->26:Exact,none; server owns swing cadence
28,0.400008,0.016449,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.4497425,,,,26->26:Exact,none; server owns swing cadence
29,0.418361,0.018353,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.4680957,,,,26->26:Exact,none; server owns swing cadence
30,0.433605,0.015244,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.4833397,,,,26->26:Exact,none; server owns swing cadence
31,0.450400,0.016795,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.5001349,,,,26->26:Exact,none; server owns swing cadence
32,0.466809,0.016409,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.51654387,,,,26->26:Exact,none; server owns swing cadence
33,0.483612,0.016803,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.53334665,,,,26->26:Exact,none; server owns swing cadence
34,0.500126,0.016515,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.54986113,,,,26->26:Exact,none; server owns swing cadence
35,0.517576,0.017450,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.5673109,,,,26->26:Exact,none; server owns swing cadence
36,0.533676,0.016100,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.58341104,,,,26->26:Exact,none; server owns swing cadence
37,0.550485,0.016809,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.60022026,,,,26->26:Exact,none; server owns swing cadence
38,0.566990,0.016504,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.61672455,,,,26->26:Exact,none; server owns swing cadence
39,0.583683,0.016694,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.633418,,,,26->26:Exact,none; server owns swing cadence
40,0.600177,0.016494,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.64991194,,,,26->26:Exact,none; server owns swing cadence
41,0.617159,0.016982,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.66689396,,,,26->26:Exact,none; server owns swing cadence
42,0.633468,0.016309,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.68320334,,,,26->26:Exact,none; server owns swing cadence
43,0.650239,0.016771,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.69997406,,,,26->26:Exact,none; server owns swing cadence
44,0.667235,0.016996,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.71696967,,,,26->26:Exact,none; server owns swing cadence
45,0.683674,0.016439,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.733409,,,,26->26:Exact,none; server owns swing cadence
46,0.700318,0.016644,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.7500533,,,,26->26:Exact,none; server owns swing cadence
47,0.718169,0.017851,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.7679041,,,,26->26:Exact,none; server owns swing cadence
48,0.733998,0.015828,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.7837326,,,,26->26:Exact,none; server owns swing cadence
49,0.750655,0.016657,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.80038977,,,,26->26:Exact,none; server owns swing cadence
50,0.767001,0.016347,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.81673634,,,,26->26:Exact,none; server owns swing cadence
51,0.784069,0.017067,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.8338037,,,,26->26:Exact,none; server owns swing cadence
52,0.800638,0.016569,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.8503725,,,,26->26:Exact,none; server owns swing cadence
53,0.817623,0.016985,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.8673579,,,,26->26:Exact,none; server owns swing cadence
54,0.834531,0.016908,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.884266,,,,26->26:Exact,none; server owns swing cadence
55,0.850375,0.015844,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.9001101,,,,26->26:Exact,none; server owns swing cadence
56,0.867152,0.016777,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.9168869,,,,26->26:Exact,none; server owns swing cadence
57,0.883655,0.016503,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.93339,,,,26->26:Exact,none; server owns swing cadence
58,0.901039,0.017384,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.9507743,,,,26->26:Exact,none; server owns swing cadence
59,0.917044,0.016004,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.96677864,,,,26->26:Exact,none; server owns swing cadence
60,0.933883,0.016839,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,0.983618,,,,26->26:Exact,none; server owns swing cadence
61,0.950679,0.016796,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,1.0004141,,,,26->26:Exact,none; server owns swing cadence
62,0.967409,0.016730,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,83.81245,-2.674519,26,Ready1H,1.0171441,,,,26->26:Exact,none; server owns swing cadence
