row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,9.692371,,,,26->26:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.015363,0.015363,Tick,live-sample,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,9.707734,,,,26->26:Exact,none; server owns swing cadence
2,0.031821,0.016458,Tick,live-sample,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,9.724193,,,,26->26:Exact,none; server owns swing cadence
3,0.031821,0.000000,AttackSwingSend,network-session-send,false,0xF13000007900B1EF,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,81.89287,-2.732337,26,Ready1H,9.724193,,,,26->26:Exact,CMSG_ATTACKSWING
4,0.031821,0.000000,IntentOn,user-start,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,81.89287,-2.732337,26,Ready1H,9.724193,,,,26->26:Exact,local attack latch edge
5,0.031821,0.000000,AttackStopReceive,server,true,0xF13000007900B1EF,SMSG_ATTACKSTOP,server,,unchecked,unchecked,none,81.89287,-2.732337,26,Ready1H,9.724193,,,,26->26:Exact,attacker=0x0000000000000001 victimDied=False
6,0.031821,0.000000,AttackStartReceive,server,true,0xF13000007900B1EF,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,81.89287,-2.732337,26,Ready1H,9.724193,,,,26->26:Exact,attacker=0x0000000000000001
7,0.048506,0.016685,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,81.89287,-2.732337,26,Ready1H,9.740877,,,,26->26:Exact,none; server owns swing cadence
8,0.065241,0.016735,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,81.89287,-2.732337,26,Ready1H,9.757612,,,,26->26:Exact,none; server owns swing cadence
9,0.082105,0.016864,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,81.89287,-2.732337,26,Ready1H,9.774476,,,,26->26:Exact,none; server owns swing cadence
10,0.099384,0.017279,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,81.89287,-2.732337,26,Ready1H,9.791755,,,,26->26:Exact,none; server owns swing cadence
11,0.115544,0.016160,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,81.89287,-2.732337,26,Ready1H,9.807915,,,,26->26:Exact,none; server owns swing cadence
