row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,10.808402,,,,26->26:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.016677,0.016677,Tick,live-sample,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,10.825079,,,,26->26:Exact,none; server owns swing cadence
2,0.016677,0.000000,TargetSwitch,selection-change,false,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.62243,-2.7039673,26,Ready1H,10.825079,,,,26->26:Exact,from=0xF13000007900B1F1 to=0xF13000007900B1EF
3,0.016677,0.000000,AttackStopSend,network-session-send,false,0x0000000000000000,CMSG_ATTACKSTOP,server,,unchecked,unchecked,none,-1,,26,Ready1H,10.825079,,,,26->26:Exact,CMSG_ATTACKSTOP
4,0.016677,0.000000,IntentOff,target-switch,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,26,Ready1H,10.825079,,,,26->26:Exact,local attack latch edge
5,0.016677,0.000000,AttackSwingSend,network-session-send,false,0xF13000007900B1EF,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,82.62243,-2.7039673,26,Ready1H,10.825079,,,,26->26:Exact,CMSG_ATTACKSWING
6,0.016677,0.000000,IntentOn,target-switch,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.62243,-2.7039673,26,Ready1H,10.825079,,,,26->26:Exact,local attack latch edge
7,0.036797,0.020120,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.63822,-2.703398,26,Ready1H,10.845199,,,,26->26:Exact,none; server owns swing cadence
8,0.036797,0.000000,AttackStopReceive,server,true,0xF13000007900B1F1,SMSG_ATTACKSTOP,server,,unchecked,unchecked,none,73.100716,-2.8149445,26,Ready1H,10.845199,,,,26->26:Exact,attacker=0x0000000000000001 victimDied=False
9,0.036797,0.000000,AttackStartReceive,server,true,0xF13000007900B1EF,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,82.63822,-2.703398,26,Ready1H,10.845199,,,,26->26:Exact,attacker=0x0000000000000001
10,0.050267,0.013470,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.64936,-2.7030003,26,Ready1H,10.858668,,,,26->26:Exact,none; server owns swing cadence
11,0.066665,0.016398,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.661514,-2.7025418,26,Ready1H,10.875067,,,,26->26:Exact,none; server owns swing cadence
12,0.084031,0.017367,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.67503,-2.7020586,26,Ready1H,10.892433,,,,26->26:Exact,none; server owns swing cadence
13,0.100293,0.016261,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.68775,-2.701569,26,Ready1H,10.908694,,,,26->26:Exact,none; server owns swing cadence
14,0.116900,0.016608,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.700775,-2.7011175,26,Ready1H,10.925302,,,,26->26:Exact,none; server owns swing cadence
15,0.133395,0.016494,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.71354,-2.7006283,26,Ready1H,10.941795,,,,26->26:Exact,none; server owns swing cadence
16,0.150057,0.016663,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.72659,-2.700177,26,Ready1H,10.958458,,,,26->26:Exact,none; server owns swing cadence
17,0.166866,0.016809,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.73939,-2.699688,26,Ready1H,10.975266,,,,26->26:Exact,none; server owns swing cadence
18,0.183664,0.016798,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.75302,-2.6992059,26,Ready1H,10.992064,,,,26->26:Exact,none; server owns swing cadence
19,0.200107,0.016442,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.76667,-2.6987238,26,Ready1H,11.008507,,,,26->26:Exact,none; server owns swing cadence
20,0.216877,0.016770,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.778984,-2.6982665,26,Ready1H,11.025277,,,,26->26:Exact,none; server owns swing cadence
21,0.233472,0.016595,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.79267,-2.697785,26,Ready1H,11.041873,,,,26->26:Exact,none; server owns swing cadence
22,0.250209,0.016737,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.805565,-2.6972966,26,Ready1H,11.05861,,,,26->26:Exact,none; server owns swing cadence
23,0.266993,0.016783,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.81881,-2.696845,26,Ready1H,11.075394,,,,26->26:Exact,none; server owns swing cadence
24,0.284437,0.017445,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.83303,-2.6963341,26,Ready1H,11.092838,,,,26->26:Exact,none; server owns swing cadence
25,0.300246,0.015809,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,82.84544,-2.6958776,26,Ready1H,11.108647,,,,26->26:Exact,none; server owns swing cadence
