row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,81.03626,-2.678692,26,Ready1H,21.90237,,,,26->26:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.015452,0.015452,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,81.01737,-2.6782675,26,Ready1H,21.917824,,,,26->26:Exact,none; server owns swing cadence
2,0.015452,0.000000,TargetSwitch,selection-change,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.100716,-2.8149445,26,Ready1H,21.917824,,,,26->26:Exact,from=0xF13000007900B1EF to=0xF13000007900B1F1
3,0.015452,0.000000,AttackStopSend,network-session-send,true,0x0000000000000000,CMSG_ATTACKSTOP,server,,unchecked,unchecked,none,-1,,26,Ready1H,21.917824,,,,26->26:Exact,CMSG_ATTACKSTOP
4,0.015452,0.000000,IntentOff,target-switch,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,81.01737,-2.6782675,26,Ready1H,21.917824,,,,26->26:Exact,local attack latch edge
5,0.015452,0.000000,AttackSwingSend,network-session-send,false,0xF13000007900B1F1,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,73.100716,-2.8149445,26,Ready1H,21.917824,,,,26->26:Exact,CMSG_ATTACKSWING
6,0.015452,0.000000,IntentOn,target-switch,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.100716,-2.8149445,26,Ready1H,21.917824,,,,26->26:Exact,local attack latch edge
7,0.035148,0.019696,Tick,live-sample,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.100716,-2.8149445,26,Ready1H,21.93752,,,,26->26:Exact,none; server owns swing cadence
8,0.035148,0.000000,AttackStopReceive,server,true,0xF13000007900B1EF,SMSG_ATTACKSTOP,server,,unchecked,unchecked,none,80.993866,-2.6777349,26,Ready1H,21.93752,,,,26->26:Exact,attacker=0x0000000000000001 victimDied=False
9,0.035148,0.000000,AttackStartReceive,server,true,0xF13000007900B1F1,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,73.100716,-2.8149445,26,Ready1H,21.93752,,,,26->26:Exact,attacker=0x0000000000000001
10,0.049111,0.013963,Tick,live-sample,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.100716,-2.8149445,26,Ready1H,21.95148,,,,26->26:Exact,none; server owns swing cadence
11,0.049111,0.000000,AnimChoice,animator,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.20728,-2.8154376,26,Ready1H,21.95148,,,,5->5:Exact,track=0 requested=5 played=5 kind=Exact base=26:Ready1H clipB= blendWeight=0
12,0.065145,0.016034,Tick,live-sample,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.20728,-2.8154376,5,Run,0.016162574,Ready1H,21.967516,0.011813104,5->5:Exact,none; server owns swing cadence
13,0.082067,0.016922,Tick,live-sample,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.31948,-2.8159547,5,Run,0.03321965,Ready1H,21.984438,0.047551155,5->5:Exact,none; server owns swing cadence
14,0.099323,0.017256,Tick,live-sample,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.43361,-2.816478,5,Run,0.050614104,Ready1H,22.001694,0.10481691,5->5:Exact,none; server owns swing cadence
15,0.115114,0.015791,Tick,live-sample,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.53838,-2.8169575,5,Run,0.066531636,Ready1H,22.017485,0.17230529,5->5:Exact,none; server owns swing cadence
16,0.131913,0.016798,Tick,live-sample,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.64971,-2.8174655,5,Run,0.083464324,Ready1H,22.034283,0.2564295,5->5:Exact,none; server owns swing cadence
17,0.148779,0.016867,Tick,live-sample,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.76194,-2.8179781,5,Run,0.10046586,Ready1H,22.05115,0.35009158,5->5:Exact,none; server owns swing cadence
18,0.165233,0.016453,Tick,live-sample,true,0xF13000007900B1F1,,server,,unchecked,unchecked,none,73.8714,-2.8184757,5,Run,0.11705078,Ready1H,22.067602,0.44682026,5->5:Exact,none; server owns swing cadence
