row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,4.1050024,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000007A00E7F9,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,50.059948,-3.529042,-3.529042,0,Stand,4.1199393,,,,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000007A00E7F9,,server,,unchecked,unchecked,none,50.059948,-3.529042,-3.529042,0,Stand,4.1199393,,,,0->0:Exact,local attack latch edge
3,0.017928,0.017928,Tick,live-sample,true,0xF13000007A00E7F9,,server,,unchecked,unchecked,none,50.059948,-3.529042,-3.529042,0,Stand,4.137867,,,,0->0:Exact,none; server owns swing cadence
4,0.033067,0.015140,Tick,live-sample,true,0xF13000007A00E7F9,,server,,unchecked,unchecked,none,50.059948,-3.529042,-3.529042,0,Stand,4.1530066,,,,0->0:Exact,none; server owns swing cadence
5,0.049753,0.016686,Tick,live-sample,true,0xF13000007A00E7F9,,server,,unchecked,unchecked,none,50.059948,-3.529042,-3.529042,0,Stand,4.169692,,,,0->0:Exact,none; server owns swing cadence
6,0.049753,0.000000,AttackStartReceive,server,true,0xF13000007A00E7F9,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,50.059948,-3.529042,-3.529042,0,Stand,4.169692,,,,0->0:Exact,attacker=0x0000000000000001
7,0.049753,0.000000,AnimChoice,animator,true,0xF13000007A00E7F9,,server,,unchecked,unchecked,none,50.059948,-3.529042,-3.529042,0,Stand,4.169692,,,,26->26:Exact,track=0 requested=26 played=26 kind=Exact base=0:Stand clipB= blendWeight=0
8,0.066429,0.016676,Tick,live-sample,true,0xF13000007A00E7F9,,server,,unchecked,unchecked,none,50.059948,-3.529042,-3.529042,26,Ready1H,0.0166757,Stand,4.1863675,0.034329176,26->26:Exact,none; server owns swing cadence
9,0.066429,0.000000,AttackErrorReceive,server-law,true,0xF13000007A00E7F9,SMSG_ATTACKSWING_NOTINRANGE,server,,unchecked,unchecked,none,50.059948,-3.529042,-3.529042,26,Ready1H,0.0166757,Stand,4.1863675,0.034329176,26->26:Exact,opcode=SMSG_ATTACKSWING_NOTINRANGE value=0x0145 bytes=0
