row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.0863183,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000007A00F286,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,94.47624,-4.326977,-4.326977,0,Stand,2.101701,,,,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.47624,-4.326977,-4.326977,0,Stand,2.101701,,,,0->0:Exact,local attack latch edge
3,0.016713,0.016713,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.45021,-4.3266454,-4.3266454,0,Stand,2.1184137,,,,0->0:Exact,none; server owns swing cadence
4,0.016713,0.000000,AttackStartReceive,server,true,0xF13000007A00F286,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,94.45021,-4.3266454,-4.3266454,0,Stand,2.1184137,,,,0->0:Exact,attacker=0x0000000000000001
5,0.016713,0.000000,AnimChoice,animator,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.42618,-4.326327,-4.326327,0,Stand,2.1184137,,,,26->26:Exact,track=0 requested=26 played=26 kind=Exact base=0:Stand clipB= blendWeight=0
6,0.033351,0.016639,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.42618,-4.326327,-4.326327,26,Ready1H,0.0166385,Stand,2.1350522,0.03418237,26->26:Exact,none; server owns swing cadence
7,0.049870,0.016518,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.400764,-4.325987,-4.325987,26,Ready1H,0.033157,Stand,2.1515708,0.12498355,26->26:Exact,none; server owns swing cadence
8,0.066797,0.016928,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.37527,-4.3256464,-4.3256464,26,Ready1H,0.0500846,Stand,2.1684985,0.2600116,26->26:Exact,none; server owns swing cadence
9,0.083291,0.016494,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.35127,-4.325327,-4.325327,26,Ready1H,0.0665783,Stand,2.1849923,0.41613698,26->26:Exact,none; server owns swing cadence
10,0.100595,0.017304,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.3239,-4.324974,-4.324974,26,Ready1H,0.083882496,Stand,2.2022965,0.5884098,26->26:Exact,none; server owns swing cadence
11,0.116733,0.016138,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.29993,-4.3246546,-4.3246546,26,Ready1H,0.100020595,Stand,2.2184346,0.7409239,26->26:Exact,none; server owns swing cadence
12,0.133538,0.016805,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.27457,-4.324314,-4.324314,26,Ready1H,0.11682549,Stand,2.2352395,0.874896,26->26:Exact,none; server owns swing cadence
13,0.149922,0.016384,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.25061,-4.323994,-4.323994,26,Ready1H,0.13320939,Stand,2.2516234,0.96521527,26->26:Exact,none; server owns swing cadence
14,0.166874,0.016952,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.225174,-4.3236523,-4.3236523,26,Ready1H,0.15016139,,,,26->26:Exact,none; server owns swing cadence
15,0.183600,0.016726,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.19935,-4.32332,-4.32332,26,Ready1H,0.16688739,,,,26->26:Exact,none; server owns swing cadence
16,0.200314,0.016714,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.17542,-4.3229995,-4.3229995,26,Ready1H,0.18360089,,,,26->26:Exact,none; server owns swing cadence
17,0.216735,0.016422,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.15002,-4.3226576,-4.3226576,26,Ready1H,0.20002238,,,,26->26:Exact,none; server owns swing cadence
18,0.233789,0.017054,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.124725,-4.3223157,-4.3223157,26,Ready1H,0.21707678,,,,26->26:Exact,none; server owns swing cadence
19,0.250107,0.016318,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.10083,-4.321995,-4.321995,26,Ready1H,0.23339438,,,,26->26:Exact,none; server owns swing cadence
20,0.267314,0.017207,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.07495,-4.321661,-4.321661,26,Ready1H,0.25060147,,,,26->26:Exact,none; server owns swing cadence
21,0.283386,0.016071,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.05108,-4.3213396,-4.3213396,26,Ready1H,0.26667288,,,,26->26:Exact,none; server owns swing cadence
22,0.300145,0.016760,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.025826,-4.320997,-4.320997,26,Ready1H,0.28343287,,,,26->26:Exact,none; server owns swing cadence
23,0.317173,0.017027,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,94.00049,-4.320654,-4.320654,26,Ready1H,0.30046007,,,,26->26:Exact,none; server owns swing cadence
24,0.333542,0.016369,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.97526,-4.320311,-4.320311,26,Ready1H,0.31682917,,,,26->26:Exact,none; server owns swing cadence
25,0.350300,0.016758,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.95142,-4.319989,-4.319989,26,Ready1H,0.33358708,,,,26->26:Exact,none; server owns swing cadence
26,0.367196,0.016896,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.92561,-4.319654,-4.319654,26,Ready1H,0.3504834,,,,26->26:Exact,none; server owns swing cadence
27,0.383764,0.016568,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.90041,-4.3193107,-4.3193107,26,Ready1H,0.36705118,,,,26->26:Exact,none; server owns swing cadence
28,0.400544,0.016780,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.87524,-4.3189673,-4.3189673,26,Ready1H,0.3838316,,,,26->26:Exact,none; server owns swing cadence
29,0.417173,0.016629,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.85133,-4.3186436,-4.3186436,26,Ready1H,0.4004604,,,,26->26:Exact,none; server owns swing cadence
30,0.433885,0.016712,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.82567,-4.318309,-4.318309,26,Ready1H,0.41717288,,,,26->26:Exact,none; server owns swing cadence
31,0.450603,0.016718,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.800514,-4.3179646,-4.3179646,26,Ready1H,0.4338908,,,,26->26:Exact,none; server owns swing cadence
32,0.467245,0.016642,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.77676,-4.3176417,-4.3176417,26,Ready1H,0.45053267,,,,26->26:Exact,none; server owns swing cadence
33,0.484884,0.017638,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.750145,-4.3172755,-4.3172755,26,Ready1H,0.46817088,,,,26->26:Exact,none; server owns swing cadence
34,0.500329,0.015445,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.727776,-4.3169727,-4.3169727,26,Ready1H,0.48361608,,,,26->26:Exact,none; server owns swing cadence
35,0.517118,0.016790,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.70216,-4.316637,-4.316637,26,Ready1H,0.50040567,,,,26->26:Exact,none; server owns swing cadence
36,0.533934,0.016815,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.67696,-4.3162913,-4.3162913,26,Ready1H,0.51722085,,,,26->26:Exact,none; server owns swing cadence
37,0.550531,0.016597,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.65188,-4.315946,-4.315946,26,Ready1H,0.53381824,,,,26->26:Exact,none; server owns swing cadence
38,0.567137,0.016606,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.628174,-4.315622,-4.315622,26,Ready1H,0.55042446,,,,26->26:Exact,none; server owns swing cadence
39,0.583680,0.016543,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.603004,-4.3152757,-4.3152757,26,Ready1H,0.56696767,,,,26->26:Exact,none; server owns swing cadence
40,0.600885,0.017204,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.595436,-4.315178,-4.315178,26,Ready1H,0.58417195,,,,26->26:Exact,none; server owns swing cadence
41,0.617601,0.016716,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.595436,-4.315178,-4.315178,26,Ready1H,0.6008881,,,,26->26:Exact,none; server owns swing cadence
42,0.634058,0.016457,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.595436,-4.315178,-4.315178,26,Ready1H,0.61734515,,,,26->26:Exact,none; server owns swing cadence
43,0.650794,0.016736,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.595436,-4.315178,-4.315178,26,Ready1H,0.63408095,,,,26->26:Exact,none; server owns swing cadence
44,0.667535,0.016741,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.595436,-4.315178,-4.315178,26,Ready1H,0.6508219,,,,26->26:Exact,none; server owns swing cadence
45,0.684169,0.016634,Tick,live-sample,true,0xF13000007A00F286,,server,,unchecked,unchecked,none,93.63276,-4.31531,-4.31531,26,Ready1H,0.66745615,,,,26->26:Exact,none; server owns swing cadence
