row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.0167265,WalkBackwards,4.023288,0.005099535,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000007A015EA6,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,71.34766,-1.2593784,-1.2593784,0,Stand,0.0333376,WalkBackwards,4.053188,0.019680798,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000007A015EA6,,server,,unchecked,unchecked,none,71.34766,-1.2593784,-1.2593784,0,Stand,0.0333376,WalkBackwards,4.053188,0.019680798,0->0:Exact,local attack latch edge
3,0.016699,0.016699,Tick,live-sample,true,0xF13000007A015EA6,,server,,unchecked,unchecked,none,71.34766,-1.2593784,-1.2593784,0,Stand,0.0500363,WalkBackwards,4.0832453,0.043028295,0->0:Exact,none; server owns swing cadence
4,0.033274,0.016575,Tick,live-sample,true,0xF13000007A015EA6,,server,,unchecked,unchecked,none,71.34766,-1.2593784,-1.2593784,0,Stand,0.0666114,WalkBackwards,4.1130805,0.07395893,0->0:Exact,none; server owns swing cadence
5,0.050041,0.016767,Tick,live-sample,true,0xF13000007A015EA6,,server,,unchecked,unchecked,none,71.34766,-1.2593784,-1.2593784,0,Stand,0.08337811,WalkBackwards,4.1432605,0.11223453,0->0:Exact,none; server owns swing cadence
6,0.066588,0.016547,Tick,live-sample,true,0xF13000007A015EA6,,server,,unchecked,unchecked,none,71.34766,-1.2593784,-1.2593784,0,Stand,0.0999255,WalkBackwards,4.1730456,0.15604049,0->0:Exact,none; server owns swing cadence
7,0.083294,0.016706,Tick,live-sample,true,0xF13000007A015EA6,,server,,unchecked,unchecked,none,71.34766,-1.2593784,-1.2593784,0,Stand,0.1166317,WalkBackwards,4.203117,0.2054761,0->0:Exact,none; server owns swing cadence
8,0.099969,0.016675,Tick,live-sample,true,0xF13000007A015EA6,,server,,unchecked,unchecked,none,71.34766,-1.2593784,-1.2593784,0,Stand,0.1333069,WalkBackwards,4.2331324,0.25917113,0->0:Exact,none; server owns swing cadence
9,0.099969,0.000000,AttackStartReceive,server,true,0xF13000007A015EA6,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,71.34766,-1.2593784,-1.2593784,0,Stand,0.1333069,WalkBackwards,4.2331324,0.25917113,0->0:Exact,attacker=0x0000000000000001
