row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,11,ShuffleLeft,0.5162863,,,,11->11:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000007A015EA7,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,58.806297,1.7197416,1.7197416,11,ShuffleLeft,0.53132874,,,,11->11:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000007A015EA7,,server,,unchecked,unchecked,none,58.806297,1.7197416,1.7197416,11,ShuffleLeft,0.53132874,,,,11->11:Exact,local attack latch edge
3,0.015237,0.015237,Tick,live-sample,true,0xF13000007A015EA7,,server,,unchecked,unchecked,none,58.806297,1.7197416,1.7197416,11,ShuffleLeft,0.5465657,,,,11->11:Exact,none; server owns swing cadence
4,0.031998,0.016761,Tick,live-sample,true,0xF13000007A015EA7,,server,,unchecked,unchecked,none,58.806297,1.7197416,1.7197416,11,ShuffleLeft,0.5633263,,,,11->11:Exact,none; server owns swing cadence
5,0.031998,0.000000,AnimChoice,animator,true,0xF13000007A015EA7,,server,,unchecked,unchecked,none,58.806297,1.7197416,1.7197416,11,ShuffleLeft,0.5633263,,,,0->0:Exact,track=0 requested=0 played=0 kind=Exact base=11:ShuffleLeft clipB= blendWeight=0
6,0.048644,0.016646,Tick,live-sample,true,0xF13000007A015EA7,,server,,unchecked,unchecked,none,58.806297,1.7197416,1.7197416,0,Stand,0.016646,ShuffleLeft,0.5799723,0.005051255,0->0:Exact,none; server owns swing cadence
7,0.065212,0.016568,Tick,live-sample,true,0xF13000007A015EA7,,server,,unchecked,unchecked,none,58.806297,1.7197416,1.7197416,0,Stand,0.0332139,ShuffleLeft,0.5965402,0.019539237,0->0:Exact,none; server owns swing cadence
8,0.082146,0.016934,Tick,live-sample,true,0xF13000007A015EA7,,server,,unchecked,unchecked,none,58.806297,1.7197416,1.7197416,0,Stand,0.050148398,ShuffleLeft,0.6134747,0.043212533,0->0:Exact,none; server owns swing cadence
9,0.082146,0.000000,AttackStartReceive,server,true,0xF13000007A015EA7,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,58.806297,1.7197416,1.7197416,0,Stand,0.050148398,ShuffleLeft,0.6134747,0.043212533,0->0:Exact,attacker=0x0000000000000001
