row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.3694563,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A27D,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0.50388235,-5.5172815,-5.5172815,0,Stand,1.388534,,,,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.50388235,-5.5172815,-5.5172815,0,Stand,1.388534,,,,0->0:Exact,local attack latch edge
3,0.015283,0.015283,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.5437058,-5.517207,-5.517207,0,Stand,1.4038173,,,,0->0:Exact,none; server owns swing cadence
4,0.029314,0.014031,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.5783203,-5.5170126,-5.5170126,0,Stand,1.4178485,,,,0->0:Exact,none; server owns swing cadence
5,0.047706,0.018392,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.6233472,-5.5171094,-5.5171094,0,Stand,1.4362402,,,,0->0:Exact,none; server owns swing cadence
6,0.064275,0.016569,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.6662276,-5.517391,-5.517391,0,Stand,1.4528093,,,,0->0:Exact,none; server owns swing cadence
7,0.080911,0.016636,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.70604557,-5.5173483,-5.5173483,0,Stand,1.4694455,,,,0->0:Exact,none; server owns swing cadence
8,0.095942,0.015030,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.7428121,-5.5169926,-5.5169926,0,Stand,1.484476,,,,0->0:Exact,none; server owns swing cadence
9,0.114193,0.018251,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.78783906,-5.5170703,-5.5170703,0,Stand,1.5027274,,,,0->0:Exact,none; server owns swing cadence
10,0.131091,0.016897,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.8307194,-5.5172987,-5.5172987,0,Stand,1.5196247,,,,0->0:Exact,none; server owns swing cadence
11,0.147726,0.016635,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.8726839,-5.5171156,-5.5171156,0,Stand,1.5362601,,,,0->0:Exact,none; server owns swing cadence
12,0.164580,0.016854,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.9155643,-5.5173206,-5.5173206,0,Stand,1.5531144,,,,0->0:Exact,none; server owns swing cadence
13,0.181043,0.016463,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.9553878,-5.517277,-5.517277,0,Stand,1.5695771,,,,0->0:Exact,none; server owns swing cadence
14,0.197652,0.016609,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,0.99735224,-5.517118,-5.517118,0,Stand,1.5861865,,,,0->0:Exact,none; server owns swing cadence
15,0.214352,0.016700,Tick,live-sample,true,0xF13000000604A27D,,server,,unchecked,unchecked,none,1.0402327,-5.517298,-5.517298,0,Stand,1.6028864,,,,0->0:Exact,none; server owns swing cadence
