row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,3.669492,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A27F,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0.54178494,-2.8462906,-2.8462906,0,Stand,3.686268,,,,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.54178494,-2.8462906,-2.8462906,0,Stand,3.686268,,,,0->0:Exact,local attack latch edge
3,0.016902,0.016902,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.5839908,-2.8463185,-2.8463185,0,Stand,3.7031703,,,,0->0:Exact,none; server owns swing cadence
4,0.033590,0.016687,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.62422895,-2.8462667,-2.8462667,0,Stand,3.7198577,,,,0->0:Exact,none; server owns swing cadence
5,0.050249,0.016659,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.6664364,-2.8463154,-2.8463154,0,Stand,3.7365167,,,,0->0:Exact,none; server owns swing cadence
6,0.066917,0.016668,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.7086423,-2.8463368,-2.8463368,0,Stand,3.7531848,,,,0->0:Exact,none; server owns swing cadence
7,0.083597,0.016680,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.74888045,-2.846293,-2.846293,0,Stand,3.7698646,,,,0->0:Exact,none; server owns swing cadence
8,0.100254,0.016658,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.79108787,-2.8463326,-2.8463326,0,Stand,3.7865222,,,,0->0:Exact,none; server owns swing cadence
9,0.116713,0.016458,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.8342654,-2.8462327,-2.8462327,0,Stand,3.8029807,,,,0->0:Exact,none; server owns swing cadence
10,0.133451,0.016738,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.8735319,-2.8463116,-2.8463116,0,Stand,3.819719,,,,0->0:Exact,none; server owns swing cadence
11,0.149974,0.016523,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.9157393,-2.846345,-2.846345,0,Stand,3.836242,,,,0->0:Exact,none; server owns swing cadence
12,0.166827,0.016853,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,0.95891684,-2.8462574,-2.8462574,0,Stand,3.8530948,,,,0->0:Exact,none; server owns swing cadence
13,0.184641,0.017815,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.0011243,-2.8462903,-2.8462903,0,Stand,3.8709095,,,,0->0:Exact,none; server owns swing cadence
14,0.200134,0.015493,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.0413624,-2.8462603,-2.8462603,0,Stand,3.8864026,,,,0->0:Exact,none; server owns swing cadence
15,0.216729,0.016595,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.0835683,-2.8462765,-2.8462765,0,Stand,3.9029975,,,,0->0:Exact,none; server owns swing cadence
16,0.233576,0.016847,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.1238079,-2.846263,-2.846263,0,Stand,3.9198444,,,,0->0:Exact,none; server owns swing cadence
17,0.250114,0.016538,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.1660138,-2.846278,-2.846278,0,Stand,3.9363825,,,,0->0:Exact,none; server owns swing cadence
18,0.266874,0.016760,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.2082198,-2.8462918,-2.8462918,0,Stand,3.9531426,,,,0->0:Exact,none; server owns swing cadence
19,0.283411,0.016537,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.2484595,-2.846279,-2.846279,0,Stand,3.9696796,,,,0->0:Exact,none; server owns swing cadence
20,0.300146,0.016735,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.2906654,-2.846292,-2.846292,0,Stand,3.9864142,,,,0->0:Exact,none; server owns swing cadence
21,0.317246,0.017100,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.3328727,-2.8463154,-2.8463154,0,Stand,4.003514,,,,0->0:Exact,none; server owns swing cadence
22,0.333722,0.016476,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.3760502,-2.8462555,-2.8462555,0,Stand,4.01999,,,,0->0:Exact,none; server owns swing cadence
23,0.350190,0.016468,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.4153168,-2.8463035,-2.8463035,0,Stand,4.036458,,,,0->0:Exact,none; server owns swing cadence
24,0.367232,0.017042,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.4575242,-2.8463247,-2.8463247,0,Stand,4.0534997,,,,0->0:Exact,none; server owns swing cadence
25,0.383971,0.016739,Tick,live-sample,true,0xF13000000604A27F,,server,,unchecked,unchecked,none,1.5007018,-2.8462694,-2.8462694,0,Stand,4.0702386,,,,0->0:Exact,none; server owns swing cadence
