row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.2125138,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000007900B1EF,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,2.2054114,-2.8867774,-2.8867774,0,Stand,1.2226303,,,,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.2054114,-2.8867774,-2.8867774,0,Stand,1.2226303,,,,0->0:Exact,local attack latch edge
3,0.012461,0.012461,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.2379189,-2.8866472,-2.8866472,0,Stand,1.2350916,,,,0->0:Exact,none; server owns swing cadence
4,0.026840,0.014378,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.272411,-2.8865597,-2.8865597,0,Stand,1.24947,,,,0->0:Exact,none; server owns swing cadence
5,0.043623,0.016783,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.3147588,-2.886368,-2.886368,0,Stand,1.2662531,,,,0->0:Exact,none; server owns swing cadence
6,0.062103,0.018481,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.359109,-2.8862724,-2.8862724,0,Stand,1.2847337,,,,0->0:Exact,none; server owns swing cadence
7,0.078428,0.016324,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.4014566,-2.8860924,-2.8860924,0,Stand,1.3010582,,,,0->0:Exact,none; server owns swing cadence
8,0.095222,0.016794,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.4438217,-2.8859684,-2.8859684,0,Stand,1.317852,,,,0->0:Exact,none; server owns swing cadence
9,0.111163,0.015941,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.4832342,-2.8858669,-2.8858669,0,Stand,1.3337932,,,,0->0:Exact,none; server owns swing cadence
10,0.128478,0.017315,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.5255823,-2.8857026,-2.8857026,0,Stand,1.3511083,,,,0->0:Exact,none; server owns swing cadence
11,0.143561,0.015083,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.5630271,-2.8856204,-2.8856204,0,Stand,1.3661911,,,,0->0:Exact,none; server owns swing cadence
12,0.160358,0.016798,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.605375,-2.8854651,-2.8854651,0,Stand,1.3829887,,,,0->0:Exact,none; server owns swing cadence
13,0.178519,0.018160,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6497252,-2.885395,-2.885395,0,Stand,1.401149,,,,0->0:Exact,none; server owns swing cadence
14,0.196113,0.017595,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6920733,-2.8852484,-2.8852484,0,Stand,1.4187436,,,,0->0:Exact,none; server owns swing cadence
15,0.211883,0.015770,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.7324533,-2.885117,-2.885117,0,Stand,1.4345131,,,,0->0:Exact,none; server owns swing cadence
16,0.228987,0.017104,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.7738514,-2.8850713,-2.8850713,0,Stand,1.4516175,,,,0->0:Exact,none; server owns swing cadence
17,0.245840,0.016852,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.8161998,-2.884936,-2.884936,0,Stand,1.4684699,,,,0->0:Exact,none; server owns swing cadence
18,0.261946,0.016106,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.85658,-2.8848147,-2.8848147,0,Stand,1.4845757,,,,0->0:Exact,none; server owns swing cadence
19,0.278671,0.016725,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.897978,-2.8847754,-2.8847754,0,Stand,1.5013007,,,,0->0:Exact,none; server owns swing cadence
20,0.295542,0.016872,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.9403265,-2.88465,-2.88465,0,Stand,1.5181723,,,,0->0:Exact,none; server owns swing cadence
21,0.311701,0.016159,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.9807067,-2.8845377,-2.8845377,0,Stand,1.5343307,,,,0->0:Exact,none; server owns swing cadence
22,0.329464,0.017764,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.0250568,-2.88449,-2.88449,0,Stand,1.5520946,,,,0->0:Exact,none; server owns swing cadence
23,0.345223,0.015758,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.0644534,-2.8843873,-2.8843873,0,Stand,1.5678531,,,,0->0:Exact,none; server owns swing cadence
24,0.361931,0.016708,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.1048336,-2.8842828,-2.8842828,0,Stand,1.584561,,,,0->0:Exact,none; server owns swing cadence
25,0.378501,0.016570,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.147199,-2.8842108,-2.8842108,0,Stand,1.6011308,,,,0->0:Exact,none; server owns swing cadence
26,0.393761,0.015261,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.18366,-2.8841662,-2.8841662,0,Stand,1.6163914,,,,0->0:Exact,none; server owns swing cadence
27,0.412137,0.018375,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.2309456,-2.8840766,-2.8840766,0,Stand,1.6347668,,,,0->0:Exact,none; server owns swing cadence
28,0.428534,0.016397,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.2713263,-2.8839812,-2.8839812,0,Stand,1.6511642,,,,0->0:Exact,none; server owns swing cadence
29,0.445393,0.016859,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.3136916,-2.8839166,-2.8839166,0,Stand,1.6680231,,,,0->0:Exact,none; server owns swing cadence
30,0.461822,0.016429,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.3531048,-2.8838656,-2.8838656,0,Stand,1.684452,,,,0->0:Exact,none; server owns swing cadence
31,0.478685,0.016863,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.3954535,-2.8837686,-2.8837686,0,Stand,1.701315,,,,0->0:Exact,none; server owns swing cadence
32,0.495475,0.016791,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.420089,-2.8837426,-2.8837426,0,Stand,1.7181058,,,,0->0:Exact,none; server owns swing cadence
33,0.512151,0.016675,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.420089,-2.8837426,-2.8837426,0,Stand,1.734781,,,,0->0:Exact,none; server owns swing cadence
34,0.528583,0.016433,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.420089,-2.8837426,-2.8837426,0,Stand,1.7512138,,,,0->0:Exact,none; server owns swing cadence
35,0.545303,0.016719,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.420089,-2.8837426,-2.8837426,0,Stand,1.7679329,,,,0->0:Exact,none; server owns swing cadence
36,0.561935,0.016632,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.420089,-2.8837426,-2.8837426,0,Stand,1.7845653,,,,0->0:Exact,none; server owns swing cadence
37,0.578557,0.016622,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.420089,-2.8837426,-2.8837426,0,Stand,1.801187,,,,0->0:Exact,none; server owns swing cadence
38,0.595713,0.017157,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.403024,-2.8951664,-2.8951664,0,Stand,1.8183436,,,,0->0:Exact,none; server owns swing cadence
39,0.612079,0.016366,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.3880045,-2.906007,-2.906007,0,Stand,1.8347093,,,,0->0:Exact,none; server owns swing cadence
40,0.628561,0.016482,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.3718157,-2.9176478,-2.9176478,0,Stand,1.851191,,,,0->0:Exact,none; server owns swing cadence
41,0.643937,0.015376,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.3581932,-2.9279895,-2.9279895,0,Stand,1.8665669,,,,0->0:Exact,none; server owns swing cadence
42,0.660586,0.016649,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.3428771,-2.939836,-2.939836,0,Stand,1.883216,,,,0->0:Exact,none; server owns swing cadence
43,0.677345,0.016759,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.3289907,-2.9517303,-2.9517303,0,Stand,1.8999753,,,,0->0:Exact,none; server owns swing cadence
44,0.694137,0.016792,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.3146255,-2.963786,-2.963786,0,Stand,1.9167674,,,,0->0:Exact,none; server owns swing cadence
45,0.711685,0.017548,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.300774,-2.9759808,-2.9759808,0,Stand,1.9343152,,,,0->0:Exact,none; server owns swing cadence
46,0.727463,0.015779,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.2887585,-2.9874496,-2.9874496,0,Stand,1.9500939,,,,0->0:Exact,none; server owns swing cadence
47,0.743994,0.016531,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.2762637,-2.9991117,-2.9991117,0,Stand,1.9666246,,,,0->0:Exact,none; server owns swing cadence
48,0.760802,0.016808,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,3.2647617,-3.0114746,-3.0114746,0,Stand,1.9834322,,,,0->0:Exact,none; server owns swing cadence
