row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.0893687,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,TeleportWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.0893687,,,,0->0:Exact,opcode=0x00C7;bytes=34;hex=010100000000000000005DF90601CDD70BC6357E04C3F90FA74276BE2F4013000000
2,0.000000,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.0893687,,,,0->0:Exact,opcode=0x0096;bytes=32;hex=0A0000000000000000000000000E000000474D206D6F6465206973204F4E0000
3,0.000000,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.0893687,,,,0->0:Exact,opcode=0x01CB;bytes=14;hex=474D206D6F6465206973204F4E00
4,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF130000045013859,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,58.894173,-5.1337466,-5.1337466,0,Stand,0.099937305,,,,0->0:Exact,CMSG_ATTACKSWING
5,0.000000,0.000000,IntentOn,user-start,true,0xF130000045013859,,server,,unchecked,unchecked,none,58.894173,-5.1337466,-5.1337466,0,Stand,0.099937305,,,,0->0:Exact,local attack latch edge
6,0.000000,0.000000,TeleportApplied,server-authoritative,true,0x0000000000000001,,server,,unchecked,unchecked,none,0,,,0,Stand,0.099937305,,,,0->0:Exact,counter=0;position=-8949.95|-132.493|83.5312;orientation=2.7459998;movementTime=17234269;flags=0x00000000
7,0.000000,0.000000,TeleportWire,client-send,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.099937305,,,,0->0:Exact,opcode=0x00C7;bytes=16;hex=01000000000000000000000061210000
8,0.000000,0.000000,GmChatResponse,server-chat,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.099937305,,,,0->0:Exact,GM mode is ON
9,0.000000,0.000000,GmChatResponse,server-chat,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.099937305,,,,0->0:Exact,GM mode is ON
10,0.021068,0.021068,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,58.93263,-5.1343594,-5.1343594,0,Stand,0.121005304,,,,0->0:Exact,none; server owns swing cadence
11,0.036763,0.015695,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,58.959705,-5.1347895,-5.1347895,0,Stand,0.1367004,,,,0->0:Exact,none; server owns swing cadence
12,0.053370,0.016607,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,58.99107,-5.1352873,-5.1352873,0,Stand,0.1533072,,,,0->0:Exact,none; server owns swing cadence
13,0.070257,0.016887,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.02245,-5.135785,-5.135785,0,Stand,0.1701946,,,,0->0:Exact,none; server owns swing cadence
14,0.087124,0.016866,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.05313,-5.1362705,-5.1362705,0,Stand,0.187061,,,,0->0:Exact,none; server owns swing cadence
15,0.100121,0.012997,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.076683,-5.136643,-5.136643,0,Stand,0.2000583,,,,0->0:Exact,none; server owns swing cadence
16,0.116854,0.016733,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.10596,-5.137105,-5.137105,0,Stand,0.2167911,,,,0->0:Exact,none; server owns swing cadence
17,0.136998,0.020144,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.14454,-5.1377134,-5.1377134,0,Stand,0.23693499,,,,0->0:Exact,none; server owns swing cadence
18,0.153679,0.016681,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.173843,-5.1381745,-5.1381745,0,Stand,0.2536161,,,,0->0:Exact,none; server owns swing cadence
19,0.167019,0.013340,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.19959,-5.138579,-5.138579,0,Stand,0.2669564,,,,0->0:Exact,none; server owns swing cadence
20,0.183507,0.016488,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.28344408,,,,0->0:Exact,none; server owns swing cadence
21,0.203378,0.019871,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.30331507,,,,0->0:Exact,none; server owns swing cadence
22,0.216824,0.013446,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.31676117,,,,0->0:Exact,none; server owns swing cadence
23,0.236814,0.019991,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.33675167,,,,0->0:Exact,none; server owns swing cadence
24,0.252339,0.015525,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.35227627,,,,0->0:Exact,none; server owns swing cadence
25,0.266909,0.014570,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.36684605,,,,0->0:Exact,none; server owns swing cadence
26,0.286393,0.019485,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.38633066,,,,0->0:Exact,none; server owns swing cadence
27,0.302272,0.015879,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.40220937,,,,0->0:Exact,none; server owns swing cadence
28,0.316918,0.014646,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.41685516,,,,0->0:Exact,none; server owns swing cadence
29,0.335413,0.018495,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.43534994,,,,0->0:Exact,none; server owns swing cadence
30,0.352177,0.016764,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.45211375,,,,0->0:Exact,none; server owns swing cadence
31,0.368969,0.016792,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.46890596,,,,0->0:Exact,none; server owns swing cadence
32,0.385156,0.016187,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.48509327,,,,0->0:Exact,none; server owns swing cadence
33,0.400414,0.015258,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.50035137,,,,0->0:Exact,none; server owns swing cadence
34,0.418642,0.018228,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.51857924,,,,0->0:Exact,none; server owns swing cadence
35,0.435290,0.016648,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.53522724,,,,0->0:Exact,none; server owns swing cadence
36,0.450447,0.015157,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.5503845,,,,0->0:Exact,none; server owns swing cadence
37,0.469330,0.018883,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.5692671,,,,0->0:Exact,none; server owns swing cadence
38,0.483866,0.014536,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.5838027,,,,0->0:Exact,none; server owns swing cadence
39,0.502839,0.018974,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.6027763,,,,0->0:Exact,none; server owns swing cadence
40,0.519053,0.016214,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.61899,,,,0->0:Exact,none; server owns swing cadence
41,0.535685,0.016632,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.6356223,,,,0->0:Exact,none; server owns swing cadence
42,0.552357,0.016672,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.6522941,,,,0->0:Exact,none; server owns swing cadence
43,0.568981,0.016624,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.6689182,,,,0->0:Exact,none; server owns swing cadence
44,0.585504,0.016523,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.6854413,,,,0->0:Exact,none; server owns swing cadence
45,0.600641,0.015137,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.70057863,,,,0->0:Exact,none; server owns swing cadence
46,0.617381,0.016740,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.71731836,,,,0->0:Exact,none; server owns swing cadence
47,0.633959,0.016578,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.7338961,,,,0->0:Exact,none; server owns swing cadence
48,0.650686,0.016727,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.75062317,,,,0->0:Exact,none; server owns swing cadence
49,0.669360,0.018674,Tick,live-sample,true,0xF130000045013859,,server,,unchecked,unchecked,none,59.212463,-5.138781,-5.138781,0,Stand,0.7692975,,,,0->0:Exact,none; server owns swing cadence
