row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,7.7918015,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.808504,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=True;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0.66123295;targetPosition=-8949.507|-132.00243|83.52796
2,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A282,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.808504,,,,0->0:Exact,CMSG_ATTACKSWING
3,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.808504,,,,0->0:Exact,local attack latch edge
4,0.016661,0.016661,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.8251653,,,,0->0:Exact,none; server owns swing cadence
5,0.033537,0.016876,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.842041,,,,0->0:Exact,none; server owns swing cadence
6,0.050196,0.016659,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.8587003,,,,0->0:Exact,none; server owns swing cadence
7,0.066900,0.016703,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.875404,,,,0->0:Exact,none; server owns swing cadence
8,0.083574,0.016674,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.892078,,,,0->0:Exact,none; server owns swing cadence
9,0.100361,0.016788,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.9088655,,,,0->0:Exact,none; server owns swing cadence
10,0.116895,0.016534,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.9253993,,,,0->0:Exact,none; server owns swing cadence
11,0.133632,0.016736,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.942136,,,,0->0:Exact,none; server owns swing cadence
12,0.150147,0.016516,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.9586515,,,,0->0:Exact,none; server owns swing cadence
13,0.167089,0.016942,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.975593,,,,0->0:Exact,none; server owns swing cadence
14,0.183503,0.016414,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,7.992007,,,,0->0:Exact,none; server owns swing cadence
15,0.200224,0.016721,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.008728,,,,0->0:Exact,none; server owns swing cadence
16,0.216979,0.016756,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.025484,,,,0->0:Exact,none; server owns swing cadence
17,0.233555,0.016575,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.042059,,,,0->0:Exact,none; server owns swing cadence
18,0.250428,0.016873,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.058932,,,,0->0:Exact,none; server owns swing cadence
19,0.266925,0.016498,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.07543,,,,0->0:Exact,none; server owns swing cadence
20,0.283746,0.016820,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.09225,,,,0->0:Exact,none; server owns swing cadence
21,0.300324,0.016578,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.108829,,,,0->0:Exact,none; server owns swing cadence
22,0.316869,0.016546,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.125374,,,,0->0:Exact,none; server owns swing cadence
23,0.333701,0.016831,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.142205,,,,0->0:Exact,none; server owns swing cadence
24,0.351468,0.017767,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.159972,,,,0->0:Exact,none; server owns swing cadence
25,0.366930,0.015462,Tick,live-sample,true,0xF13000000604A282,,server,,unchecked,unchecked,none,0.6612311,-1.910094,-1.910094,0,Stand,8.175434,,,,0->0:Exact,none; server owns swing cadence
