row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,39,JumpEnd,0.80530006,,,,39->39:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.8165265,,,,39->39:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=True;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8949.95|-132.493|83.529526
2,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A284,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.8165265,,,,39->39:Exact,CMSG_ATTACKSWING
3,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.8165265,,,,39->39:Exact,local attack latch edge
4,0.016897,0.016897,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.83342355,,,,39->39:Exact,none; server owns swing cadence
5,0.032225,0.015328,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.84875154,,,,39->39:Exact,none; server owns swing cadence
6,0.049091,0.016865,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.86561704,,,,39->39:Exact,none; server owns swing cadence
7,0.065473,0.016382,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.88199914,,,,39->39:Exact,none; server owns swing cadence
8,0.082008,0.016535,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.8985344,,,,39->39:Exact,none; server owns swing cadence
9,0.099220,0.017212,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.9157467,,,,39->39:Exact,none; server owns swing cadence
10,0.114453,0.015233,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.93097967,,,,39->39:Exact,none; server owns swing cadence
11,0.132480,0.018027,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.9490068,,,,39->39:Exact,none; server owns swing cadence
12,0.148545,0.016065,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.9650717,,,,39->39:Exact,none; server owns swing cadence
13,0.165466,0.016920,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.98199207,,,,39->39:Exact,none; server owns swing cadence
14,0.182713,0.017247,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,0.99923897,,,,39->39:Exact,none; server owns swing cadence
15,0.197930,0.015218,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,1.0144566,,,,39->39:Exact,none; server owns swing cadence
16,0.197930,0.000000,AnimChoice,animator,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,39,JumpEnd,1.0144566,,,,0->0:Exact,track=0 requested=0 played=0 kind=Exact base=39:JumpEnd clipB= blendWeight=0
17,0.214430,0.016499,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.0164992,JumpEnd,1.0309558,0.004963815,0->0:Exact,none; server owns swing cadence
18,0.233350,0.018920,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.035419703,JumpEnd,1.0498763,0.022134244,0->0:Exact,none; server owns swing cadence
19,0.249254,0.015904,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.051323704,JumpEnd,1.0657803,0.045165002,0->0:Exact,none; server owns swing cadence
20,0.265592,0.016338,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.067662,JumpEnd,1.0821186,0.07616007,0->0:Exact,none; server owns swing cadence
21,0.282244,0.016651,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.0843133,JumpEnd,1.0987699,0.1145587,0->0:Exact,none; server owns swing cadence
22,0.298840,0.016597,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.10091,JumpEnd,1.1153666,0.15881711,0->0:Exact,none; server owns swing cadence
23,0.315834,0.016994,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.117903605,JumpEnd,1.1323602,0.20942962,0->0:Exact,none; server owns swing cadence
24,0.332588,0.016754,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.1346575,JumpEnd,1.1491141,0.26368415,0->0:Exact,none; server owns swing cadence
25,0.349029,0.016442,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.1510991,JumpEnd,1.1655557,0.32027602,0->0:Exact,none; server owns swing cadence
26,0.364516,0.015487,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.1665861,JumpEnd,1.1810427,0.37586385,0->0:Exact,none; server owns swing cadence
27,0.382516,0.017999,Tick,live-sample,true,0xF13000000604A284,,server,,unchecked,unchecked,none,0,,,0,Stand,0.1845855,JumpEnd,1.1990421,0.44231015,0->0:Exact,none; server owns swing cadence
