row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,12.827033,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.843876,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=true;gmSource=server-response;present=true;visible=true;alive=True;health=100;maxHealth=100;unitFlags=0x08000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=4.7765236;targetPosition=-8947.907|-128.17711|83.408806
2,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A283,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.843876,,,,0->0:Exact,CMSG_ATTACKSWING
3,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.843876,,,,0->0:Exact,local attack latch edge
4,0.017123,0.017123,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.860999,,,,0->0:Exact,none; server owns swing cadence
5,0.033173,0.016050,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.877049,,,,0->0:Exact,none; server owns swing cadence
6,0.049954,0.016781,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.89383,,,,0->0:Exact,none; server owns swing cadence
7,0.066853,0.016899,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.910729,,,,0->0:Exact,none; server owns swing cadence
8,0.083329,0.016475,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.927205,,,,0->0:Exact,none; server owns swing cadence
9,0.100168,0.016840,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.944045,,,,0->0:Exact,none; server owns swing cadence
10,0.116705,0.016536,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.960582,,,,0->0:Exact,none; server owns swing cadence
11,0.134895,0.018190,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.978772,,,,0->0:Exact,none; server owns swing cadence
12,0.149936,0.015041,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,12.993813,,,,0->0:Exact,none; server owns swing cadence
13,0.166694,0.016758,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.010571,,,,0->0:Exact,none; server owns swing cadence
14,0.183387,0.016693,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.027264,,,,0->0:Exact,none; server owns swing cadence
15,0.200047,0.016660,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.043923,,,,0->0:Exact,none; server owns swing cadence
16,0.216978,0.016931,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.060855,,,,0->0:Exact,none; server owns swing cadence
17,0.233335,0.016357,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.077211,,,,0->0:Exact,none; server owns swing cadence
18,0.250022,0.016687,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.093899,,,,0->0:Exact,none; server owns swing cadence
19,0.267089,0.017067,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.110966,,,,0->0:Exact,none; server owns swing cadence
20,0.283518,0.016429,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.127395,,,,0->0:Exact,none; server owns swing cadence
21,0.300162,0.016644,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.144038,,,,0->0:Exact,none; server owns swing cadence
22,0.317031,0.016869,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.160908,,,,0->0:Exact,none; server owns swing cadence
23,0.333688,0.016656,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.177565,,,,0->0:Exact,none; server owns swing cadence
24,0.350190,0.016502,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.194067,,,,0->0:Exact,none; server owns swing cadence
25,0.366913,0.016723,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.210791,,,,0->0:Exact,none; server owns swing cadence
26,0.383873,0.016959,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.22775,,,,0->0:Exact,none; server owns swing cadence
27,0.400346,0.016473,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.244223,,,,0->0:Exact,none; server owns swing cadence
28,0.416928,0.016582,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.260805,,,,0->0:Exact,none; server owns swing cadence
29,0.434950,0.018022,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.278827,,,,0->0:Exact,none; server owns swing cadence
30,0.450391,0.015441,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.294268,,,,0->0:Exact,none; server owns swing cadence
31,0.467045,0.016654,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.310921,,,,0->0:Exact,none; server owns swing cadence
32,0.483668,0.016623,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.327543,,,,0->0:Exact,none; server owns swing cadence
33,0.500297,0.016629,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.3441725,,,,0->0:Exact,none; server owns swing cadence
34,0.516925,0.016628,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.360801,,,,0->0:Exact,none; server owns swing cadence
35,0.533699,0.016774,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.377574,,,,0->0:Exact,none; server owns swing cadence
36,0.550521,0.016822,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.394396,,,,0->0:Exact,none; server owns swing cadence
37,0.567212,0.016691,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.411087,,,,0->0:Exact,none; server owns swing cadence
38,0.583747,0.016535,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.427623,,,,0->0:Exact,none; server owns swing cadence
39,0.600350,0.016603,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.444225,,,,0->0:Exact,none; server owns swing cadence
40,0.616967,0.016617,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.460842,,,,0->0:Exact,none; server owns swing cadence
41,0.634515,0.017548,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.478391,,,,0->0:Exact,none; server owns swing cadence
42,0.650371,0.015856,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.4942465,,,,0->0:Exact,none; server owns swing cadence
43,0.667177,0.016806,Tick,live-sample,true,0xF13000000604A283,,server,,unchecked,unchecked,none,4.774998,-1.6173129,-1.6173129,0,Stand,13.511053,,,,0->0:Exact,none; server owns swing cadence
