row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.4279437,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.44364,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=True;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8949.95|-132.493|83.529526
2,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A285,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,1.44364,,,,0->0:Exact,CMSG_ATTACKSWING
3,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.44364,,,,0->0:Exact,local attack latch edge
4,0.013862,0.013862,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4575024,,,,0->0:Exact,none; server owns swing cadence
5,0.029577,0.015714,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4732168,,,,0->0:Exact,none; server owns swing cadence
6,0.046652,0.017075,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4902921,,,,0->0:Exact,none; server owns swing cadence
7,0.061484,0.014832,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.505124,,,,0->0:Exact,none; server owns swing cadence
8,0.079942,0.018458,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.5235822,,,,0->0:Exact,none; server owns swing cadence
9,0.096629,0.016686,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.5402687,,,,0->0:Exact,none; server owns swing cadence
10,0.145939,0.049310,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.589579,,,,0->0:Exact,none; server owns swing cadence
11,0.148974,0.003035,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.5926137,,,,0->0:Exact,none; server owns swing cadence
12,0.163196,0.014222,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6068358,,,,0->0:Exact,none; server owns swing cadence
13,0.179924,0.016728,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6235641,,,,0->0:Exact,none; server owns swing cadence
14,0.196443,0.016519,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6400834,,,,0->0:Exact,none; server owns swing cadence
15,0.212911,0.016468,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6565515,,,,0->0:Exact,none; server owns swing cadence
16,0.229592,0.016681,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6732326,,,,0->0:Exact,none; server owns swing cadence
17,0.246854,0.017262,Tick,live-sample,true,0xF13000000604A285,,server,,unchecked,unchecked,none,0,,,0,Stand,1.6904942,,,,0->0:Exact,none; server owns swing cadence
