row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.850293,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A286,,server,,unchecked,unchecked,none,1.8915144,-0.36661005,-0.36661005,0,Stand,2.8668487,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=True;health=100;maxHealth=100;unitFlags=0x00080000;dynamicFlags=0x00000000;faction=25;entry=6;distance=1.8917537;targetPosition=-8951.318|-131.18687|83.49944
2,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A286,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,1.8915144,-0.36661005,-0.36661005,0,Stand,2.8668487,,,,0->0:Exact,CMSG_ATTACKSWING
3,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A286,,server,,unchecked,unchecked,none,1.8915144,-0.36661005,-0.36661005,0,Stand,2.8668487,,,,0->0:Exact,local attack latch edge
4,0.016681,0.016681,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,1.999568,-0.36663294,-0.36663294,0,Stand,2.8835294,,,,0->0:Exact,none; server owns swing cadence
5,0.033500,0.016820,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,2.0955217,-0.36667967,-0.36667967,0,Stand,2.9003491,,,,0->0:Exact,none; server owns swing cadence
6,0.050193,0.016693,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,2.191486,-0.3667271,-0.3667271,0,Stand,2.9170418,,,,0->0:Exact,none; server owns swing cadence
7,0.066753,0.016560,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,2.293848,-0.36660933,-0.36660933,0,Stand,2.933602,,,,0->0:Exact,none; server owns swing cadence
8,0.083547,0.016794,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,2.3961995,-0.3664968,-0.3664968,0,Stand,2.9503958,,,,0->0:Exact,none; server owns swing cadence
9,0.100252,0.016705,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,2.4921637,-0.36654568,-0.36654568,0,Stand,2.9671006,,,,0->0:Exact,none; server owns swing cadence
10,0.116895,0.016643,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,2.5938194,-0.36670852,-0.36670852,0,Stand,2.9837441,,,,0->0:Exact,none; server owns swing cadence
11,0.133481,0.016586,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,2.6961708,-0.3666048,-0.3666048,0,Stand,3.00033,,,,0->0:Exact,none; server owns swing cadence
12,0.150228,0.016747,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,2.7921352,-0.36664462,-0.36664462,0,Stand,3.0170767,,,,0->0:Exact,none; server owns swing cadence
13,0.166836,0.016608,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,2.8944974,-0.36655402,-0.36655402,0,Stand,3.0336852,,,,0->0:Exact,none; server owns swing cadence
14,0.183620,0.016784,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,2.9961424,-0.3666911,-0.3666911,0,Stand,3.0504687,,,,0->0:Exact,none; server owns swing cadence
15,0.200437,0.016817,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,3.0985045,-0.3666048,-0.3666048,0,Stand,3.0672855,,,,0->0:Exact,none; server owns swing cadence
16,0.216896,0.016459,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,3.2537274,-0.36528707,-0.36528707,0,Stand,3.0837443,,,,0->0:Exact,none; server owns swing cadence
17,0.233648,0.016753,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,3.3561318,-0.3652637,-0.3652637,0,Stand,3.100497,,,,0->0:Exact,none; server owns swing cadence
18,0.251166,0.017518,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,3.457829,-0.36543608,-0.36543608,0,Stand,3.1180153,,,,0->0:Exact,none; server owns swing cadence
19,0.266880,0.015714,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,3.5538352,-0.36551166,-0.36551166,0,Stand,3.1337292,,,,0->0:Exact,none; server owns swing cadence
20,0.283792,0.016912,Tick,live-sample,true,0xF13000000604A286,,server,,unchecked,unchecked,none,3.6562395,-0.36548376,-0.36548376,0,Stand,3.1506412,,,,0->0:Exact,none; server owns swing cadence
