row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.47065854,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A279,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,0.48882693,,,,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.48882693,,,,0->0:Exact,local attack latch edge
3,0.011473,0.011473,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.50029993,,,,0->0:Exact,none; server owns swing cadence
4,0.028111,0.016638,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.51693815,,,,0->0:Exact,none; server owns swing cadence
5,0.048407,0.020296,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.53723437,,,,0->0:Exact,none; server owns swing cadence
6,0.065173,0.016766,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.5540004,,,,0->0:Exact,none; server owns swing cadence
7,0.078133,0.012960,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.5669603,,,,0->0:Exact,none; server owns swing cadence
8,0.094857,0.016723,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.58368355,,,,0->0:Exact,none; server owns swing cadence
9,0.115306,0.020450,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.60413325,,,,0->0:Exact,none; server owns swing cadence
10,0.132626,0.017319,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.6214526,,,,0->0:Exact,none; server owns swing cadence
11,0.148549,0.015923,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.6373757,,,,0->0:Exact,none; server owns swing cadence
12,0.165271,0.016722,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.6540979,,,,0->0:Exact,none; server owns swing cadence
13,0.184133,0.018862,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.67296004,,,,0->0:Exact,none; server owns swing cadence
14,0.197294,0.013161,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.68612117,,,,0->0:Exact,none; server owns swing cadence
15,0.213666,0.016371,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.70249265,,,,0->0:Exact,none; server owns swing cadence
16,0.228462,0.014796,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.7172887,,,,0->0:Exact,none; server owns swing cadence
17,0.246959,0.018497,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.7357859,,,,0->0:Exact,none; server owns swing cadence
18,0.263734,0.016775,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.7525606,,,,0->0:Exact,none; server owns swing cadence
19,0.278256,0.014523,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.7670831,,,,0->0:Exact,none; server owns swing cadence
20,0.294931,0.016675,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.7837582,,,,0->0:Exact,none; server owns swing cadence
21,0.311643,0.016712,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.8004701,,,,0->0:Exact,none; server owns swing cadence
22,0.330246,0.018603,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.81907314,,,,0->0:Exact,none; server owns swing cadence
23,0.346928,0.016681,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.8357545,,,,0->0:Exact,none; server owns swing cadence
24,0.363912,0.016984,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.8527389,,,,0->0:Exact,none; server owns swing cadence
25,0.380815,0.016903,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.86964244,,,,0->0:Exact,none; server owns swing cadence
26,0.396989,0.016174,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.8858162,,,,0->0:Exact,none; server owns swing cadence
27,0.413613,0.016623,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.9024396,,,,0->0:Exact,none; server owns swing cadence
28,0.428436,0.014823,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.9172627,,,,0->0:Exact,none; server owns swing cadence
29,0.445279,0.016843,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.934106,,,,0->0:Exact,none; server owns swing cadence
30,0.462018,0.016739,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.95084476,,,,0->0:Exact,none; server owns swing cadence
31,0.478393,0.016375,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.9672196,,,,0->0:Exact,none; server owns swing cadence
32,0.496945,0.018552,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,0.9857718,,,,0->0:Exact,none; server owns swing cadence
33,0.513604,0.016659,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,1.002431,,,,0->0:Exact,none; server owns swing cadence
34,0.530549,0.016945,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,1.0193759,,,,0->0:Exact,none; server owns swing cadence
35,0.545186,0.014637,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,1.0340132,,,,0->0:Exact,none; server owns swing cadence
36,0.563716,0.018530,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,0,,,0,Stand,1.0525434,,,,0->0:Exact,none; server owns swing cadence
