row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.3297891,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A272,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,0.3350659,,,,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0,,,0,Stand,0.3350659,,,,0->0:Exact,local attack latch edge
3,0.014119,0.014119,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0,,,0,Stand,0.3491845,,,,0->0:Exact,none; server owns swing cadence
4,0.029793,0.015674,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0,,,0,Stand,0.3648585,,,,0->0:Exact,none; server owns swing cadence
5,0.043740,0.013947,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0,,,0,Stand,0.378806,,,,0->0:Exact,none; server owns swing cadence
6,0.063236,0.019496,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0,,,0,Stand,0.3983017,,,,0->0:Exact,none; server owns swing cadence
7,0.079830,0.016595,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0.10177762,-1.9832311,-1.9832311,0,Stand,0.41489628,,,,0->0:Exact,none; server owns swing cadence
8,0.093678,0.013848,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0.17968884,-1.9836841,-1.9836841,0,Stand,0.42874438,,,,0->0:Exact,none; server owns swing cadence
9,0.113837,0.020158,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0.29899022,-1.9822552,-1.9822552,0,Stand,0.4489028,,,,0->0:Exact,none; server owns swing cadence
10,0.130115,0.016278,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0.4007678,-1.9825029,-1.9825029,0,Stand,0.465181,,,,0->0:Exact,none; server owns swing cadence
11,0.146876,0.016761,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0.49693432,-1.9833584,-1.9833584,0,Stand,0.4819424,,,,0->0:Exact,none; server owns swing cadence
12,0.163049,0.016172,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0.59871197,-1.9833367,-1.9833367,0,Stand,0.4981146,,,,0->0:Exact,none; server owns swing cadence
13,0.177407,0.014359,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0.68222386,-1.9829392,-1.9829392,0,Stand,0.5124731,,,,0->0:Exact,none; server owns swing cadence
14,0.196625,0.019217,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0.7959244,-1.9829439,-1.9829439,0,Stand,0.5316905,,,,0->0:Exact,none; server owns swing cadence
15,0.214525,0.017901,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0.90402424,-1.983326,-1.983326,0,Stand,0.5495912,,,,0->0:Exact,none; server owns swing cadence
16,0.227046,0.012521,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,0.9819355,-1.9834013,-1.9834013,0,Stand,0.5621118,,,,0->0:Exact,none; server owns swing cadence
17,0.247198,0.020152,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,1.101247,-1.9830338,-1.9830338,0,Stand,0.5822642,,,,0->0:Exact,none; server owns swing cadence
18,0.260523,0.013325,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,1.1791582,-1.9831159,-1.9831159,0,Stand,0.5955894,,,,0->0:Exact,none; server owns swing cadence
19,0.280133,0.019609,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,1.2991912,-1.9833372,-1.9833372,0,Stand,0.6151986,,,,0->0:Exact,none; server owns swing cadence
20,0.297142,0.017009,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,1.4009689,-1.9833294,-1.9833294,0,Stand,0.63220793,,,,0->0:Exact,none; server owns swing cadence
21,0.313511,0.016369,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,1.4964141,-1.9831207,-1.9831207,0,Stand,0.64857674,,,,0->0:Exact,none; server owns swing cadence
22,0.330210,0.016699,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,1.5981812,-1.9831347,-1.9831347,0,Stand,0.6652755,,,,0->0:Exact,none; server owns swing cadence
23,0.347075,0.016865,Tick,live-sample,true,0xF13000000604A272,,server,,unchecked,unchecked,none,1.6999589,-1.9831405,-1.9831405,0,Stand,0.6821406,,,,0->0:Exact,none; server owns swing cadence
