row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.31666607,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A27A,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,0.33856127,,,,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.33856127,,,,0->0:Exact,local attack latch edge
3,0.015133,0.015133,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.35369417,,,,0->0:Exact,none; server owns swing cadence
4,0.028141,0.013008,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.36670256,,,,0->0:Exact,none; server owns swing cadence
5,0.047562,0.019420,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.38612294,,,,0->0:Exact,none; server owns swing cadence
6,0.064111,0.016549,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.40267184,,,,0->0:Exact,none; server owns swing cadence
7,0.077985,0.013875,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.41654643,,,,0->0:Exact,none; server owns swing cadence
8,0.097855,0.019870,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.43641624,,,,0->0:Exact,none; server owns swing cadence
9,0.114519,0.016664,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.45308015,,,,0->0:Exact,none; server owns swing cadence
10,0.131563,0.017044,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.47012454,,,,0->0:Exact,none; server owns swing cadence
11,0.147764,0.016201,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.48632553,,,,0->0:Exact,none; server owns swing cadence
12,0.162004,0.014239,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.50056493,,,,0->0:Exact,none; server owns swing cadence
13,0.181589,0.019585,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.5201503,,,,0->0:Exact,none; server owns swing cadence
14,0.198383,0.016793,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.5369437,,,,0->0:Exact,none; server owns swing cadence
15,0.211932,0.013550,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.5504933,,,,0->0:Exact,none; server owns swing cadence
16,0.231027,0.019095,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.5695879,,,,0->0:Exact,none; server owns swing cadence
17,0.244986,0.013959,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.5835471,,,,0->0:Exact,none; server owns swing cadence
18,0.264424,0.019438,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.60298544,,,,0->0:Exact,none; server owns swing cadence
19,0.281938,0.017514,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.62049943,,,,0->0:Exact,none; server owns swing cadence
20,0.297833,0.015895,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.63639426,,,,0->0:Exact,none; server owns swing cadence
21,0.314872,0.017039,Tick,live-sample,true,0xF13000000604A27A,,server,,unchecked,unchecked,none,0,,,0,Stand,0.6534331,,,,0->0:Exact,none; server owns swing cadence
