row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.0166324,WalkBackwards,4.019519,0.005043149,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A27B,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,9.331997,-0.2446897,-0.2446897,0,Stand,0.0354077,WalkBackwards,4.053314,0.02211976,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A27B,,server,,unchecked,unchecked,none,9.331997,-0.2446897,-0.2446897,0,Stand,0.0354077,WalkBackwards,4.053314,0.02211976,0->0:Exact,local attack latch edge
3,0.015657,0.015657,Tick,live-sample,true,0xF13000000604A27B,,server,,unchecked,unchecked,none,9.331997,-0.2446897,-0.2446897,0,Stand,0.0510652,WalkBackwards,4.0814977,0.044732273,0->0:Exact,none; server owns swing cadence
4,0.031697,0.016039,Tick,live-sample,true,0xF13000000604A27B,,server,,unchecked,unchecked,none,9.331997,-0.2446897,-0.2446897,0,Stand,0.0671044,WalkBackwards,4.1103683,0.074988365,0->0:Exact,none; server owns swing cadence
5,0.048345,0.016648,Tick,live-sample,true,0xF13000000604A27B,,server,,unchecked,unchecked,none,9.331997,-0.2446897,-0.2446897,0,Stand,0.0837529,WalkBackwards,4.1403356,0.11316371,0->0:Exact,none; server owns swing cadence
6,0.064831,0.016486,Tick,live-sample,true,0xF13000000604A27B,,server,,unchecked,unchecked,none,9.331997,-0.2446897,-0.2446897,0,Stand,0.1002392,WalkBackwards,4.170011,0.15692323,0->0:Exact,none; server owns swing cadence
7,0.081374,0.016543,Tick,live-sample,true,0xF13000000604A27B,,server,,unchecked,unchecked,none,9.331997,-0.2446897,-0.2446897,0,Stand,0.1167822,WalkBackwards,4.1997886,0.20594251,0->0:Exact,none; server owns swing cadence
8,0.097995,0.016621,Tick,live-sample,true,0xF13000000604A27B,,server,,unchecked,unchecked,none,9.331997,-0.2446897,-0.2446897,0,Stand,0.1334029,WalkBackwards,4.229706,0.25949097,0->0:Exact,none; server owns swing cadence
9,0.113683,0.015688,Tick,live-sample,true,0xF13000000604A27B,,server,,unchecked,unchecked,none,9.331997,-0.2446897,-0.2446897,0,Stand,0.1490905,WalkBackwards,4.2579436,0.31321245,0->0:Exact,none; server owns swing cadence
10,0.130113,0.016430,Tick,live-sample,true,0xF13000000604A27B,,server,,unchecked,unchecked,none,9.331997,-0.2446897,-0.2446897,0,Stand,0.1655203,WalkBackwards,4.287517,0.37198186,0->0:Exact,none; server owns swing cadence
