row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,11,ShuffleLeft,0.5516129,,,,11->11:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A274,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0.58951813,-8.209133,-8.209133,11,ShuffleLeft,0.5700218,,,,11->11:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.58951813,-8.209133,-8.209133,11,ShuffleLeft,0.5700218,,,,11->11:Exact,local attack latch edge
3,0.015313,0.015313,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.6273938,-8.209925,-8.209925,11,ShuffleLeft,0.5853349,,,,11->11:Exact,none; server owns swing cadence
4,0.029740,0.014427,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.6646495,-8.209492,-8.209492,11,ShuffleLeft,0.599762,,,,11->11:Exact,none; server owns swing cadence
5,0.029740,0.000000,AnimChoice,animator,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.7094851,-8.209239,-8.209239,11,ShuffleLeft,0.599762,,,,0->0:Exact,track=0 requested=0 played=0 kind=Exact base=11:ShuffleLeft clipB= blendWeight=0
6,0.047739,0.017999,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.7094851,-8.209239,-8.209239,0,Stand,0.0179991,ShuffleLeft,0.61776114,0.005892217,0->0:Exact,none; server owns swing cadence
7,0.064646,0.016907,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.7522034,-8.209648,-8.209648,0,Stand,0.0349062,ShuffleLeft,0.63466823,0.02151668,0->0:Exact,none; server owns swing cadence
8,0.082989,0.018343,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.79703903,-8.2094145,-8.2094145,0,Stand,0.0532489,ShuffleLeft,0.6530109,0.048446357,0->0:Exact,none; server owns swing cadence
9,0.097924,0.014934,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.83429486,-8.209092,-8.209092,0,Stand,0.0681834,ShuffleLeft,0.6679454,0.07726264,0->0:Exact,none; server owns swing cadence
10,0.114488,0.016565,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.874276,-8.209129,-8.209129,0,Stand,0.084748104,ShuffleLeft,0.6845101,0.115645766,0->0:Exact,none; server owns swing cadence
11,0.131369,0.016881,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.9169942,-8.20947,-8.20947,0,Stand,0.1016288,ShuffleLeft,0.7013908,0.16085571,0->0:Exact,none; server owns swing cadence
12,0.148091,0.016722,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,0.95972437,-8.209769,-8.209769,0,Stand,0.118350506,ShuffleLeft,0.7181125,0.21082461,0->0:Exact,none; server owns swing cadence
13,0.164535,0.016445,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.0018228,-8.209301,-8.209301,0,Stand,0.1347951,ShuffleLeft,0.73455715,0.26414502,0->0:Exact,none; server owns swing cadence
14,0.181236,0.016701,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.041804,-8.209324,-8.209324,0,Stand,0.1514959,ShuffleLeft,0.75125796,0.32167566,0->0:Exact,none; server owns swing cadence
15,0.197874,0.016638,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.084534,-8.209595,-8.209595,0,Stand,0.16813381,ShuffleLeft,0.7678959,0.381513,0->0:Exact,none; server owns swing cadence
16,0.215535,0.017661,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.1293579,-8.209441,-8.209441,0,Stand,0.1857946,ShuffleLeft,0.7855567,0.44681937,0->0:Exact,none; server owns swing cadence
17,0.231410,0.015875,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.1666137,-8.209209,-8.209209,0,Stand,0.20166971,ShuffleLeft,0.8014318,0.5062612,0->0:Exact,none; server owns swing cadence
18,0.248204,0.016794,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.209332,-8.209465,-8.209465,0,Stand,0.2184641,ShuffleLeft,0.81822616,0.5690437,0->0:Exact,none; server owns swing cadence
19,0.264762,0.016558,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.2520621,-8.209695,-8.209695,0,Stand,0.23502201,ShuffleLeft,0.83478403,0.6299901,0->0:Exact,none; server owns swing cadence
20,0.281705,0.016942,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.2941605,-8.209334,-8.209334,0,Stand,0.25196442,ShuffleLeft,0.8517264,0.69048154,0->0:Exact,none; server owns swing cadence
21,0.298045,0.016340,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.3341416,-8.209352,-8.209352,0,Stand,0.26830482,ShuffleLeft,0.8680668,0.74618423,0->0:Exact,none; server owns swing cadence
22,0.313386,0.015341,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.3720173,-8.209707,-8.209707,0,Stand,0.28364593,ShuffleLeft,0.8834079,0.7953834,0->0:Exact,none; server owns swing cadence
23,0.331426,0.018040,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.4168528,-8.209575,-8.209575,0,Stand,0.30168614,ShuffleLeft,0.9014481,0.8484654,0->0:Exact,none; server owns swing cadence
24,0.348052,0.016626,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.4589514,-8.209258,-8.209258,0,Stand,0.31831205,ShuffleLeft,0.91807395,0.89191693,0->0:Exact,none; server owns swing cadence
25,0.364882,0.016829,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.5016696,-8.209462,-8.209462,0,Stand,0.33514136,ShuffleLeft,0.93490326,0.9296515,0->0:Exact,none; server owns swing cadence
26,0.380199,0.015317,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.5389255,-8.209286,-8.209286,0,Stand,0.35045865,ShuffleLeft,0.9502206,0.9577807,0->0:Exact,none; server owns swing cadence
27,0.398253,0.018054,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.584381,-8.209656,-8.209656,0,Stand,0.36851245,ShuffleLeft,0.96827435,0.9823856,0->0:Exact,none; server owns swing cadence
28,0.415034,0.016782,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.6264794,-8.20937,-8.20937,0,Stand,0.38529426,ShuffleLeft,0.98505616,0.9960445,0->0:Exact,none; server owns swing cadence
29,0.431649,0.016615,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.6691977,-8.20955,-8.20955,0,Stand,0.40190917,,,,0->0:Exact,none; server owns swing cadence
30,0.448282,0.016632,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.7091906,-8.209553,-8.209553,0,Stand,0.41854158,,,,0->0:Exact,none; server owns swing cadence
31,0.464819,0.016537,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.7512891,-8.20929,-8.20929,0,Stand,0.43507877,,,,0->0:Exact,none; server owns swing cadence
32,0.481649,0.016830,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.7940074,-8.209459,-8.209459,0,Stand,0.45190877,,,,0->0:Exact,none; server owns swing cadence
33,0.496912,0.015263,Tick,live-sample,true,0xF13000000604A274,,server,,unchecked,unchecked,none,1.8312632,-8.209312,-8.209312,0,Stand,0.46717206,,,,0->0:Exact,none; server owns swing cadence
