frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.017063,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.0649704,,,,1,0->0:Exact,NONE
1,0.017063,0.009625,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.074595496,,,,1,0->0:Exact,NONE
2,0.026688,0.008343,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.0829386,,,,1,0->0:Exact,NONE
3,0.035031,0.016743,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.0996817,,,,1,0->0:Exact,NONE
4,0.051774,0.022814,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.1224956,,,,1,0->0:Exact,NONE
5,0.074588,0.016529,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.1390242,,,,1,0->0:Exact,NONE
6,0.091116,0.016884,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.155908,,,,1,0->0:Exact,NONE
7,0.108000,0.016605,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.17251301,,,,1,0->0:Exact,NONE
8,0.124605,0.016606,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.1891191,,,,1,0->0:Exact,NONE
9,0.141211,0.010601,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.1997202,,,,1,0->0:Exact,NONE
10,0.151812,0.016808,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.216528,,,,1,0->0:Exact,NONE
11,0.168620,0.023696,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.2402242,,,,1,0->0:Exact,NONE
12,0.192316,0.015421,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.2556456,,,,1,0->0:Exact,NONE
13,0.207738,0.010869,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.2665143,,,,1,0->0:Exact,NONE
14,0.218606,0.016611,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.2831249,,,,1,0->0:Exact,NONE
15,0.235217,0.022703,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.3058275,,,,1,0->0:Exact,NONE
16,0.257920,0.010731,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.3165588,,,,1,0->0:Exact,NONE
17,0.268651,0.020965,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.3375237,,,,1,0->0:Exact,NONE
18,0.289616,0.016754,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.3542774,,,,1,0->0:Exact,NONE
19,0.306369,0.012553,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.3668303,,,,1,0->0:Exact,NONE
20,0.318922,0.020895,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.38772517,,,,1,0->0:Exact,NONE
21,0.339817,0.016468,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.40419346,,,,1,0->0:Exact,NONE
22,0.356286,0.012305,-8949.95,-132.493,83.529526,0,0,0,0,3.1744294,-3.108756,none,true,0,0,0,Stand,0.41649806,,,,1,0->0:Exact,NONE
