frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.016805,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.060988896,,,,1,0->0:Exact,NONE
1,0.016805,0.008357,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.0693462,,,,1,0->0:Exact,NONE
2,0.025162,0.014117,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.0834633,,,,1,0->0:Exact,NONE
3,0.039279,0.016498,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.0999612,,,,1,0->0:Exact,NONE
4,0.055777,0.027971,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.127932,,,,1,0->0:Exact,NONE
5,0.083748,0.011959,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.1398907,,,,1,0->0:Exact,NONE
6,0.095706,0.016470,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.1563609,,,,1,0->0:Exact,NONE
7,0.112177,0.016502,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.1728628,,,,1,0->0:Exact,NONE
8,0.128679,0.016194,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.1890571,,,,1,0->0:Exact,NONE
9,0.144873,0.011258,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.2003153,,,,1,0->0:Exact,NONE
