frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.019100,-8949.95,-132.493,83.51782,0,0,0,0,2.7459998,2.7459998,none,false,0,37.2322,0,Stand,0.17695549,,,,1,0->0:Exact,NONE
1,0.019100,0.006930,-8949.95,-132.493,83.5169,0,0,0,0,2.7459998,2.7459998,none,false,0,44.1622,0,Stand,0.18388548,,,,1,0->0:Exact,NONE
2,0.026030,0.016753,-8949.95,-132.493,83.51148,0,0,0,0,2.7459998,2.7459998,none,false,0,60.9156,0,Stand,0.20063889,,,,1,0->0:Exact,NONE
3,0.042784,0.016856,-8949.95,-132.493,83.506004,0,0,0,0,2.7459998,2.7459998,none,false,0,77.7713,0,Stand,0.21749459,,,,1,0->0:Exact,NONE
4,0.059639,0.017946,-8949.95,-132.493,83.499794,0,0,0,0,2.7459998,2.7459998,none,false,0,95.7176,0,Stand,0.2354409,,,,1,0->0:Exact,NONE
5,0.077586,0.016123,-8949.95,-132.493,83.49478,0,0,0,0,2.7459998,2.7459998,none,false,0,111.8407,0,Stand,0.251564,,,,1,0->0:Exact,NONE
6,0.093709,0.016967,-8949.95,-132.493,83.48923,0,0,0,0,2.7459998,2.7459998,none,false,0,128.8077,0,Stand,0.268531,,,,1,0->0:Exact,NONE
7,0.110676,0.015216,-8949.95,-132.493,83.484764,0,0,0,0,2.7459998,2.7459998,none,false,0,144.0232,0,Stand,0.28374648,,,,1,0->0:Exact,NONE
8,0.125891,0.019496,-8949.95,-132.493,83.47743,0,0,0,0,2.7459998,2.7459998,none,false,0,163.51909,0,Stand,0.3032424,,,,1,0->0:Exact,NONE
9,0.145387,0.014954,-8949.95,-132.493,83.47312,0,0,0,0,2.7459998,2.7459998,none,false,0,178.47319,0,Stand,0.31819648,,,,1,0->0:Exact,NONE
10,0.160341,0.050000,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.3681965,,,,1,0->0:Exact,MSG_MOVE_FALL_LAND
11,0.210341,0.006824,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.37502038,,,,1,0->0:Exact,NONE
12,0.217165,0.010963,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.385983,,,,1,0->0:Exact,NONE
13,0.228128,0.017223,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.40320638,,,,1,0->0:Exact,NONE
14,0.245351,0.016680,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.41988647,,,,1,0->0:Exact,NONE
15,0.262031,0.018526,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.43841287,,,,1,0->0:Exact,NONE
16,0.280558,0.017338,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.45575127,,,,1,0->0:Exact,NONE
17,0.297896,0.013581,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.46933186,,,,1,0->0:Exact,NONE
18,0.311477,0.016507,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.48583916,,,,1,0->0:Exact,NONE
19,0.327984,0.018715,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.50455374,,,,1,0->0:Exact,NONE
20,0.346699,0.015867,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.52042115,,,,1,0->0:Exact,NONE
21,0.362566,0.016728,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.53714895,,,,1,0->0:Exact,NONE
22,0.379294,0.016961,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5541099,,,,1,0->0:Exact,NONE
23,0.396255,0.016446,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.57055634,,,,1,0->0:Exact,NONE
24,0.412701,0.016566,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5871223,,,,1,0->0:Exact,NONE
25,0.429267,0.015735,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.60285753,,,,1,0->0:Exact,NONE
26,0.445002,0.018210,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.62106764,,,,1,0->0:Exact,NONE
27,0.463213,0.014908,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.63597566,,,,1,0->0:Exact,NONE
28,0.478121,0.018025,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.65400094,,,,1,0->0:Exact,NONE
29,0.496146,0.016506,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.6705073,,,,1,0->0:Exact,NONE
30,0.512652,0.016547,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.68705404,,,,1,0->0:Exact,NONE
31,0.529199,0.016839,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.7038931,,,,1,0->0:Exact,NONE
32,0.546038,0.016802,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.7206949,,,,1,0->0:Exact,NONE
33,0.562840,0.015593,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.7362883,,,,1,0->0:Exact,NONE
34,0.578433,0.017924,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.7542125,,,,1,0->0:Exact,NONE
35,0.596357,0.016419,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.7706314,,,,1,0->0:Exact,NONE
36,0.612776,0.015400,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.78603137,,,,1,0->0:Exact,NONE
37,0.628176,0.016633,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8026643,,,,1,0->0:Exact,NONE
38,0.644809,0.018223,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.82088727,,,,1,0->0:Exact,NONE
39,0.663032,0.015505,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.83639205,,,,1,0->0:Exact,NONE
40,0.678537,0.017685,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8540769,,,,1,0->0:Exact,NONE
41,0.696222,0.015442,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8695193,,,,1,0->0:Exact,NONE
42,0.711664,0.016785,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8863046,,,,1,0->0:Exact,NONE
43,0.728450,0.018017,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.904322,,,,1,0->0:Exact,NONE
44,0.746467,0.016234,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.9205564,,,,1,0->0:Exact,NONE
45,0.762701,0.016694,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.93725014,,,,1,0->0:Exact,NONE
46,0.779395,0.017222,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.95447266,,,,1,0->0:Exact,NONE
