frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.015413,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.2837012,,,,1,0->0:Exact,NONE
1,0.015413,0.020501,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.3042021,,,,1,0->0:Exact,NONE
2,0.035914,0.012657,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.3168596,,,,1,0->0:Exact,NONE
3,0.048571,0.021804,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.3386637,,,,1,0->0:Exact,NONE
4,0.070375,0.014752,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.3534154,,,,1,0->0:Exact,NONE
5,0.085127,0.016638,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.3700537,,,,1,0->0:Exact,NONE
6,0.101765,0.016518,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.3865722,,,,1,0->0:Exact,NONE
7,0.118284,0.015684,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.40225652,,,,1,0->0:Exact,NONE
8,0.133968,0.017011,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.41926703,,,,1,0->0:Exact,NONE
9,0.150978,0.014406,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.43367273,,,,1,0->0:Exact,NONE
10,0.165384,0.018477,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.45215023,,,,1,0->0:Exact,NONE
11,0.183862,0.016346,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.46849653,,,,1,0->0:Exact,NONE
12,0.200208,0.017024,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.48552084,,,,1,0->0:Exact,NONE
13,0.217232,0.016816,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5023366,,,,1,0->0:Exact,NONE
14,0.234048,0.016627,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.518964,,,,1,0->0:Exact,NONE
15,0.250675,0.016735,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5356993,,,,1,0->0:Exact,NONE
16,0.267411,0.017141,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5528404,,,,1,0->0:Exact,NONE
17,0.284552,0.016090,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.56893003,,,,1,0->0:Exact,NONE
18,0.300641,0.014885,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.58381504,,,,1,0->0:Exact,NONE
