frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.008589,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.0509044,,,,1,0->0:Exact,NONE
1,0.008589,0.016773,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.0676772,,,,1,0->0:Exact,NONE
2,0.025362,0.015939,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.0836162,,,,1,0->0:Exact,NONE
3,0.041301,0.016645,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.100260794,,,,1,0->0:Exact,NONE
4,0.057946,0.019031,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.119291894,,,,1,0->0:Exact,NONE
5,0.076977,0.016152,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.13544439,,,,1,0->0:Exact,NONE
6,0.093129,0.016937,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.15238129,,,,1,0->0:Exact,NONE
7,0.110066,0.016545,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.16892609,,,,1,0->0:Exact,MSG_MOVE_FALL_LAND
8,0.126611,0.014743,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.18366939,,,,1,0->0:Exact,NONE
9,0.141354,0.016678,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.20034759,,,,1,0->0:Exact,NONE
10,0.158032,0.018705,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.2190522,,,,1,0->0:Exact,NONE
11,0.176737,0.016970,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.2360223,,,,1,0->0:Exact,NONE
12,0.193707,0.014427,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.2504497,,,,1,0->0:Exact,NONE
13,0.208134,0.016618,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.26706818,,,,1,0->0:Exact,NONE
14,0.224753,0.018645,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.28571278,,,,1,0->0:Exact,NONE
15,0.243398,0.016781,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.30249408,,,,1,0->0:Exact,NONE
16,0.260179,0.017069,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.31956267,,,,1,0->0:Exact,NONE
17,0.277247,0.016063,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.33562607,,,,1,0->0:Exact,NONE
18,0.293311,0.016808,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.35243386,,,,1,0->0:Exact,NONE
19,0.310119,0.016157,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.36859047,,,,1,0->0:Exact,NONE
20,0.326275,0.017195,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.38578537,,,,1,0->0:Exact,NONE
21,0.343470,0.014885,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.40067026,,,,1,0->0:Exact,NONE
22,0.358355,0.016603,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.41727296,,,,1,0->0:Exact,NONE
23,0.374958,0.018264,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.43553737,,,,1,0->0:Exact,NONE
24,0.393222,0.016682,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.45221958,,,,1,0->0:Exact,NONE
25,0.409904,0.016705,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.46892428,,,,1,0->0:Exact,NONE
26,0.426609,0.014876,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.48380038,,,,1,0->0:Exact,NONE
27,0.441485,0.018431,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5022312,,,,1,0->0:Exact,NONE
28,0.459916,0.016655,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5188858,,,,1,0->0:Exact,NONE
29,0.476571,0.016983,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5358687,,,,1,0->0:Exact,NONE
30,0.493553,0.016769,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.55263793,,,,1,0->0:Exact,NONE
31,0.510323,0.016793,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.56943065,,,,1,0->0:Exact,NONE
32,0.527115,0.016976,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5864071,,,,1,0->0:Exact,NONE
33,0.544092,0.014314,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.6007214,,,,1,0->0:Exact,NONE
34,0.558406,0.019132,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.6198533,,,,1,0->0:Exact,NONE
35,0.577538,0.014220,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.63407373,,,,1,0->0:Exact,NONE
36,0.591759,0.018665,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.6527389,,,,1,0->0:Exact,NONE
