frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.028758,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.21222273,,,,1,0->0:Exact,NONE
1,0.028758,0.005922,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.21814492,,,,1,0->0:Exact,NONE
2,0.034681,0.019757,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.23790212,,,,1,0->0:Exact,NONE
3,0.054438,0.019221,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.25712302,,,,1,0->0:Exact,NONE
4,0.073659,0.009696,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.2668189,,,,1,0->0:Exact,NONE
5,0.083355,0.016720,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.28353882,,,,1,0->0:Exact,NONE
6,0.100074,0.021726,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.30526513,,,,1,0->0:Exact,NONE
7,0.121801,0.014325,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.31959024,,,,1,0->0:Exact,NONE
8,0.136126,0.013897,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.33348694,,,,1,0->0:Exact,NONE
9,0.150023,0.019711,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.35319784,,,,1,0->0:Exact,NONE
10,0.169733,0.017011,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.37020895,,,,1,0->0:Exact,NONE
11,0.186745,0.013300,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.38350895,,,,1,0->0:Exact,NONE
12,0.200045,0.019548,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.40305734,,,,1,0->0:Exact,NONE
13,0.219593,0.016715,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.41977194,,,,1,0->0:Exact,NONE
14,0.236308,0.013893,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.43366504,,,,1,0->0:Exact,NONE
15,0.250201,0.019564,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.45322934,,,,1,0->0:Exact,NONE
16,0.269765,0.016804,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.47003314,,,,1,0->0:Exact,NONE
17,0.286569,0.016589,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.48662195,,,,1,0->0:Exact,NONE
18,0.303158,0.015259,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5018814,,,,1,0->0:Exact,NONE
19,0.318417,0.015158,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.51703984,,,,1,0->0:Exact,NONE
20,0.333575,0.018407,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5354464,,,,1,0->0:Exact,NONE
21,0.351982,0.016383,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5518298,,,,1,0->0:Exact,NONE
22,0.368365,0.015148,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.5669778,,,,1,0->0:Exact,NONE
23,0.383513,0.019176,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.586154,,,,1,0->0:Exact,NONE
24,0.402690,0.014310,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.6004644,,,,1,0->0:Exact,NONE
25,0.417000,0.018207,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.6186715,,,,1,0->0:Exact,NONE
26,0.435207,0.016513,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.6351843,,,,1,0->0:Exact,NONE
27,0.451720,0.017136,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.6523199,,,,1,0->0:Exact,NONE
28,0.468856,0.016447,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.66876674,,,,1,0->0:Exact,NONE
29,0.485302,0.016777,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.68554324,,,,1,0->0:Exact,NONE
30,0.502079,0.016611,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.70215446,,,,1,0->0:Exact,NONE
31,0.518690,0.014983,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.71713763,,,,1,0->0:Exact,NONE
32,0.533673,0.016611,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.73374873,,,,1,0->0:Exact,NONE
33,0.550284,0.016721,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.75046945,,,,1,0->0:Exact,NONE
34,0.567005,0.018003,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.7684727,,,,1,0->0:Exact,NONE
35,0.585008,0.016910,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.78538305,,,,1,0->0:Exact,NONE
36,0.601919,0.016641,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8020238,,,,1,0->0:Exact,NONE
37,0.618559,0.016619,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8186426,,,,1,0->0:Exact,NONE
38,0.635178,0.016780,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.835423,,,,1,0->0:Exact,NONE
39,0.651959,0.016626,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8520491,,,,1,0->0:Exact,NONE
40,0.668585,0.016822,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8688708,,,,1,0->0:Exact,NONE
41,0.685406,0.015103,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.8839737,,,,1,0->0:Exact,NONE
42,0.700509,0.016553,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.900527,,,,1,0->0:Exact,NONE
43,0.717063,0.016915,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.9174419,,,,1,0->0:Exact,NONE
44,0.733978,0.016792,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.9342341,,,,1,0->0:Exact,NONE
45,0.750770,0.018055,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.95228916,,,,1,0->0:Exact,NONE
46,0.768825,0.016700,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.9689894,,,,1,0->0:Exact,NONE
