frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.009670,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.053526897,,,,1,0->0:Exact,NONE
1,0.009670,0.013098,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.0666246,,,,1,0->0:Exact,NONE
2,0.022768,0.016655,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.083280094,,,,1,0->0:Exact,NONE
3,0.039423,0.016716,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.0999956,,,,1,0->0:Exact,NONE
4,0.056138,0.018684,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.11867949,,,,1,0->0:Exact,NONE
5,0.074822,0.016500,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.13517949,,,,1,0->0:Exact,NONE
6,0.091322,0.016799,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.15197869,,,,1,0->0:Exact,NONE
7,0.108122,0.016774,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.16875228,,,,1,0->0:Exact,NONE
8,0.124895,0.016952,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.18570398,,,,1,0->0:Exact,MSG_MOVE_FALL_LAND
9,0.141847,0.014439,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.20014317,,,,1,0->0:Exact,NONE
10,0.156286,0.016759,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.21690257,,,,1,0->0:Exact,NONE
11,0.173045,0.018167,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.23507006,,,,1,0->0:Exact,NONE
12,0.191213,0.016811,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.25188085,,,,1,0->0:Exact,NONE
13,0.208024,0.014967,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.26684797,,,,1,0->0:Exact,NONE
14,0.222991,0.016658,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.28350556,,,,1,0->0:Exact,NONE
15,0.239648,0.018151,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.30165654,,,,1,0->0:Exact,NONE
16,0.257799,0.015212,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.31686905,,,,1,0->0:Exact,NONE
17,0.273012,0.017898,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.33476686,,,,1,0->0:Exact,NONE
18,0.290910,0.016641,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.35140786,,,,1,0->0:Exact,NONE
19,0.307551,0.015443,-8949.95,-132.493,83.529526,0,0,0,0,2.7459998,2.7459998,none,true,0,0,0,Stand,0.36685127,,,,1,0->0:Exact,NONE
