frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.028019,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.2009755,,,,1,0->0:Exact,NONE
1,0.028019,0.005984,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.2069598,,,,1,0->0:Exact,NONE
2,0.034003,0.009654,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.2166135,,,,1,0->0:Exact,NONE
3,0.043657,0.022946,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.2395594,,,,1,0->0:Exact,NONE
4,0.066603,0.015033,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.2545927,,,,1,0->0:Exact,NONE
5,0.081636,0.016758,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.2713511,,,,1,0->0:Exact,NONE
6,0.098395,0.016669,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.2880199,,,,1,0->0:Exact,NONE
7,0.115063,0.012026,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.3000463,,,,1,0->0:Exact,NONE
8,0.127090,0.019996,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.3200419,,,,1,0->0:Exact,NONE
9,0.147085,0.013277,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.3333194,,,,1,0->0:Exact,NONE
10,0.160363,0.020355,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.3536748,,,,1,0->0:Exact,NONE
11,0.180718,0.016170,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.3698445,,,,1,0->0:Exact,NONE
12,0.196888,0.013715,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.3835591,,,,1,0->0:Exact,NONE
13,0.210603,0.020179,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.4037379,,,,1,0->0:Exact,NONE
