frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.017733,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.0666424,,,,1,0->0:Exact,NONE
1,0.017733,0.005356,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.071998306,,,,1,0->0:Exact,NONE
2,0.023089,0.011232,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.083230704,,,,1,0->0:Exact,NONE
3,0.034321,0.017043,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.10027321,,,,1,0->0:Exact,NONE
4,0.051364,0.020300,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.12057361,,,,1,0->0:Exact,NONE
5,0.071664,0.016809,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.1373821,,,,1,0->0:Exact,NONE
6,0.088473,0.016925,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.1543073,,,,1,0->0:Exact,NONE
7,0.105398,0.016520,-8949.95,-132.493,83.529526,0,0,0,0,2.7227101,2.7227101,none,true,0,0,0,Stand,0.17082761,,,,1,0->0:Exact,NONE
8,0.121918,0.017405,-8970,-132.493,83.524155,0,0,-0.3357693,0,2.7227101,2.7227101,none,false,-0.3357693,17.4054,0,Stand,0.18823302,,,,1,0->0:Exact,NONE
9,0.139324,0.012068,-8970,-132.493,83.517296,0,0,-0.56857234,0,2.7227101,2.7227101,none,false,-0.56857234,29.473299,0,Stand,0.20030092,,,,1,0->0:Exact,NONE
10,0.151392,0.017753,-8970,-132.493,83.50112,0,0,-0.9110434,0,2.7227101,2.7227101,none,false,-0.9110434,47.226097,0,Stand,0.21805371,,,,1,0->0:Exact,NONE
11,0.169144,0.020527,-8970,-132.493,83.4743,0,0,-1.3070221,0,2.7227101,2.7227101,none,false,-1.3070221,67.752594,0,Stand,0.23858021,,,,1,0->0:Exact,NONE
12,0.189671,0.018089,-8970,-132.493,83.44434,0,0,-1.6559846,0,2.7227101,2.7227101,none,false,-1.6559846,85.841896,0,Stand,0.25666952,,,,1,0->0:Exact,NONE
13,0.207760,0.010322,-8970,-132.493,83.42519,0,0,-1.8551093,0,2.7227101,2.7227101,none,false,-1.8551093,96.163994,0,Stand,0.26699162,,,,1,0->0:Exact,NONE
