t=9.378s CMSG_LIST_INVENTORY(0x019E) 8B  46 37 01 FB 04 00 30 F1
t=9.962s SMSG_MONSTER_MOVE(0x00DD) 57B  DF 6B 37 01 BE 0D 30 F1 8F 45 0A C6 AC 04 18 44 …
t=10.242s CMSG_PING(0x01DC) 8B  01 00 00 00 06 00 00 00
t=10.248s SMSG_PONG(0x01DD) 4B  01 00 00 00
t=10.254s SMSG_EMOTE(0x0103) 12B  01 00 00 00 CD 6F 00 8F 3A 00 30 F1
t=11.487s SMSG_MONSTER_MOVE(0x00DD) 69B  DF CA 37 01 57 38 30 F1 66 1A 0A C6 93 E8 18 44 …
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  A8 01 00 00 00 00 00 00
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  16 EA 00 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  46 12 00 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  17 EA 00 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  0B 6E 01 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  C2 10 00 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  FF F0 00 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  D5 00 00 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  D2 36 00 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  28 80 01 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  BA 0A 00 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  C4 02 01 00 00 00 00 40
t=11.492s SMSG_DESTROY_OBJECT(0x00AA) 8B  F4 1F 01 00 00 00 00 40
t=12.123s SMSG_MONSTER_MOVE(0x00DD) 67B  01 2A 53 58 09 C6 1E 31 1C 44 E7 D3 6D 42 EE D4 …
