row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,5.0929594,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000007900B1EF,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.1041064,,,,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.1041064,,,,0->0:Exact,local attack latch edge
3,0.016728,0.016728,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.1208344,,,,0->0:Exact,none; server owns swing cadence
4,0.034337,0.017609,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.1384435,,,,0->0:Exact,none; server owns swing cadence
5,0.049881,0.015544,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.1539874,,,,0->0:Exact,none; server owns swing cadence
6,0.066538,0.016656,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.170644,,,,0->0:Exact,none; server owns swing cadence
7,0.083249,0.016711,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.1873546,,,,0->0:Exact,none; server owns swing cadence
8,0.099810,0.016561,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.203916,,,,0->0:Exact,none; server owns swing cadence
9,0.116746,0.016936,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.2208524,,,,0->0:Exact,none; server owns swing cadence
10,0.133486,0.016740,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.2375917,,,,0->0:Exact,none; server owns swing cadence
11,0.149910,0.016424,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.254016,,,,0->0:Exact,none; server owns swing cadence
12,0.166838,0.016928,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.2709436,,,,0->0:Exact,none; server owns swing cadence
13,0.183288,0.016450,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.2873936,,,,0->0:Exact,none; server owns swing cadence
14,0.200285,0.016997,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.304391,,,,0->0:Exact,none; server owns swing cadence
15,0.216687,0.016402,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.3207927,,,,0->0:Exact,none; server owns swing cadence
16,0.233526,0.016839,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.337631,,,,0->0:Exact,none; server owns swing cadence
17,0.250046,0.016521,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.354152,,,,0->0:Exact,none; server owns swing cadence
18,0.266782,0.016736,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.3708878,,,,0->0:Exact,none; server owns swing cadence
19,0.283376,0.016594,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.3874817,,,,0->0:Exact,none; server owns swing cadence
20,0.300082,0.016706,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.404187,,,,0->0:Exact,none; server owns swing cadence
21,0.316851,0.016769,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.420956,,,,0->0:Exact,none; server owns swing cadence
22,0.334763,0.017912,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.4388685,,,,0->0:Exact,none; server owns swing cadence
23,0.350064,0.015301,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.4541693,,,,0->0:Exact,none; server owns swing cadence
24,0.366899,0.016836,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.471005,,,,0->0:Exact,none; server owns swing cadence
25,0.383441,0.016542,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.487547,,,,0->0:Exact,none; server owns swing cadence
26,0.400210,0.016768,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.5043154,,,,0->0:Exact,none; server owns swing cadence
27,0.417012,0.016802,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.521117,,,,0->0:Exact,none; server owns swing cadence
28,0.433476,0.016464,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.5375814,,,,0->0:Exact,none; server owns swing cadence
29,0.450100,0.016624,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.5542054,,,,0->0:Exact,none; server owns swing cadence
30,0.466833,0.016733,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.5709386,,,,0->0:Exact,none; server owns swing cadence
31,0.483587,0.016754,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.5876923,,,,0->0:Exact,none; server owns swing cadence
32,0.500494,0.016907,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.6045995,,,,0->0:Exact,none; server owns swing cadence
33,0.516903,0.016410,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.621009,,,,0->0:Exact,none; server owns swing cadence
34,0.534136,0.017233,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.6382413,,,,0->0:Exact,none; server owns swing cadence
35,0.550186,0.016050,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.6542916,,,,0->0:Exact,none; server owns swing cadence
36,0.567053,0.016867,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.6711583,,,,0->0:Exact,none; server owns swing cadence
37,0.583947,0.016894,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.688052,,,,0->0:Exact,none; server owns swing cadence
38,0.600722,0.016775,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.7048273,,,,0->0:Exact,none; server owns swing cadence
39,0.617116,0.016393,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.721221,,,,0->0:Exact,none; server owns swing cadence
40,0.633715,0.016600,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.7378206,,,,0->0:Exact,none; server owns swing cadence
41,0.650397,0.016682,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.7545023,,,,0->0:Exact,none; server owns swing cadence
42,0.667024,0.016626,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.7711287,,,,0->0:Exact,none; server owns swing cadence
43,0.683785,0.016762,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.7878904,,,,0->0:Exact,none; server owns swing cadence
44,0.700388,0.016603,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.8044934,,,,0->0:Exact,none; server owns swing cadence
45,0.717699,0.017311,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.8218045,,,,0->0:Exact,none; server owns swing cadence
46,0.734119,0.016420,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.8382244,,,,0->0:Exact,none; server owns swing cadence
47,0.750815,0.016696,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.8549204,,,,0->0:Exact,none; server owns swing cadence
48,0.767354,0.016539,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.8714595,,,,0->0:Exact,none; server owns swing cadence
49,0.784336,0.016982,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.8884416,,,,0->0:Exact,none; server owns swing cadence
50,0.800464,0.016128,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.9045696,,,,0->0:Exact,none; server owns swing cadence
51,0.817225,0.016760,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.92133,,,,0->0:Exact,none; server owns swing cadence
52,0.834568,0.017343,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.9386725,,,,0->0:Exact,none; server owns swing cadence
53,0.850553,0.015986,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.954658,,,,0->0:Exact,none; server owns swing cadence
54,0.867197,0.016644,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.971302,,,,0->0:Exact,none; server owns swing cadence
55,0.883878,0.016681,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,5.987983,,,,0->0:Exact,none; server owns swing cadence
56,0.900600,0.016722,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.004705,,,,0->0:Exact,none; server owns swing cadence
57,0.917268,0.016668,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.0213733,,,,0->0:Exact,none; server owns swing cadence
58,0.933965,0.016696,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.0380697,,,,0->0:Exact,none; server owns swing cadence
59,0.950686,0.016721,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.054791,,,,0->0:Exact,none; server owns swing cadence
60,0.967337,0.016651,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.071442,,,,0->0:Exact,none; server owns swing cadence
61,0.984226,0.016889,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.088331,,,,0->0:Exact,none; server owns swing cadence
62,1.000943,0.016717,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.105048,,,,0->0:Exact,none; server owns swing cadence
63,1.017317,0.016374,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.121422,,,,0->0:Exact,none; server owns swing cadence
64,1.034039,0.016722,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.138144,,,,0->0:Exact,none; server owns swing cadence
65,1.050769,0.016730,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.1548743,,,,0->0:Exact,none; server owns swing cadence
66,1.067459,0.016691,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.171565,,,,0->0:Exact,none; server owns swing cadence
67,1.084277,0.016817,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.188382,,,,0->0:Exact,none; server owns swing cadence
68,1.100715,0.016438,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.20482,,,,0->0:Exact,none; server owns swing cadence
69,1.117733,0.017019,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.2218385,,,,0->0:Exact,none; server owns swing cadence
70,1.134833,0.017100,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.238939,,,,0->0:Exact,none; server owns swing cadence
71,1.150720,0.015887,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.254826,,,,0->0:Exact,none; server owns swing cadence
72,1.167478,0.016758,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.2715836,,,,0->0:Exact,none; server owns swing cadence
73,1.184201,0.016723,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.2883067,,,,0->0:Exact,none; server owns swing cadence
74,1.200788,0.016587,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.3048935,,,,0->0:Exact,none; server owns swing cadence
75,1.217505,0.016718,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.321611,,,,0->0:Exact,none; server owns swing cadence
76,1.234182,0.016677,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.3382874,,,,0->0:Exact,none; server owns swing cadence
77,1.251068,0.016886,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.355173,,,,0->0:Exact,none; server owns swing cadence
78,1.267660,0.016592,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.371765,,,,0->0:Exact,none; server owns swing cadence
79,1.284124,0.016465,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.38823,,,,0->0:Exact,none; server owns swing cadence
80,1.300738,0.016614,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.404844,,,,0->0:Exact,none; server owns swing cadence
81,1.317610,0.016872,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.421716,,,,0->0:Exact,none; server owns swing cadence
82,1.334331,0.016721,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.4384375,,,,0->0:Exact,none; server owns swing cadence
83,1.350937,0.016605,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.455043,,,,0->0:Exact,none; server owns swing cadence
84,1.368122,0.017185,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.472228,,,,0->0:Exact,none; server owns swing cadence
85,1.384488,0.016366,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.488594,,,,0->0:Exact,none; server owns swing cadence
86,1.400964,0.016476,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.5050697,,,,0->0:Exact,none; server owns swing cadence
87,1.418111,0.017147,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.522217,,,,0->0:Exact,none; server owns swing cadence
88,1.435195,0.017084,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.539301,,,,0->0:Exact,none; server owns swing cadence
89,1.450920,0.015725,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.5550256,,,,0->0:Exact,none; server owns swing cadence
90,1.467668,0.016748,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.5717735,,,,0->0:Exact,none; server owns swing cadence
91,1.484345,0.016677,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.588451,,,,0->0:Exact,none; server owns swing cadence
92,1.501080,0.016735,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.605186,,,,0->0:Exact,none; server owns swing cadence
93,1.518153,0.017073,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.6222587,,,,0->0:Exact,none; server owns swing cadence
94,1.534563,0.016410,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.638669,,,,0->0:Exact,none; server owns swing cadence
95,1.551150,0.016586,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.6552553,,,,0->0:Exact,none; server owns swing cadence
96,1.567857,0.016707,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.6719623,,,,0->0:Exact,none; server owns swing cadence
97,1.584589,0.016732,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.6886945,,,,0->0:Exact,none; server owns swing cadence
98,1.601092,0.016502,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.705197,,,,0->0:Exact,none; server owns swing cadence
99,1.618247,0.017155,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.722352,,,,0->0:Exact,none; server owns swing cadence
100,1.634489,0.016242,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.738594,,,,0->0:Exact,none; server owns swing cadence
101,1.651260,0.016771,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.7553654,,,,0->0:Exact,none; server owns swing cadence
102,1.667894,0.016634,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.7719994,,,,0->0:Exact,none; server owns swing cadence
103,1.684614,0.016720,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.788719,,,,0->0:Exact,none; server owns swing cadence
104,1.701170,0.016556,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.805275,,,,0->0:Exact,none; server owns swing cadence
105,1.717946,0.016777,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.8220515,,,,0->0:Exact,none; server owns swing cadence
106,1.735814,0.017868,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.8399196,,,,0->0:Exact,none; server owns swing cadence
107,1.751268,0.015454,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.8553734,,,,0->0:Exact,none; server owns swing cadence
108,1.768107,0.016839,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.872212,,,,0->0:Exact,none; server owns swing cadence
109,1.784517,0.016410,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.8886223,,,,0->0:Exact,none; server owns swing cadence
110,1.801307,0.016790,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.905412,,,,0->0:Exact,none; server owns swing cadence
111,1.818107,0.016800,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.922212,,,,0->0:Exact,none; server owns swing cadence
112,1.834736,0.016629,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.9388404,,,,0->0:Exact,none; server owns swing cadence
113,1.851561,0.016825,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.955665,,,,0->0:Exact,none; server owns swing cadence
114,1.868089,0.016529,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.9721937,,,,0->0:Exact,none; server owns swing cadence
115,1.885012,0.016923,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,6.989116,,,,0->0:Exact,none; server owns swing cadence
116,1.901782,0.016770,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,7.0058866,,,,0->0:Exact,none; server owns swing cadence
117,1.918456,0.016674,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,7.0225606,,,,0->0:Exact,none; server owns swing cadence
118,1.935401,0.016945,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,7.039505,,,,0->0:Exact,none; server owns swing cadence
119,1.951280,0.015879,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,2.6382377,-3.2774048,-3.2774048,0,Stand,7.0553837,,,,0->0:Exact,none; server owns swing cadence
