[combat] time=0.324 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=Welcome_to_World_of_Warcraft!Patch_1.12:_Drums_of_War_is_now_live!
[action] time=0.484 slot=0 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=1 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=2 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=3 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=4 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=5 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=6 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=7 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=8 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=9 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=10 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.485 slot=11 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[combat] time=0.577 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=GM_mode_is_ON
[combat] time=0.577 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=You_are_now_invisible_(rank_6)
[portrait] time=4.618 subject=Player outcome=Ready camera=Authored authoredRetried=False subjectPx=42354 rgb=0..255 alpha=180..255 pieces=11 displayId=0 bindPoseHeight=2.0352 eyeHeight=0.0000 distance=0.0000 fovyDeg=27.0000 near=0.2222
[combat] time=5.163 event=GmCommand cause=live-bootstrap target=0x0000000000000000 detail=sent=True;text=.go_xyz_-8949.95_-132.493_83.5312_0
[anim] time=6.812 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.812 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.812 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
[anim] time=6.812 unit=creature:2337 track=0 requested=4 played=4 kind=Exact
[anim] time=6.815 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.815 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.815 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
[anim] time=6.815 unit=creature:2337 track=0 requested=4 played=4 kind=Exact
[anim] time=6.829 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.829 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.829 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
[anim] time=6.829 unit=creature:2337 track=0 requested=4 played=4 kind=Exact
[anim] time=6.846 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.846 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.861 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
[anim] time=6.861 unit=creature:2337 track=0 requested=4 played=4 kind=Exact
[anim] time=6.863 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.863 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.863 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
[anim] time=6.863 unit=creature:2337 track=0 requested=4 played=4 kind=Exact
[anim] time=6.879 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.879 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.879 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
[anim] time=6.880 unit=creature:2337 track=0 requested=4 played=4 kind=Exact
[anim] time=6.896 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.896 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.896 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
[anim] time=6.896 unit=creature:2337 track=0 requested=4 played=4 kind=Exact
[anim] time=6.913 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.913 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.913 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
[anim] time=6.913 unit=creature:2337 track=0 requested=4 played=4 kind=Exact
[anim] time=6.929 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.929 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.929 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
[anim] time=6.929 unit=creature:2337 track=0 requested=4 played=4 kind=Exact
[anim] time=6.946 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.946 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.946 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
[anim] time=6.946 unit=creature:2337 track=0 requested=4 played=4 kind=Exact
[anim] time=6.963 unit=creature:2344 track=0 requested=0 played=0 kind=Exact
[anim] time=6.963 unit=creature:2337 track=0 requested=0 played=0 kind=Exact
[anim] time=6.963 unit=creature:2344 track=0 requested=4 played=4 kind=Exact
