row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,5.076213,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000007900B1EF,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.0873275,,,,0->0:Exact,CMSG_ATTACKSWING
2,0.000000,0.000000,IntentOn,user-start,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.0873275,,,,0->0:Exact,local attack latch edge
3,0.016719,0.016719,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.1040463,,,,0->0:Exact,none; server owns swing cadence
4,0.033195,0.016476,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.1205225,,,,0->0:Exact,none; server owns swing cadence
5,0.050200,0.017005,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.1375275,,,,0->0:Exact,none; server owns swing cadence
6,0.066769,0.016569,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.154096,,,,0->0:Exact,none; server owns swing cadence
7,0.083529,0.016760,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.1708555,,,,0->0:Exact,none; server owns swing cadence
8,0.100343,0.016815,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.18767,,,,0->0:Exact,none; server owns swing cadence
9,0.116820,0.016477,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.204147,,,,0->0:Exact,none; server owns swing cadence
10,0.133842,0.017022,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.221169,,,,0->0:Exact,none; server owns swing cadence
11,0.150419,0.016577,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.2377462,,,,0->0:Exact,none; server owns swing cadence
12,0.166933,0.016514,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.25426,,,,0->0:Exact,none; server owns swing cadence
13,0.183840,0.016907,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.271167,,,,0->0:Exact,none; server owns swing cadence
14,0.199961,0.016121,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.287288,,,,0->0:Exact,none; server owns swing cadence
15,0.216944,0.016983,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.304271,,,,0->0:Exact,none; server owns swing cadence
16,0.233782,0.016837,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.3211083,,,,0->0:Exact,none; server owns swing cadence
17,0.251172,0.017390,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.338498,,,,0->0:Exact,none; server owns swing cadence
18,0.267018,0.015846,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.3543444,,,,0->0:Exact,none; server owns swing cadence
19,0.283519,0.016501,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.370846,,,,0->0:Exact,none; server owns swing cadence
20,0.300402,0.016883,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.3877287,,,,0->0:Exact,none; server owns swing cadence
21,0.316923,0.016521,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.404249,,,,0->0:Exact,none; server owns swing cadence
22,0.333721,0.016798,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.4210477,,,,0->0:Exact,none; server owns swing cadence
23,0.350357,0.016635,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.437683,,,,0->0:Exact,none; server owns swing cadence
24,0.366779,0.016422,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.454105,,,,0->0:Exact,none; server owns swing cadence
25,0.383819,0.017040,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.4711447,,,,0->0:Exact,none; server owns swing cadence
26,0.400689,0.016870,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.488015,,,,0->0:Exact,none; server owns swing cadence
27,0.417079,0.016390,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.5044055,,,,0->0:Exact,none; server owns swing cadence
28,0.433785,0.016706,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.521112,,,,0->0:Exact,none; server owns swing cadence
29,0.450467,0.016682,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.5377936,,,,0->0:Exact,none; server owns swing cadence
30,0.467370,0.016903,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.554696,,,,0->0:Exact,none; server owns swing cadence
31,0.483784,0.016414,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.5711102,,,,0->0:Exact,none; server owns swing cadence
32,0.500445,0.016661,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.587771,,,,0->0:Exact,none; server owns swing cadence
33,0.517650,0.017206,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.6049767,,,,0->0:Exact,none; server owns swing cadence
34,0.533671,0.016020,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.620997,,,,0->0:Exact,none; server owns swing cadence
35,0.552060,0.018389,Tick,live-sample,true,0xF13000007900B1EF,,server,,unchecked,unchecked,none,0.5204355,-5.151639,-5.151639,0,Stand,5.639386,,,,0->0:Exact,none; server owns swing cadence
