step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\H2-wild-control-discovery-20260731-170500.txt
1,PASS,gm .gm on
2,PASS,wait 3
3,PASS,wire-trace start path=dumps/wire-20260731-164351.wlog
4,PASS,select wild:1 guid=0xF130000045013859
5,PASS,attack start
6,PASS,wait 0.5
7,PASS,attack stop
8,PASS,select wild:2 guid=0xF13000004501391C
9,PASS,attack start
10,PASS,wait 0.5
11,PASS,attack stop
12,PASS,select wild:3 guid=0xF130000045013925
13,PASS,attack start
14,PASS,wait 0.5
15,PASS,attack stop
16,PASS,select wild:4 guid=0xF130000045013985
17,PASS,attack start
18,PASS,wait 0.5
19,PASS,attack stop
20,PASS,select wild:5 guid=0xF13000004E013851
21,PASS,attack start
22,PASS,wait 0.5
23,PASS,attack stop
24,PASS,select wild:6 guid=0xF13000009801384E
25,PASS,attack start
26,PASS,wait 0.5
27,PASS,attack stop
28,PASS,select wild:7 guid=0xF1300000BE01384F
29,PASS,attack start
30,PASS,wait 0.5
31,PASS,attack stop
32,PASS,select wild:8 guid=0xF1300000C4013863
33,PASS,attack start
34,PASS,wait 0.5
35,PASS,attack stop
36,PASS,select wild:9 guid=0xF1300000C5013862
37,PASS,attack start
38,PASS,wait 0.5
39,PASS,attack stop
40,PASS,select wild:10 guid=0xF13000012B013838
41,PASS,attack start
42,PASS,wait 0.5
43,PASS,attack stop
44,PASS,select wild:11 guid=0xF13000012B01383D
45,PASS,attack start
46,PASS,wait 0.5
47,PASS,attack stop
48,PASS,select wild:12 guid=0xF13000012B01383E
49,PASS,attack start
50,PASS,wait 0.5
51,PASS,attack stop
52,PASS,wire-trace stop
