step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\N1-12-CB4-cancel-rearm-20260731-224000.txt
1,PASS,gm .gm off
2,PASS,wait 0.5
3,PASS,gm .dismount
4,PASS,wait 0.2
5,PASS,gm .combatstop TEST
6,PASS,wait 0.2
7,PASS,gm .npc spawn add 6
8,PASS,select spawn:1 guid=0xF13000000604A294
9,PASS,gm .npc set reactstate 0
10,PASS,socket-trace start N1-12-CB4-cancel-rearm-20260731-224000 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-N1-12-CB4-cancel-rearm-20260731-224000-20260731-224228.csv
11,PASS,trace start N1-12-CB4-cancel-rearm-20260731-224000
12,PASS,attack start gate=PASS
13,PASS,assert event=AttackPreconditionGatePass
14,PASS,wait 0.2
15,PASS,attack stop
16,PASS,wait 0.1
17,PASS,attack start gate=PASS
18,PASS,assert event=AttackPreconditionGatePass
19,PASS,wait 2
20,PASS,attack stop
21,PASS,socket-trace stop
22,PASS,trace stop
23,PASS,gm .gm on
24,PASS,wait 0.2
25,PASS,gm .npc spawn delete
26,PASS,wait 0.5
27,PASS,waitgone spawn:1 guid=0xF13000000604A294 descriptorPresent=False
28,PASS,gm .gm off
