row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.2730618,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.2786367,,,,0->0:Exact,player=0x0000000000000001;position=-8970|-132.493|83.30938;gmMode=false;gmSource=server-response;present=true;visible=true;alive=true;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8970|-132.493|83.30938
2,0.000000,0.000000,AttackPreconditionGatePass,devtools-pre-send-gate,false,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.2786367,,,,0->0:Exact,packetConstructed=true;epsilon=distanceSquared<=1e-6;reasons=none
3,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,2.2786367,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=b8431d95711b1d45638e7995311a575f2f33d840ebeb2cbeb2a56616f4e82a6c;flushed=true;hex=E3D4E9AE2B3C99A20406000030F1
4,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A299,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,2.2786367,,,,0->0:Exact,CMSG_ATTACKSWING
5,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.2786367,,,,0->0:Exact,local attack latch edge
6,0.004843,0.004843,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.2834792,,,,0->0:Exact,none; server owns swing cadence
7,0.009447,0.004605,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.288084,,,,0->0:Exact,none; server owns swing cadence
8,0.013062,0.003614,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.2916982,,,,0->0:Exact,none; server owns swing cadence
9,0.016107,0.003045,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.2947433,,,,0->0:Exact,none; server owns swing cadence
10,0.018959,0.002852,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.2975955,,,,0->0:Exact,none; server owns swing cadence
11,0.021615,0.002656,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3002515,,,,0->0:Exact,none; server owns swing cadence
12,0.024340,0.002725,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3029768,,,,0->0:Exact,none; server owns swing cadence
13,0.027955,0.003615,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3065915,,,,0->0:Exact,none; server owns swing cadence
14,0.031080,0.003125,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3097162,,,,0->0:Exact,none; server owns swing cadence
15,0.033871,0.002791,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3125072,,,,0->0:Exact,none; server owns swing cadence
16,0.036701,0.002830,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3153377,,,,0->0:Exact,none; server owns swing cadence
17,0.039406,0.002705,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3180423,,,,0->0:Exact,none; server owns swing cadence
18,0.042079,0.002673,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3207157,,,,0->0:Exact,none; server owns swing cadence
19,0.042079,0.000000,GmChatWire,server-receive,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.3207157,,,,0->0:Exact,opcode=0x0096;bytes=61;hex=0A0000000000000000000000002B0000005265616374207374617465206F66204B6F626F6C64205665726D696E207570646174656420746F20302E0000
20,0.042079,0.000000,GmChatResponse,server-chat,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.3207157,,,,0->0:Exact,React state of Kobold Vermin updated to 0.
21,0.045730,0.003651,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3243663,,,,0->0:Exact,none; server owns swing cadence
22,0.048867,0.003137,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3275037,,,,0->0:Exact,none; server owns swing cadence
23,0.051511,0.002644,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3301482,,,,0->0:Exact,none; server owns swing cadence
24,0.054231,0.002720,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.332868,,,,0->0:Exact,none; server owns swing cadence
25,0.056885,0.002653,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.3355212,,,,0->0:Exact,none; server owns swing cadence
26,0.059714,0.002830,Tick,live-sample,true,0xF13000000604A299,,server,,unchecked,unchecked,none,0,,,0,Stand,2.338351,,,,0->0:Exact,none; server owns swing cadence
