step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\N1-12-CB5-quiet-target-switch-20260731-224600.txt
1,PASS,gm .gm on
2,PASS,wait 0.2
3,PASS,gm .go xyz -8970 -132.493 83.53 0
4,PASS,waitfor detail=counter=1
5,PASS,gm .gm off
6,PASS,wait 0.5
7,PASS,gm .gm
8,PASS,wait 0.5
9,PASS,gm .dismount
10,PASS,wait 0.2
11,PASS,gm .combatstop TEST
12,PASS,wait 0.2
13,PASS,gm .npc spawn add 6
14,PASS,select spawn:1 guid=0xF13000000604A299
15,PASS,gm .npc set reactstate 0
16,PASS,gm .npc spawn add 6
17,PASS,select spawn:2 guid=0xF13000000604A29A
18,PASS,gm .npc set reactstate 0
19,PASS,select spawn:1 guid=0xF13000000604A299
20,PASS,socket-trace start N1-12-CB5-quiet-target-switch-20260731-224600 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-N1-12-CB5-quiet-target-switch-20260731-224600-20260731-224616.csv
21,PASS,trace start N1-12-CB5-quiet-target-switch-20260731-224600
22,PASS,attack start gate=PASS
23,PASS,assert event=AttackPreconditionGatePass
24,PASS,wait 0.1
25,PASS,select spawn:2 guid=0xF13000000604A29A
26,PASS,assert event=TargetSwitch
27,PASS,assert event=AttackPreconditionGatePass
28,PASS,wait 1
29,PASS,attack stop
30,PASS,socket-trace stop
31,PASS,trace stop
32,PASS,gm .gm on
33,PASS,wait 0.2
34,PASS,gm .npc spawn delete
35,PASS,wait 0.5
36,PASS,waitgone spawn:2 guid=0xF13000000604A29A descriptorPresent=False
37,PASS,select spawn:1 guid=0xF13000000604A299
38,PASS,gm .npc spawn delete
39,PASS,wait 0.5
40,PASS,waitgone spawn:1 guid=0xF13000000604A299 descriptorPresent=False
41,PASS,gm .gm off
