row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.3377031,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3445212,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=true;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8949.95|-132.493|83.529526
2,0.000000,0.000000,AttackPreconditionGatePass,devtools-pre-send-gate,false,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3445212,,,,0->0:Exact,packetConstructed=true;epsilon=distanceSquared<=1e-6;reasons=none
3,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,1.3445212,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=98d4b7a6b6520c58298c00447e775dc91a9491dca63bbc2637a3ab323d69d69a;flushed=true;hex=4D40043D837B95A20406000030F1
4,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A295,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,1.3445212,,,,0->0:Exact,CMSG_ATTACKSWING
5,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3445212,,,,0->0:Exact,local attack latch edge
6,0.005419,0.005419,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.34994,,,,0->0:Exact,none; server owns swing cadence
7,0.015824,0.010405,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3603449,,,,0->0:Exact,none; server owns swing cadence
8,0.019966,0.004143,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3644876,,,,0->0:Exact,none; server owns swing cadence
9,0.023810,0.003844,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3683312,,,,0->0:Exact,none; server owns swing cadence
10,0.028908,0.005098,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3734295,,,,0->0:Exact,none; server owns swing cadence
11,0.032650,0.003742,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3771713,,,,0->0:Exact,none; server owns swing cadence
12,0.036332,0.003682,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3808534,,,,0->0:Exact,none; server owns swing cadence
13,0.039854,0.003522,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3843755,,,,0->0:Exact,none; server owns swing cadence
14,0.043990,0.004136,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3885113,,,,0->0:Exact,none; server owns swing cadence
15,0.048196,0.004206,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.392717,,,,0->0:Exact,none; server owns swing cadence
16,0.051538,0.003342,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3960592,,,,0->0:Exact,none; server owns swing cadence
17,0.054935,0.003397,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.3994564,,,,0->0:Exact,none; server owns swing cadence
18,0.058419,0.003484,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.40294,,,,0->0:Exact,none; server owns swing cadence
19,0.062218,0.003799,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4067395,,,,0->0:Exact,none; server owns swing cadence
20,0.066134,0.003916,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.410655,,,,0->0:Exact,none; server owns swing cadence
21,0.069515,0.003381,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.414036,,,,0->0:Exact,none; server owns swing cadence
22,0.069515,0.000000,GmChatWire,server-receive,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.414036,,,,0->0:Exact,opcode=0x0096;bytes=61;hex=0A0000000000000000000000002B0000005265616374207374617465206F66204B6F626F6C64205665726D696E207570646174656420746F20302E0000
23,0.069515,0.000000,GmChatResponse,server-chat,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.414036,,,,0->0:Exact,React state of Kobold Vermin updated to 0.
24,0.073008,0.003493,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4175295,,,,0->0:Exact,none; server owns swing cadence
25,0.076609,0.003601,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4211309,,,,0->0:Exact,none; server owns swing cadence
26,0.080189,0.003579,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4247102,,,,0->0:Exact,none; server owns swing cadence
27,0.083579,0.003390,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4281001,,,,0->0:Exact,none; server owns swing cadence
28,0.087004,0.003426,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4315258,,,,0->0:Exact,none; server owns swing cadence
29,0.090489,0.003484,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4350102,,,,0->0:Exact,none; server owns swing cadence
30,0.095355,0.004866,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4398762,,,,0->0:Exact,none; server owns swing cadence
31,0.103014,0.007659,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4475352,,,,0->0:Exact,none; server owns swing cadence
32,0.107144,0.004131,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4516659,,,,0->0:Exact,none; server owns swing cadence
33,0.111216,0.004072,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4557374,,,,0->0:Exact,none; server owns swing cadence
34,0.114691,0.003475,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.459212,,,,0->0:Exact,none; server owns swing cadence
35,0.118090,0.003399,Tick,live-sample,true,0xF13000000604A295,,server,,unchecked,unchecked,none,0,,,0,Stand,1.4626113,,,,0->0:Exact,none; server owns swing cadence
