step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\N1-12-CB5-target-switch-20260731-224000.txt
1,PASS,gm .gm off
2,PASS,wait 0.5
3,PASS,gm .dismount
4,PASS,wait 0.2
5,PASS,gm .combatstop TEST
6,PASS,wait 0.2
7,PASS,gm .npc spawn add 6
8,PASS,select spawn:1 guid=0xF13000000604A295
9,PASS,gm .npc set reactstate 0
10,PASS,gm .npc spawn add 6
11,PASS,select spawn:2 guid=0xF13000000604A296
12,PASS,gm .npc set reactstate 0
13,PASS,select spawn:1 guid=0xF13000000604A295
14,PASS,socket-trace start N1-12-CB5-target-switch-20260731-224000 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-N1-12-CB5-target-switch-20260731-224000-20260731-224241.csv
15,PASS,trace start N1-12-CB5-target-switch-20260731-224000
16,PASS,attack start gate=PASS
17,PASS,assert event=AttackPreconditionGatePass
18,PASS,wait 0.2
19,PASS,select spawn:2 guid=0xF13000000604A296
20,FAIL,assert event=TargetSwitch
21,PASS,assert event=AttackPreconditionGatePass
22,PASS,wait 2
23,PASS,attack stop
24,PASS,socket-trace stop
25,PASS,trace stop
26,PASS,gm .gm on
27,PASS,wait 0.2
28,PASS,gm .npc spawn delete
29,PASS,wait 0.5
30,PASS,waitgone spawn:2 guid=0xF13000000604A296 descriptorPresent=False
31,PASS,select spawn:1 guid=0xF13000000604A295
32,PASS,gm .npc spawn delete
33,PASS,wait 0.5
34,PASS,waitgone spawn:1 guid=0xF13000000604A295 descriptorPresent=False
35,PASS,gm .gm off
