row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.2092099,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackStartReceive,server,false,0xF13000066A01384C,SMSG_ATTACKSTART,server,,unchecked,unchecked,none,24.350037,-1.9442005,-1.9442005,0,Stand,1.2092099,,,,0->0:Exact,attacker=0xF13000000604A297
2,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A297,,server,,unchecked,unchecked,none,0,,,0,Stand,1.2212559,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=true;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8949.95|-132.493|83.529526
3,0.000000,0.000000,AttackPreconditionGatePass,devtools-pre-send-gate,false,0xF13000000604A297,,server,,unchecked,unchecked,none,0,,,0,Stand,1.2212559,,,,0->0:Exact,packetConstructed=true;epsilon=distanceSquared<=1e-6;reasons=none
4,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,1.2212559,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=2afe1d8e923347e39c15f2c370975703606cd6a54fe664cb2290f46ea3f8841d;flushed=true;hex=0ADB5D3AF29197A20406000030F1
5,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A297,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,1.2212559,,,,0->0:Exact,CMSG_ATTACKSWING
6,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A297,,server,,unchecked,unchecked,none,0,,,0,Stand,1.2212559,,,,0->0:Exact,local attack latch edge
7,0.015961,0.015961,Tick,live-sample,true,0xF13000000604A297,,server,,unchecked,unchecked,none,0,,,0,Stand,1.237217,,,,0->0:Exact,none; server owns swing cadence
8,0.015961,0.000000,GmChatResponse,server-chat,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.237217,,,,0->0:Exact,React state of Kobold Vermin updated to 0.
9,0.024495,0.008534,Tick,live-sample,true,0xF13000000604A297,,server,,unchecked,unchecked,none,0,,,0,Stand,1.2457508,,,,0->0:Exact,none; server owns swing cadence
