step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\N1-12-CB6-confirmed-death-20260731-224000.txt
1,PASS,gm .gm off
2,PASS,wait 0.5
3,PASS,gm .dismount
4,PASS,wait 0.2
5,PASS,gm .combatstop TEST
6,PASS,wait 0.2
7,PASS,gm .npc spawn add 6
8,PASS,select spawn:1 guid=0xF13000000604A297
9,PASS,gm .npc set reactstate 0
10,PASS,socket-trace start N1-12-CB6-confirmed-death-20260731-224000 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-N1-12-CB6-confirmed-death-20260731-224000-20260731-224254.csv
11,PASS,trace start N1-12-CB6-confirmed-death-20260731-224000
12,PASS,attack start gate=PASS
13,PASS,assert event=AttackPreconditionGatePass
14,PASS,wait 0.2
15,PASS,gm .die
16,PASS,wait 0.5
17,PASS,waitdeath spawn:1 guid=0xF13000000604A297 health=0
18,FAIL,assert cause=target-death
19,PASS,attack stop
20,PASS,socket-trace stop
21,PASS,trace stop
22,PASS,gm .gm on
23,PASS,wait 0.2
24,PASS,gm .npc spawn delete
25,PASS,wait 0.5
26,PASS,waitgone spawn:1 guid=0xF13000000604A297 descriptorPresent=False
27,PASS,gm .gm off
