row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.0663767,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,GmChatResponse,server-chat,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,2.0663767,,,,0->0:Exact,React state of Kobold Vermin updated to 0.
2,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.07805,,,,0->0:Exact,player=0x0000000000000001;position=-8970|-132.493|83.30938;gmMode=false;gmSource=server-response;present=true;visible=true;alive=true;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8970|-132.493|83.30938
3,0.000000,0.000000,AttackPreconditionGatePass,devtools-pre-send-gate,false,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.07805,,,,0->0:Exact,packetConstructed=true;epsilon=distanceSquared<=1e-6;reasons=none
4,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,2.07805,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=6fff783ee85ae88197236af3fc8187256e30a4022c4e01194b766987d23f4d85;flushed=true;hex=423C64A8D0F79BA20406000030F1
5,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A29B,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,2.07805,,,,0->0:Exact,CMSG_ATTACKSWING
6,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.07805,,,,0->0:Exact,local attack latch edge
7,0.005538,0.005538,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.0835876,,,,0->0:Exact,none; server owns swing cadence
8,0.010492,0.004955,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.0885422,,,,0->0:Exact,none; server owns swing cadence
9,0.014391,0.003899,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.0924413,,,,0->0:Exact,none; server owns swing cadence
10,0.017869,0.003478,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.0959196,,,,0->0:Exact,none; server owns swing cadence
11,0.021286,0.003417,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.0993364,,,,0->0:Exact,none; server owns swing cadence
12,0.024179,0.002893,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.1022294,,,,0->0:Exact,none; server owns swing cadence
13,0.027049,0.002870,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.1050992,,,,0->0:Exact,none; server owns swing cadence
14,0.030099,0.003050,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.108149,,,,0->0:Exact,none; server owns swing cadence
15,0.033644,0.003546,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.1116948,,,,0->0:Exact,none; server owns swing cadence
16,0.036399,0.002754,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.1144493,,,,0->0:Exact,none; server owns swing cadence
17,0.039183,0.002785,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.117234,,,,0->0:Exact,none; server owns swing cadence
18,0.042046,0.002862,Tick,live-sample,true,0xF13000000604A29B,,server,,unchecked,unchecked,none,0,,,0,Stand,2.1200962,,,,0->0:Exact,none; server owns swing cadence
