step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\N1-12-CB6-quiet-confirmed-death-20260731-224600.txt
1,PASS,gm .gm on
2,PASS,wait 0.2
3,PASS,gm .go xyz -8970 -132.493 83.53 0
4,PASS,waitfor detail=counter=1
5,PASS,gm .gm off
6,PASS,wait 0.5
7,PASS,gm .gm
8,PASS,wait 0.5
9,PASS,gm .dismount
10,PASS,wait 0.2
11,PASS,gm .combatstop TEST
12,PASS,wait 0.2
13,PASS,gm .npc spawn add 6
14,PASS,select spawn:1 guid=0xF13000000604A29B
15,PASS,gm .npc set reactstate 0
16,PASS,socket-trace start N1-12-CB6-quiet-confirmed-death-20260731-224600 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-N1-12-CB6-quiet-confirmed-death-20260731-224600-20260731-224628.csv
17,PASS,trace start N1-12-CB6-quiet-confirmed-death-20260731-224600
18,PASS,attack start gate=PASS
19,PASS,assert event=AttackPreconditionGatePass
20,PASS,wait 0.1
21,PASS,gm .die
22,PASS,wait 0.5
23,PASS,waitdeath spawn:1 guid=0xF13000000604A29B health=0
24,FAIL,assert cause=target-death
25,PASS,attack stop
26,PASS,socket-trace stop
27,PASS,trace stop
28,PASS,gm .gm on
29,PASS,wait 0.2
30,PASS,gm .npc spawn delete
31,PASS,wait 0.5
32,PASS,waitgone spawn:1 guid=0xF13000000604A29B descriptorPresent=False
33,PASS,gm .gm off
