row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.1753927,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A298,,server,,unchecked,unchecked,none,0,,,0,Stand,1.1818187,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=true;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8949.95|-132.493|83.529526
2,0.000000,0.000000,AttackPreconditionGatePass,devtools-pre-send-gate,false,0xF13000000604A298,,server,,unchecked,unchecked,none,0,,,0,Stand,1.1818187,,,,0->0:Exact,packetConstructed=true;epsilon=distanceSquared<=1e-6;reasons=none
3,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,1.1818187,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=1fbe1393315b79fa42b8d53aaaa325eb280323bb92d3e48090c83e4a1c02c6b3;flushed=true;hex=D796ABDB94C398A20406000030F1
4,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A298,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,1.1818187,,,,0->0:Exact,CMSG_ATTACKSWING
5,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A298,,server,,unchecked,unchecked,none,0,,,0,Stand,1.1818187,,,,0->0:Exact,local attack latch edge
6,0.006105,0.006105,Tick,live-sample,true,0xF13000000604A298,,server,,unchecked,unchecked,none,0,,,0,Stand,1.1879237,,,,0->0:Exact,none; server owns swing cadence
7,0.017527,0.011422,Tick,live-sample,true,0xF13000000604A298,,server,,unchecked,unchecked,none,0,,,0,Stand,1.1993461,,,,0->0:Exact,none; server owns swing cadence
8,0.017527,0.000000,SocketFlush,post-encryption-socket-write,true,0x0000000000000000,MSG_MOVE_START_BACKWARD,server,,unchecked,unchecked,none,-1,,,0,Stand,1.1993461,,,,0->0:Exact,opcode=0x00B6;bytes=34;sha256=ffeff70a192cec8652c69ba1f1bcbe45d64ce64c25ccc67abaab9b8746d56224;flushed=true;hex=68F5D24422A90200000009120000BCD70BC6D47F04C3B20FA742EA43314000000000
9,0.017527,0.000000,AnimChoice,animator,true,0xF13000000604A298,,server,,unchecked,unchecked,none,0.017768262,0.0074231625,0.0074231625,0,Stand,1.1993461,,,,13->13:Exact,track=0 requested=13 played=13 kind=Exact base=0:Stand clipB= blendWeight=0
10,0.021404,0.003877,Tick,live-sample,true,0xF13000000604A298,,server,,unchecked,unchecked,none,0.017768262,0.0074231625,0.0074231625,13,WalkBackwards,0.00697824,Stand,1.2032229,0.001969397,13->13:Exact,none; server owns swing cadence
11,0.025536,0.004132,Tick,live-sample,true,0xF13000000604A298,,server,,unchecked,unchecked,none,0.036601264,0.0060255527,0.0060255527,13,WalkBackwards,0.01441548,Stand,1.2073547,0.008247256,13->13:Exact,none; server owns swing cadence
12,0.029713,0.004177,Tick,live-sample,true,0xF13000000604A298,,server,,unchecked,unchecked,none,0.055461656,0.0042932034,0.0042932034,13,WalkBackwards,0.02193408,Stand,1.2115316,0.01872629,13->13:Exact,none; server owns swing cadence
13,0.029713,0.000000,GmChatWire,server-receive,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,13,WalkBackwards,0.02193408,Stand,1.2115316,0.01872629,13->13:Exact,opcode=0x0096;bytes=61;hex=0A0000000000000000000000002B0000005265616374207374617465206F66204B6F626F6C64205665726D696E207570646174656420746F20302E0000
14,0.029713,0.000000,GmChatResponse,server-chat,true,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,13,WalkBackwards,0.02193408,Stand,1.2115316,0.01872629,13->13:Exact,React state of Kobold Vermin updated to 0.
15,0.033429,0.003716,Tick,live-sample,true,0xF13000000604A298,,server,,unchecked,unchecked,none,0.0722253,0.00355649,0.00355649,13,WalkBackwards,0.02862234,Stand,1.2152474,0.031330884,13->13:Exact,none; server owns swing cadence
16,0.037038,0.003609,Tick,live-sample,true,0xF13000000604A298,,server,,unchecked,unchecked,none,0.08801776,0.0008773804,0.0008773804,13,WalkBackwards,0.03511908,Stand,1.2188567,0.046353936,13->13:Exact,none; server owns swing cadence
17,0.040469,0.003431,Tick,live-sample,true,0xF13000000604A298,,server,,unchecked,unchecked,none,0.10370542,0.0016169548,0.0016169548,13,WalkBackwards,0.0412956,Stand,1.2222881,0.063022316,13->13:Exact,none; server owns swing cadence
