step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\N1-12-CB7-movement-intent-20260731-224000.txt
1,PASS,gm .gm off
2,PASS,wait 0.5
3,PASS,gm .dismount
4,PASS,wait 0.2
5,PASS,gm .combatstop TEST
6,PASS,wait 0.2
7,PASS,gm .npc spawn add 6
8,PASS,select spawn:1 guid=0xF13000000604A298
9,PASS,gm .npc set reactstate 0
10,PASS,socket-trace start N1-12-CB7-movement-intent-20260731-224000 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-N1-12-CB7-movement-intent-20260731-224000-20260731-224305.csv
11,PASS,trace start N1-12-CB7-movement-intent-20260731-224000
12,PASS,attack start gate=PASS
13,PASS,assert event=AttackPreconditionGatePass
14,PASS,press S
15,PASS,wait 0.5
16,PASS,release S
17,PASS,press W
18,PASS,wait 0.5
19,PASS,release W
20,PASS,wait 1
21,PASS,attack stop
22,PASS,socket-trace stop
23,PASS,trace stop
24,PASS,gm .gm on
25,PASS,wait 0.2
26,PASS,gm .npc spawn delete
27,PASS,wait 0.5
28,PASS,waitgone spawn:1 guid=0xF13000000604A298 descriptorPresent=False
29,PASS,gm .gm off
