step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\N1-12-VA-gm-on-20260731-224000.txt
1,PASS,gm .gm on
2,PASS,wait 0.5
3,PASS,gm .gm
4,PASS,wait 0.5
5,PASS,gm .dismount
6,PASS,wait 0.2
7,PASS,gm .combatstop TEST
8,PASS,wait 0.2
9,PASS,gm .npc spawn add 6
10,PASS,select spawn:1 guid=0xF13000000604A290
11,PASS,gm .npc set reactstate 0
12,PASS,socket-trace start N1-12-VA-gm-on-20260731-224000 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-N1-12-VA-gm-on-20260731-224000-20260731-224136.csv
13,PASS,trace start N1-12-VA-gm-on-20260731-224000
14,PASS,gm .gps
15,FAIL,attack start gate=REFUSED
16,PASS,assert event=AttackPreconditionGateRefusal
17,PASS,socket-trace stop
18,PASS,trace stop
19,PASS,gm .npc spawn delete
20,PASS,wait 0.5
21,PASS,waitgone spawn:1 guid=0xF13000000604A290 descriptorPresent=False
22,PASS,gm .gm off
