row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.6825045,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_MESSAGECHAT,server,,unchecked,unchecked,none,-1,,,0,Stand,1.6890213,,,,0->0:Exact,opcode=0x0095;bytes=19;sha256=5f0dcaeadb42053bb4ecc030d6322b6408ca1e412d20e15f9fae3e1bb2e1df0f;flushed=true;hex=AC4188FC0B6A00000000070000002E67707300
2,0.000000,0.000000,GmChatWire,client-send,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.6890213,,,,0->0:Exact,opcode=0x0095;bytes=13;hex=00000000070000002E67707300
3,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7020044,,,,0->0:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=true;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8949.95|-132.493|83.529526
4,0.000000,0.000000,AttackPreconditionGatePass,devtools-pre-send-gate,false,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7020044,,,,0->0:Exact,packetConstructed=true;epsilon=distanceSquared<=1e-6;reasons=none
5,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,1.7020044,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=d09437726f6d52c56ddddf277874d0a114618e6a90b28a5d039ce7208397591c;flushed=true;hex=BE6BA369EB3291A20406000030F1
6,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A291,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,1.7020044,,,,0->0:Exact,CMSG_ATTACKSWING
7,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7020044,,,,0->0:Exact,local attack latch edge
8,0.005207,0.005207,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7072111,,,,0->0:Exact,none; server owns swing cadence
9,0.015487,0.010280,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.717491,,,,0->0:Exact,none; server owns swing cadence
10,0.019062,0.003576,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7210666,,,,0->0:Exact,none; server owns swing cadence
11,0.022525,0.003463,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7245294,,,,0->0:Exact,none; server owns swing cadence
12,0.026549,0.004024,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7285537,,,,0->0:Exact,none; server owns swing cadence
13,0.029960,0.003410,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7319641,,,,0->0:Exact,none; server owns swing cadence
14,0.033428,0.003468,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7354323,,,,0->0:Exact,none; server owns swing cadence
15,0.036760,0.003332,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7387645,,,,0->0:Exact,none; server owns swing cadence
16,0.040664,0.003904,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7426689,,,,0->0:Exact,none; server owns swing cadence
17,0.045297,0.004633,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7473015,,,,0->0:Exact,none; server owns swing cadence
18,0.048721,0.003424,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7507256,,,,0->0:Exact,none; server owns swing cadence
19,0.051889,0.003168,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7538934,,,,0->0:Exact,none; server owns swing cadence
20,0.055073,0.003184,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7570773,,,,0->0:Exact,none; server owns swing cadence
21,0.058709,0.003636,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.760713,,,,0->0:Exact,none; server owns swing cadence
22,0.062105,0.003396,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7641093,,,,0->0:Exact,none; server owns swing cadence
23,0.065274,0.003169,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7672782,,,,0->0:Exact,none; server owns swing cadence
24,0.068407,0.003133,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7704109,,,,0->0:Exact,none; server owns swing cadence
25,0.071431,0.003025,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7734357,,,,0->0:Exact,none; server owns swing cadence
26,0.074846,0.003415,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7768503,,,,0->0:Exact,none; server owns swing cadence
27,0.078663,0.003817,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7806672,,,,0->0:Exact,none; server owns swing cadence
28,0.081700,0.003037,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.783704,,,,0->0:Exact,none; server owns swing cadence
29,0.084688,0.002988,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7866925,,,,0->0:Exact,none; server owns swing cadence
30,0.087715,0.003027,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7897195,,,,0->0:Exact,none; server owns swing cadence
31,0.090911,0.003196,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7929152,,,,0->0:Exact,none; server owns swing cadence
32,0.094288,0.003377,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7962925,,,,0->0:Exact,none; server owns swing cadence
33,0.097416,0.003128,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.7994202,,,,0->0:Exact,none; server owns swing cadence
34,0.100628,0.003212,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.8026325,,,,0->0:Exact,none; server owns swing cadence
35,0.103746,0.003118,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.8057506,,,,0->0:Exact,none; server owns swing cadence
36,0.107381,0.003635,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.8093852,,,,0->0:Exact,none; server owns swing cadence
37,0.110768,0.003387,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.8127725,,,,0->0:Exact,none; server owns swing cadence
38,0.113877,0.003109,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.8158814,,,,0->0:Exact,none; server owns swing cadence
39,0.116845,0.002969,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.81885,,,,0->0:Exact,none; server owns swing cadence
40,0.119843,0.002997,Tick,live-sample,true,0xF13000000604A291,,server,,unchecked,unchecked,none,0,,,0,Stand,1.8218472,,,,0->0:Exact,none; server owns swing cadence
