step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\N1-12-VC-range-reanchor-20260731-224000.txt
1,PASS,gm .gm off
2,PASS,wait 0.5
3,PASS,gm .gm
4,PASS,wait 0.5
5,PASS,gm .dismount
6,PASS,wait 0.2
7,PASS,gm .combatstop TEST
8,PASS,wait 0.2
9,PASS,gm .npc spawn add 6
10,PASS,select spawn:1 guid=0xF13000000604A292
11,PASS,gm .npc set reactstate 0
12,PASS,press S
13,PASS,wait 1
14,PASS,release S
15,PASS,socket-trace start N1-12-VC-range-reanchor-20260731-224000 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-N1-12-VC-range-reanchor-20260731-224000-20260731-224200.csv
16,PASS,trace start N1-12-VC-range-reanchor-20260731-224000
17,FAIL,attack start gate=REFUSED
18,PASS,assert event=AttackPreconditionGateRefusal
19,PASS,anchor spawn:1 guid=0xF13000000604A292 position=-8950.033|-132.23944|83.50921
20,PASS,wait 0.5
21,PASS,gm .gps
22,FAIL,attack start gate=REFUSED
23,FAIL,assert event=AttackPreconditionGatePass
24,PASS,wait 2
25,PASS,attack stop
26,PASS,socket-trace stop
27,PASS,trace stop
28,PASS,gm .gm on
29,PASS,wait 0.2
30,PASS,gm .npc spawn delete
31,PASS,wait 0.5
32,PASS,waitgone spawn:1 guid=0xF13000000604A292 descriptorPresent=False
33,PASS,gm .gm off
