row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,11,ShuffleLeft,0.52619016,,,,11->11:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_MESSAGECHAT,server,,unchecked,unchecked,none,-1,,,11,ShuffleLeft,0.53356737,,,,11->11:Exact,opcode=0x0095;bytes=19;sha256=78195da79035e28e865572bd47745c86b2bba2cd45ef7b78165d37b584b3fb4a;flushed=true;hex=63DDA2AF381A00000000070000002E67707300
2,0.000000,0.000000,GmChatWire,client-send,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,11,ShuffleLeft,0.53356737,,,,11->11:Exact,opcode=0x0095;bytes=13;hex=00000000070000002E67707300
3,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A293,,server,,unchecked,unchecked,none,0.50913,-4.484662,-4.484662,11,ShuffleLeft,0.5384921,,,,11->11:Exact,player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=true;health=100;maxHealth=100;unitFlags=0x00080000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0.510032;targetPosition=-8949.887|-131.98784|83.49921
4,0.000000,0.000000,AttackPreconditionGateRefusal,devtools-pre-send-gate,false,0xF13000000604A293,,server,,unchecked,unchecked,none,0.50913,-4.484662,-4.484662,11,ShuffleLeft,0.5384921,,,,11->11:Exact,packetConstructed=false;epsilon=distanceSquared<=1e-6;reasons=unitFlags-nonzero|distance-nonzero
5,0.000000,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.11170462,ShuffleLeft,0.6915994,0.1904034,0->0:Exact,opcode=0x0096;bytes=34;hex=0A00000000000000000000000010000000596F7520617265204F5554646F6F720000
6,0.000000,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.11170462,ShuffleLeft,0.6915994,0.1904034,0->0:Exact,opcode=0x0096;bytes=97;hex=0A0000000000000000000000004F0000004D61703A203020284561737465726E204B696E67646F6D7329205A6F6E653A2031322028456C77796E6E20466F726573742920417265613A203920284E6F72746873686972652056616C6C6579290000
7,0.000000,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.11170462,ShuffleLeft,0.6915994,0.1904034,0->0:Exact,opcode=0x0096;bytes=84;hex=0A00000000000000000000000042000000583A202D383934392E38343936303920593A202D3133312E363933373837205A3A2038332E343832323737204F7269656E746174696F6E3A20312E3434353936300000
8,0.000000,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.11170462,ShuffleLeft,0.6915994,0.1904034,0->0:Exact,opcode=0x0096;bytes=54;hex=0A00000000000000000000000024000000677269645B33322C34385D63656C6C5B31322C335D20496E7374616E636549443A20300000
9,0.000000,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.11170462,ShuffleLeft,0.6915994,0.1904034,0->0:Exact,opcode=0x0096;bytes=53;hex=0A00000000000000000000000023000000205A6F6E65583A2034382E303331393934205A6F6E65593A2034332E3634373838380000
10,0.000000,0.000000,GmChatWire,server-receive,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.11170462,ShuffleLeft,0.6915994,0.1904034,0->0:Exact,opcode=0x0096;bytes=89;hex=0A0000000000000000000000004700000047726F756E645A3A2038332E34383331333920466C6F6F725A3A2038332E343833313339204861766520686569676874206461746120284D61703A203120564D61703A2031290000
11,0.000000,0.000000,GmChatResponse,server-chat,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.11170462,ShuffleLeft,0.6915994,0.1904034,0->0:Exact,You are OUTdoor
12,0.000000,0.000000,GmChatResponse,server-chat,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.11170462,ShuffleLeft,0.6915994,0.1904034,0->0:Exact,Map: 0 (Eastern Kingdoms) Zone: 12 (Elwynn Forest) Area: 9 (Northshire Valley)
13,0.000000,0.000000,GmChatResponse,server-chat,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.11170462,ShuffleLeft,0.6915994,0.1904034,0->0:Exact,X: -8949.849609 Y: -131.693787 Z: 83.482277 Orientation: 1.445960
