step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\combat\N1-12-VD-facing-20260731-224000.txt
1,PASS,gm .gm off
2,PASS,wait 0.5
3,PASS,gm .gm
4,PASS,wait 0.5
5,PASS,gm .dismount
6,PASS,wait 0.2
7,PASS,gm .combatstop TEST
8,PASS,wait 0.2
9,PASS,gm .npc spawn add 6
10,PASS,select spawn:1 guid=0xF13000000604A293
11,PASS,gm .npc set reactstate 0
12,PASS,press turn-left
13,PASS,wait 1
14,PASS,release turn-left
15,PASS,socket-trace start N1-12-VD-facing-20260731-224000 path=C:\Users\nico\source\repos\MSUIClient\dumps\sockettrace-N1-12-VD-facing-20260731-224000-20260731-224214.csv
16,PASS,trace start N1-12-VD-facing-20260731-224000
17,PASS,gm .gps
18,FAIL,attack start gate=REFUSED
19,FAIL,assert event=AttackPreconditionGatePass
20,PASS,wait 1
21,PASS,press turn-right
22,PASS,wait 1
23,PASS,release turn-right
24,PASS,wait 1
25,PASS,attack stop
26,PASS,socket-trace stop
27,PASS,trace stop
28,PASS,gm .gm on
29,PASS,wait 0.2
30,PASS,gm .npc spawn delete
31,PASS,wait 0.5
32,PASS,waitgone spawn:1 guid=0xF13000000604A293 descriptorPresent=False
33,PASS,gm .gm off
