row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.9025666,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
1,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_MESSAGECHAT,server,,unchecked,unchecked,none,-1,,,0,Stand,1.9082485,,,,0->0:Exact,opcode=0x0095;bytes=19;sha256=a2b8e764b7b36f037943d236b8f1f3b83d94a44b63cd630bb2e23e9c2506536d;flushed=true;hex=0B4C939F0A7000000000070000002E67707300
2,0.000000,0.000000,GmChatWire,client-send,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,1.9082485,,,,0->0:Exact,opcode=0x0095;bytes=13;hex=00000000070000002E67707300
3,0.000000,0.000000,AttackPrecondition,live-send-path,false,0xF13000000604A29C,,server,,unchecked,unchecked,none,0,,,0,Stand,1.9208288,,,,0->0:Exact,player=0x0000000000000001;position=-8970|-132.493|83.30938;gmMode=false;gmSource=server-response;present=true;visible=true;alive=true;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8970|-132.493|83.30938
4,0.000000,0.000000,AttackPreconditionGatePass,devtools-pre-send-gate,false,0xF13000000604A29C,,server,,unchecked,unchecked,none,0,,,0,Stand,1.9208288,,,,0->0:Exact,packetConstructed=true;epsilon=distanceSquared<=1e-6;reasons=none
5,0.000000,0.000000,SocketFlush,post-encryption-socket-write,false,0x0000000000000000,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,-1,,,0,Stand,1.9208288,,,,0->0:Exact,opcode=0x0141;bytes=14;sha256=402ccbe93c48283d272761956017df71f075ed51fb1ab4ffee52787861e41d1e;flushed=true;hex=D0390DB812FA9CA20406000030F1
6,0.000000,0.000000,AttackSwingSend,network-session-send,false,0xF13000000604A29C,CMSG_ATTACKSWING,server,,unchecked,unchecked,none,0,,,0,Stand,1.9208288,,,,0->0:Exact,CMSG_ATTACKSWING
7,0.000000,0.000000,IntentOn,user-start,true,0xF13000000604A29C,,server,,unchecked,unchecked,none,0,,,0,Stand,1.9208288,,,,0->0:Exact,local attack latch edge
8,0.004808,0.004808,Tick,live-sample,true,0xF13000000604A29C,,server,,unchecked,unchecked,none,0,,,0,Stand,1.9256374,,,,0->0:Exact,none; server owns swing cadence
9,0.009168,0.004360,Tick,live-sample,true,0xF13000000604A29C,,server,,unchecked,unchecked,none,0,,,0,Stand,1.929997,,,,0->0:Exact,none; server owns swing cadence
