step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\interfaces\N1B-4-1-gossip-gmoff-20260801-083800.txt
1,PASS,gm .gps
2,PASS,waitfor event=GmChatResponse
3,PASS,gm .gm off
4,PASS,waitfor GM_mode_is_OFF
5,PASS,gm .tele stormwind
6,PASS,wait 4
7,FAIL,select npc-flag-nearest:vendor guid=0x0000000000000000
8,FAIL,anchor selected guid=0x0000000000000000 position=unavailable
9,PASS,wait 2
10,PASS,wire-trace start path=dumps/wire-20260801-083640.wlog
11,FAIL,interact gossip guid=0x0000000000000000
12,PASS,wait 5
13,PASS,wire-trace stop
14,FAIL,assert family=gossip step=hello outcome=SENT
15,PASS,gm .gm on
16,PASS,waitfor GM_mode_is_ON
