step,result,detail
START protocol=C:\Users\nico\source\repos\MSUIClient\scenarios\interfaces\N1B-4-1-gossip-quest-20260801-083600.txt
1,PASS,gm .gps
2,PASS,waitfor event=GmChatResponse
3,PASS,gm .tele stormwind
4,PASS,wait 4
5,PASS,select npc-flag-nearest:questgiver guid=0xF13000181E013740
6,PASS,anchor selected guid=0xF13000181E013740 position=-8832.27|613.706|94.2841
7,PASS,wait 2
8,PASS,interact gossip guid=0xF13000181E013740
9,FAIL,waitfor family=gossip step=menu outcome=DECODED timeout
10,FAIL,assert family=gossip step=text outcome=DECODED
11,PASS,gossip close
