frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,playbackRate,lastAnimChoice,wireSentThisTick
0,0.000000,0.007485,-8949.95,-132.493,83.529526,0,0,0,0,0,0,none,true,0,0,0,Stand,1.0021147,,,,1,0->0:Exact,NONE
1,0.007485,0.008473,-8949.988,-132.493,83.52794,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.015250859,Stand,1.0105873,0.009211123,1.8,13->13:Exact,MSG_MOVE_START_BACKWARD
2,0.015958,0.008703,-8950.027,-132.493,83.52539,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.030915719,Stand,1.0192901,0.036330044,1.8,13->13:Exact,NONE
3,0.024660,0.014920,-8950.095,-132.493,83.520355,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.057770997,Stand,1.0342097,0.117753565,1.8,13->13:Exact,NONE
4,0.039580,0.005827,-8950.121,-132.493,83.518394,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.06825906,Stand,1.0400364,0.15942448,1.8,13->13:Exact,NONE
5,0.045407,0.005893,-8950.147,-132.493,83.51643,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.07886718,Stand,1.0459298,0.2061227,1.8,13->13:Exact,NONE
6,0.051300,0.006490,-8950.177,-132.493,83.514244,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.090549186,Stand,1.0524198,0.2619753,1.8,13->13:Exact,NONE
7,0.057790,0.006293,-8950.205,-132.493,83.51214,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.1018773,Stand,1.0587132,0.31967735,1.8,13->13:Exact,NONE
8,0.064084,0.005971,-8950.232,-132.493,83.5101,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.1126251,Stand,1.0646842,0.37683314,1.8,13->13:Exact,NONE
9,0.070055,0.007515,-8950.267,-132.493,83.50755,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.12615138,Stand,1.0721987,0.45091134,1.8,13->13:Exact,NONE
10,0.077569,0.006855,-8950.298,-132.493,83.505226,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.13848966,Stand,1.0790534,0.5193826,1.8,13->13:Exact,NONE
11,0.084424,0.005798,-8950.324,-132.493,83.50326,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.14892606,Stand,1.0848514,0.5770924,1.8,13->13:Exact,NONE
12,0.090222,0.005827,-8950.351,-132.493,83.50129,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.15941449,Stand,1.0906783,0.6341572,1.8,13->13:Exact,NONE
13,0.096049,0.005467,-8950.375,-132.493,83.49947,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.16925563,Stand,1.0961456,0.6862244,1.8,13->13:Exact,NONE
14,0.101516,0.005928,-8950.401,-132.493,83.49751,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.17992622,Stand,1.1020738,0.7403761,1.8,13->13:Exact,NONE
15,0.107444,0.005579,-8950.427,-132.493,83.49561,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.18996805,Stand,1.1076525,0.78850186,1.8,13->13:Exact,NONE
16,0.113023,0.005290,-8950.45,-132.493,83.49387,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.19948968,Stand,1.1129423,0.8310232,1.8,13->13:Exact,NONE
17,0.118313,0.005951,-8950.477,-132.493,83.491905,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.21020184,Stand,1.1188935,0.87457395,1.8,13->13:Exact,NONE
18,0.124264,0.007681,-8950.511,-132.493,83.48936,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.22402783,Stand,1.1265746,0.9228994,1.8,13->13:Exact,NONE
19,0.131945,0.005337,-8950.535,-132.493,83.48753,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.23363407,Stand,1.1319114,0.9504636,1.8,13->13:Exact,NONE
20,0.137282,0.005799,-8950.562,-132.493,83.485565,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.24407317,Stand,1.1377109,0.9741082,1.8,13->13:Exact,NONE
21,0.143081,0.005568,-8950.587,-132.493,83.48367,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.25409612,Stand,1.1432792,0.9899999,1.8,13->13:Exact,NONE
22,0.148650,0.005949,-8950.613,-132.493,83.481705,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.26480395,Stand,1.149228,0.99890316,1.8,13->13:Exact,NONE
23,0.154598,0.005957,-8950.64,-132.493,83.47974,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.27552727,,,,1.8,13->13:Exact,NONE
24,0.160556,0.005919,-8950.666,-132.493,83.477776,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.2861813,,,,1.8,13->13:Exact,NONE
25,0.166475,0.005898,-8950.692,-132.493,83.475815,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.2967984,,,,1.8,13->13:Exact,NONE
26,0.172373,0.050000,-8950.917,-132.493,83.45906,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.3867984,,,,1.8,13->13:Exact,MSG_MOVE_HEARTBEAT
27,0.222373,0.012078,-8950.972,-132.493,83.45499,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.4085381,,,,1.8,13->13:Exact,NONE
28,0.234451,0.004905,-8950.994,-132.493,83.453316,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.4173662,,,,1.8,13->13:Exact,NONE
29,0.239355,0.005343,-8951.019,-132.493,83.45149,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.42698306,,,,1.8,13->13:Exact,NONE
30,0.244698,0.005007,-8951.041,-132.493,83.44982,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.43599495,,,,1.8,13->13:Exact,NONE
31,0.249704,0.005829,-8951.067,-132.493,83.44785,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.44648644,,,,1.8,13->13:Exact,NONE
32,0.255533,0.006305,-8951.096,-132.493,83.44575,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.45783615,,,,1.8,13->13:Exact,NONE
33,0.261838,0.005258,-8951.119,-132.493,83.444,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.46730036,,,,1.8,13->13:Exact,NONE
34,0.267096,0.006285,-8951.147,-132.493,83.441895,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.47861335,,,,1.8,13->13:Exact,NONE
35,0.273381,0.005747,-8951.173,-132.493,83.439995,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.48895776,,,,1.8,13->13:Exact,NONE
36,0.279128,0.005714,-8951.198,-132.493,83.4381,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.49924386,,,,1.8,13->13:Exact,NONE
37,0.284843,0.005684,-8951.224,-132.493,83.43622,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.50947523,,,,1.8,13->13:Exact,NONE
38,0.290527,0.006968,-8951.255,-132.493,83.433876,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.5220182,,,,1.8,13->13:Exact,NONE
39,0.297495,0.006461,-8951.284,-132.493,83.431694,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.5336473,,,,1.8,13->13:Exact,NONE
40,0.303956,0.006602,-8951.313,-132.493,83.42951,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.5455311,,,,1.8,13->13:Exact,NONE
41,0.310558,0.006101,-8951.341,-132.493,83.42747,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.5565138,,,,1.8,13->13:Exact,NONE
42,0.316659,0.009379,-8951.383,-132.493,83.42434,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.57339543,,,,1.8,13->13:Exact,NONE
43,0.326038,0.010062,-8951.428,-132.493,83.421,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.591507,,,,1.8,13->13:Exact,NONE
44,0.336100,0.007517,-8951.462,-132.493,83.41844,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.60503834,,,,1.8,13->13:Exact,NONE
45,0.343617,0.006508,-8951.491,-132.493,83.41626,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.616752,,,,1.8,13->13:Exact,NONE
46,0.350125,0.006614,-8951.5205,-132.493,83.41408,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.62865704,,,,1.8,13->13:Exact,NONE
47,0.356739,0.007279,-8951.554,-132.493,83.411606,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.6417592,,,,1.8,13->13:Exact,NONE
48,0.364018,0.006779,-8951.584,-132.493,83.40935,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.6539605,,,,1.8,13->13:Exact,NONE
49,0.370796,0.009098,-8951.625,-132.493,83.40629,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.6703371,,,,1.8,13->13:Exact,NONE
50,0.379895,0.005756,-8951.651,-132.493,83.40433,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.6806975,,,,1.8,13->13:Exact,NONE
51,0.385650,0.006104,-8951.679,-132.493,83.40228,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.6916847,,,,1.8,13->13:Exact,NONE
52,0.391754,0.005829,-8951.705,-132.493,83.40032,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.7021773,,,,1.8,13->13:Exact,NONE
53,0.397584,0.007311,-8951.738,-132.493,83.39784,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.7153371,,,,1.8,13->13:Exact,NONE
54,0.404895,0.006232,-8951.767,-132.493,83.39574,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.7265549,,,,1.8,13->13:Exact,NONE
55,0.411127,0.005809,-8951.793,-132.493,83.39377,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.7370116,,,,1.8,13->13:Exact,NONE
56,0.416936,0.006446,-8951.822,-132.493,83.39159,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.7486139,,,,1.8,13->13:Exact,NONE
57,0.423382,0.008030,-8951.858,-132.493,83.38889,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.763067,,,,1.8,13->13:Exact,NONE
58,0.431411,0.007169,-8951.891,-132.493,83.38648,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.77597195,,,,1.8,13->13:Exact,NONE
59,0.438580,0.009844,-8951.935,-132.493,83.38322,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.79369205,,,,1.8,13->13:Exact,NONE
60,0.448425,0.009055,-8951.976,-132.493,83.38016,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.80999035,,,,1.8,13->13:Exact,NONE
61,0.457480,0.009565,-8952.019,-132.493,83.37695,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.82720715,,,,1.8,13->13:Exact,NONE
62,0.467044,0.007877,-8952.054,-132.493,83.37433,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.8413867,,,,1.8,13->13:Exact,NONE
63,0.474922,0.007079,-8952.086,-132.493,83.371925,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.85412836,,,,1.8,13->13:Exact,NONE
64,0.482001,0.006978,-8952.117,-132.493,83.3696,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.8666893,,,,1.8,13->13:Exact,NONE
65,0.488979,0.007351,-8952.15,-132.493,83.36713,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,0.87992096,,,,1.8,13->13:Exact,NONE
