"manifest","ok","missing","hash_mismatch","malformed","result"
"N1-12-20260731-230000.sha256","22","0","1","0","STALE"
"N1-13-20260731-231500.sha256","2","0","2","0","STALE"
"N1-14-20260731-232500.sha256","7","0","0","0","PASS"
"N1B-11-20260801-083000.sha256","15","0","32","0","STALE"
"N1B-2-1-20260801-085100.sha256","4","0","13","0","STALE"
"N1B-4-1-20260801-084200.sha256","8","0","22","0","STALE"
"N1C-2-10-20260801-132000.sha256","7","0","15","0","STALE"
"N1C-2-11-talents-20260801-134000.sha256","5","0","13","0","STALE"
"N1C-2-12-20260801-120500.sha256","4","0","9","0","STALE"
"N1C-2-2-20260801-111500.sha256","7","0","14","0","STALE"
"N1C-2-3-20260801-113500.sha256","8","0","20","0","STALE"
"N1C-2-4-20260801-115500.sha256","4","0","11","0","STALE"
"N1C-2-5-20260801-121500.sha256","4","0","14","0","STALE"
"N1C-2-6-20260801-123000.sha256","4","0","14","0","STALE"
"N1C-2-7-20260801-124300.sha256","4","0","12","0","STALE"
"N1C-2-8-20260801-125800.sha256","7","0","10","0","STALE"
"N1C-2-9-20260801-130400.sha256","4","0","12","0","STALE"
"N1C-3-1-20260801-093000.sha256","12","0","0","0","PASS"
"N1C-3-2-20260801-095200.sha256","9","0","0","0","PASS"
"N1C-3-3-20260801-100300.sha256","6","0","0","0","PASS"
"N1C-3-4-20260801-101300.sha256","11","0","0","0","PASS"
"N1C-3-5-20260801-102000.sha256","10","0","0","0","PASS"
"N1C-3-6-20260801-103200.sha256","8","0","0","0","PASS"
"N1C-3-7-20260801-104100.sha256","12","0","0","0","PASS"
"N1C-3-8-20260801-104600.sha256","4","0","0","0","PASS"
"N1C-4-2-gameobjects-20260801-135000.sha256","4","0","13","0","STALE"
"N1C-4-3-rest-xp-20260801-140000.sha256","4","0","11","0","STALE"
"N1C-4-4-death-rez-20260801-141000.sha256","4","0","11","0","STALE"
"N1C-4-5-hearth-20260801-142000.sha256","5","0","0","0","PASS"
"N1C-4-6-flightmaster-20260801-143000.sha256","5","0","0","0","PASS"
"N1C-4-7-environment-audit-20260801-144000.sha256","6","0","0","0","PASS"
"N1C-5-4-benilla-goldens-20260801-145000.sha256","2","0","0","0","PASS"
"N1C-5-5-backpedal-evidence-20260801-150000.sha256","7","0","0","0","PASS"
"N1C-spell-bootstrap-20260801-093000.sha256","8","0","0","0","PASS"
"N2-20260731-234000.sha256","3","0","1","0","STALE"
"N3-20260731-235000.sha256","3","0","2","0","STALE"
"N4-20260801-000000.sha256","4","0","0","0","PASS"
"N5-3-20260801-001000.sha256","5","0","0","0","PASS"
"N5-5-20260801-001500.sha256","5","0","0","0","PASS"
"N5-final-20260801-003000.sha256","2","0","3","0","STALE"
"N5-triage-20260801-002000.sha256","4","0","0","0","PASS"
"W0b-20260731-223230.sha256","11","0","0","0","PASS"
