panel,element,field,expected,actual,verdict
"game-menu","GameMenuButtonContinue","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonContinue","geometry","25.5|195.5|144|21","25.5|195.5|144|21","PASS"
"game-menu","GameMenuButtonContinue","anchor","TOP|GameMenuButtonQuit|BOTTOM|0|-16","TOP|GameMenuButtonQuit|BOTTOM|0|-16","PASS"
"game-menu","GameMenuButtonContinue","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonContinue","font","GameFontHighlight|12","GameFontHighlight|12","PASS"
"game-menu","GameMenuButtonContinue","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonContinue","layer","DIALOG|","DIALOG|","PASS"
"game-menu","GameMenuButtonKeybindings","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonKeybindings","geometry","25.5|92.5|144|21","25.5|92.5|144|21","PASS"
"game-menu","GameMenuButtonKeybindings","anchor","TOP|GameMenuButtonUIOptions|BOTTOM|0|-1","TOP|GameMenuButtonUIOptions|BOTTOM|0|-1","PASS"
"game-menu","GameMenuButtonKeybindings","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonKeybindings","font","GameFontHighlight|12","GameFontHighlight|12","PASS"
"game-menu","GameMenuButtonKeybindings","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonKeybindings","layer","DIALOG|","DIALOG|","PASS"
"game-menu","GameMenuButtonLogout","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonLogout","geometry","25.5|136.5|144|21","25.5|136.5|144|21","PASS"
"game-menu","GameMenuButtonLogout","anchor","TOP|GameMenuButtonMacros|BOTTOM|0|-1","TOP|GameMenuButtonMacros|BOTTOM|0|-1","PASS"
"game-menu","GameMenuButtonLogout","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonLogout","font","GameFontHighlight|12","GameFontHighlight|12","PASS"
"game-menu","GameMenuButtonLogout","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonLogout","layer","DIALOG|","DIALOG|","PASS"
"game-menu","GameMenuButtonMacros","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonMacros","geometry","25.5|114.5|144|21","25.5|114.5|144|21","PASS"
"game-menu","GameMenuButtonMacros","anchor","TOP|GameMenuButtonKeybindings|BOTTOM|0|-1","TOP|GameMenuButtonKeybindings|BOTTOM|0|-1","PASS"
"game-menu","GameMenuButtonMacros","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonMacros","font","GameFontHighlight|12","GameFontHighlight|12","PASS"
"game-menu","GameMenuButtonMacros","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonMacros","layer","DIALOG|","DIALOG|","PASS"
"game-menu","GameMenuButtonOptions","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonOptions","geometry","25.5|26.5|144|21","25.5|26.5|144|21","PASS"
"game-menu","GameMenuButtonOptions","anchor","CENTER||TOP|0|-37","CENTER||TOP|0|-37","PASS"
"game-menu","GameMenuButtonOptions","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonOptions","font","GameFontHighlight|12","GameFontHighlight|12","PASS"
"game-menu","GameMenuButtonOptions","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonOptions","layer","DIALOG|","DIALOG|","PASS"
"game-menu","GameMenuButtonQuit","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonQuit","geometry","25.5|158.5|144|21","25.5|158.5|144|21","PASS"
"game-menu","GameMenuButtonQuit","anchor","TOP|GameMenuButtonLogout|BOTTOM|0|-1","TOP|GameMenuButtonLogout|BOTTOM|0|-1","PASS"
"game-menu","GameMenuButtonQuit","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonQuit","font","GameFontHighlight|12","GameFontHighlight|12","PASS"
"game-menu","GameMenuButtonQuit","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonQuit","layer","DIALOG|","DIALOG|","PASS"
"game-menu","GameMenuButtonSoundOptions","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonSoundOptions","geometry","25.5|48.5|144|21","25.5|48.5|144|21","PASS"
"game-menu","GameMenuButtonSoundOptions","anchor","TOP|GameMenuButtonOptions|BOTTOM|0|-1","TOP|GameMenuButtonOptions|BOTTOM|0|-1","PASS"
"game-menu","GameMenuButtonSoundOptions","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonSoundOptions","font","GameFontHighlight|12","GameFontHighlight|12","PASS"
"game-menu","GameMenuButtonSoundOptions","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonSoundOptions","layer","DIALOG|","DIALOG|","PASS"
"game-menu","GameMenuButtonUIOptions","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuButtonUIOptions","geometry","25.5|70.5|144|21","25.5|70.5|144|21","PASS"
"game-menu","GameMenuButtonUIOptions","anchor","TOP|GameMenuButtonSoundOptions|BOTTOM|0|-1","TOP|GameMenuButtonSoundOptions|BOTTOM|0|-1","PASS"
"game-menu","GameMenuButtonUIOptions","texture-path","Interface\Buttons\UI-Panel-Button-Up.blp||","Interface\Buttons\UI-Panel-Button-Up.blp||","PASS"
"game-menu","GameMenuButtonUIOptions","font","GameFontHighlight|12","GameFontHighlight|12","PASS"
"game-menu","GameMenuButtonUIOptions","color","#FFFFFFFF","#FFFFFFFF","PASS"
"game-menu","GameMenuButtonUIOptions","layer","DIALOG|","DIALOG|","PASS"
"game-menu","GameMenuFrame","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuFrame","geometry","0|0|195|246","0|0|195|246","PASS"
"game-menu","GameMenuFrame","anchor","CENTER||||","CENTER||||","PASS"
"game-menu","GameMenuFrame","texture-path","|Interface\DialogFrame\UI-DialogBox-Background.blp|Interface\DialogFrame\UI-DialogBox-Border.blp","|Interface\DialogFrame\UI-DialogBox-Background.blp|Interface\DialogFrame\UI-DialogBox-Border.blp","PASS"
"game-menu","GameMenuFrame","font","|","|","PASS"
"game-menu","GameMenuFrame","color","","","PASS"
"game-menu","GameMenuFrame","layer","DIALOG|","DIALOG|","PASS"
"game-menu","GameMenuFrame/FontString","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuFrame/FontString","geometry","|||","|||","PASS"
"game-menu","GameMenuFrame/FontString","anchor","TOP|GameMenuFrameHeader||0|-14","TOP|GameMenuFrameHeader||0|-14","PASS"
