panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"player-frame","PlayerFrame","Button","","0","0","232","100","TOPLEFT","","","-19","-4","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerFrameBackground","Texture","PlayerFrame","106","22","119","41","TOPLEFT","","","106","-22","","","","","","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerPortrait","Texture","PlayerFrame","42","12","64","64","TOPLEFT","","","42","-12","","","","","","ARTWORK","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerFrame/Frame","Frame","PlayerFrame","","","","","","","","","","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerFrame/Frame/Frame","Frame","PlayerFrame/Frame","","","","","","","","","","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerFrameTexture","Texture","PlayerFrame/Frame/Frame","","","","","","","","","","Interface\TargetingFrame\UI-TargetingFrame.blp","","","","","BACKGROUND","BACKGROUND","","","","","","1.0|0|0.09375|0.78125","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","interface.MPQ:Interface\TargetingFrame\UI-TargetingFrame.blp",""
"player-frame","PlayerName","FontString","PlayerFrame/Frame/Frame","","","100","10","CENTER","","","50","19","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"player-frame","PlayerLevelText","FontString","PlayerFrame/Frame/Frame","","","","","CENTER","","","-63","-16","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"player-frame","PlayerFrameHealthBarText","FontString","PlayerFrame/Frame/Frame","","","","","CENTER","","","50","4","","TextStatusBarText","Fonts\ARIALN.TTF","14","#FFFFFFFF","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"player-frame","PlayerFrameManaBarText","FontString","PlayerFrame/Frame/Frame","","","","","CENTER","","","50","-8","","TextStatusBarText","Fonts\ARIALN.TTF","14","#FFFFFFFF","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"player-frame","PlayerRestIcon","Texture","PlayerFrame/Frame/Frame","","","31","33","TOPLEFT","","","37","-49","Interface\CharacterFrame\UI-StateIcon.blp","","","","","OVERLAY","BACKGROUND","","","","","","0|0|0.5|0.421875","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","interface.MPQ:Interface\CharacterFrame\UI-StateIcon.blp",""
"player-frame","PlayerAttackIcon","Texture","PlayerFrame/Frame/Frame","","","32","32","TOPLEFT","PlayerRestIcon","","1","1","Interface\CharacterFrame\UI-StateIcon.blp","","","","","OVERLAY","BACKGROUND","","","","","","0.5|0|1.0|0.5","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","interface.MPQ:Interface\CharacterFrame\UI-StateIcon.blp",""
