panel,element,type,parent,x,y,width,height,point,relativeTo,relativePoint,offsetX,offsetY,texture,font,fontPath,fontSize,color,layer,strata,bgFile,edgeFile,tileSize,edgeSize,insets,texCoords,source,assetSource,fontSource
"player-frame","PlayerFrame","Button","","0","0","232","100","TOPLEFT","","","-19","-4","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerFrameBackground","Texture","PlayerFrame","106","22","119","41","TOPLEFT","","","106","-22","","","","","","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerPortrait","Texture","PlayerFrame","42","12","64","64","TOPLEFT","","","42","-12","","","","","","ARTWORK","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerFrame/Frame","Frame","PlayerFrame","","","","","","","","","","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerFrame/Frame/Frame","Frame","PlayerFrame/Frame","","","","","","","","","","","","","","","","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerFrameTexture","Texture","PlayerFrame/Frame/Frame","","","","","","","","","","Interface\TargetingFrame\UI-TargetingFrame.blp","","","","","BACKGROUND","BACKGROUND","","","","","","1.0|0|0.09375|0.78125","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","interface.MPQ:Interface\TargetingFrame\UI-TargetingFrame.blp",""
"player-frame","PlayerName","FontString","PlayerFrame/Frame/Frame","","","100","10","CENTER","","","50","19","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"player-frame","PlayerLevelText","FontString","PlayerFrame/Frame/Frame","","","","","CENTER","","","-63","-16","","GameFontNormalSmall","Fonts\FRIZQT__.TTF","10","#FFD100FF","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","","fonts.MPQ:Fonts\FRIZQT__.TTF"
"player-frame","PlayerFrameHealthBarText","FontString","PlayerFrame/Frame/Frame","","","","","CENTER","","","50","4","","TextStatusBarText","Fonts\ARIALN.TTF","14","#FFFFFFFF","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"player-frame","PlayerFrameManaBarText","FontString","PlayerFrame/Frame/Frame","","","","","CENTER","","","50","-8","","TextStatusBarText","Fonts\ARIALN.TTF","14","#FFFFFFFF","BACKGROUND","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","","fonts.MPQ:Fonts\ARIALN.TTF"
"player-frame","PlayerStatusTexture","Texture","PlayerFrame/Frame/Frame","","","190","66","TOPLEFT","","","35","-8","Interface\CharacterFrame\UI-Player-Status.blp","","","","","ARTWORK","BACKGROUND","","","","","","0|0|0.74609375|0.53125","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","interface.MPQ:Interface\CharacterFrame\UI-Player-Status.blp",""
"player-frame","PlayerAttackBackground","Texture","PlayerFrame/Frame/Frame","","","32","32","TOPLEFT","","","37","-50","Interface\TargetingFrame\UI-TargetingFrame-AttackBackground.blp","","","","","ARTWORK","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","patch.MPQ:Interface\TargetingFrame\UI-TargetingFrame-AttackBackground.blp",""
"player-frame","PlayerPVPIcon","Texture","PlayerFrame/Frame/Frame","","","64","64","TOPLEFT","","","18","-20","","","","","","ARTWORK","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","",""
"player-frame","PlayerHitIndicator","FontString","PlayerFrame/Frame/Frame","","","","","CENTER","","TOPLEFT","73","-42","","NumberFontNormalHuge","Fonts\skurri.ttf","30","#FFFFFFFF","OVERLAY","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","","fonts.MPQ:Fonts\skurri.ttf"
"player-frame","PlayerLeaderIcon","Texture","PlayerFrame/Frame/Frame","","","16","16","TOPLEFT","","","44","-10","Interface\GroupFrame\UI-Group-LeaderIcon.blp","","","","","OVERLAY","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","interface.MPQ:Interface\GroupFrame\UI-Group-LeaderIcon.blp",""
"player-frame","PlayerMasterIcon","Texture","PlayerFrame/Frame/Frame","","","16","16","TOPLEFT","","","80","-10","Interface\GroupFrame\UI-Group-MasterLooter.blp","","","","","OVERLAY","BACKGROUND","","","","","","","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","interface.MPQ:Interface\GroupFrame\UI-Group-MasterLooter.blp",""
"player-frame","PlayerRestIcon","Texture","PlayerFrame/Frame/Frame","","","31","33","TOPLEFT","","","37","-49","Interface\CharacterFrame\UI-StateIcon.blp","","","","","OVERLAY","BACKGROUND","","","","","","0|0|0.5|0.421875","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","interface.MPQ:Interface\CharacterFrame\UI-StateIcon.blp",""
"player-frame","PlayerAttackIcon","Texture","PlayerFrame/Frame/Frame","","","32","32","TOPLEFT","PlayerRestIcon","","1","1","Interface\CharacterFrame\UI-StateIcon.blp","","","","","OVERLAY","BACKGROUND","","","","","","0.5|0|1.0|0.5","patch.MPQ:Interface\FrameXML\PlayerFrame.xml","interface.MPQ:Interface\CharacterFrame\UI-StateIcon.blp",""
